chr	pos	strand	gene
4	113273430	-	
1	157232417	+	Olr56
3	71049502	+	Olr473
1	205627920	+	AC099294.1
3	143138640	-	AABR07054368.1
3	98060983	-	Olr760
1	190319026	-	Clrn3
1	1308310	+	AABR07000137.1
1	201299865	+	Doc2g
3	60624154	-	
1	242357306	-	Got1
1	80131881	+	Irgq
2	199408165	+	
1	79514975	-	Ceacam16
3	8010888	-	Nelfb
1	36112690	-	
2	182040787	+	Lingo4
1	29402074	+	Trip13
4	146865712	-	Ghrl
1	160695621	-	Olr218
2	38368227	+	Dimt1
1	210446124	+	Olr361
1	194381975	-	Nkx6-2
1	128978473	-	Sv2b
1	192272010	+	Glrx3
1	78537001	+	Pglyrp1
1	154506890	+	Lipt2
3	136133428	-	Napb
1	210519177	+	
3	145368012	+	Rab5if
1	160731760	+	Olr220
1	36398423	+	
1	96284252	-	Cyth2
1	140066176	+	Olr20
3	72047671	+	Olr530
3	61320952	+	Rbm45
1	259337709	-	Fam204a
4	85887875	-	
1	160756927	-	Olr221
1	197833445	+	
1	30660960	-	Irx2
3	145368598	-	Sla2
1	193898914	+	Dpysl4
2	172525245	-	Kirrel1
2	131030428	-	RGD1563562
3	108436370	+	Hypk
3	72089626	-	Olr532
1	195654583	+	Olr310
4	52569375	-	Slc13a1
2	151867045	+	Mfsd1
4	25599471	+	Rundc3b
3	104049718	+	Spred1
4	149678065	+	Olr825
2	182135905	-	Snx27
1	78537494	-	Ccdc61
3	8274018	+	Clic3
1	162843548	-	Olr283
1	217315097	-	
1	141115036	-	Tyr
2	191330526	+	Ap4b1
3	108438845	-	Mfap1a
1	174078341	+	Acsm4
1	94121221	+	Ctu1
1	29965317	-	Mrpl36
3	130408809	+	Snrpb2
1	205211034	-	Ust5r
3	72096981	-	Olr533
3	104028421	-	
1	29965472	-	Mrpl36
1	206954655	-	
1	159500672	-	Olr192
1	55670394	-	Thbs2
2	201317920	-	Amy2a3
1	29965482	-	Mrpl36
1	70053324	-	Ttyh1
1	82868320	+	RGD1307554
4	51762751	-	Fezf1
4	30569406	+	Rbm48
3	71450066	-	Olr500
1	157244305	+	
3	130418601	+	Otor
1	97529198	+	Gm9999
3	8274766	-	Paxx
1	207589213	+	Ptgdr2
4	53167227	+	
3	91613643	+	Wt1
1	1397230	-	Rrlt
1	54989506	+	
2	196159655	+	
2	152972734	+	Il12a
1	255350159	+	Habp2
1	34825894	-	RGD1308544
1	174078878	-	Thumpd1
4	30569045	-	1700109H08Rik
3	71664676	-	Olr514
1	157257231	-	Olr53
1	200972088	-	AABR07006081.1
1	95346920	+	Pnkp
1	243024615	-	Bloc1s2
1	1455536	+	
1	36801032	+	
3	8489574	+	Lcn6
1	180986209	+	AABR07071986.1
3	68032868	+	Fsip2
1	68824803	-	
1	94137240	+	Klk14
3	70654872	+	Olr443
1	210318813	+	Olr354
1	135122310	+	Slc28a1
1	157293292	+	Olr51
2	184407514	+	Pdzk1
1	94801496	-	Clec11a
1	210933727	-	Olr377
4	82981422	-	Cpvl
1	1662916	-	
2	192454226	-	Wnt2b
1	172954394	-	Gde1
4	53250783	+	Hyal6
1	210344603	+	Olr357
1	79859180	-	Zfp94
3	70670957	+	Olr444
3	53975704	-	Spc25
2	231785635	+	Gtf2b
1	157350022	+	Olfr572
1	55028564	+	
2	185272087	-	Gm17651
1	214232731	-	Foxb2
1	79884945	-	
1	157371434	+	Olfr574
3	71593753	-	Olr510
1	55039638	+	
3	61608557	-	Fkbp7
4	84212609	+	Gars
1	198937757	-	RGD1562011
3	89836973	+	Elf5
1	79071720	+	Ckm
1	157396717	+	Olr67
1	68850751	+	Zfp579
2	188710900	-	Cd2
1	156494423	-	Nup98
3	72804699	+	Olr563
1	92677999	+	MGC114499
1	210807674	+	Olr372
1	72676709	+	Vom1r51
1	78876599	+	Gpr4
4	84846231	-	Neurod6
1	201299985	-	Ndufv1
1	54872227	+	Vom2r9
1	143401396	-	Prss23
1	157416180	+	Olr68
3	8062639	-	Ndor1
3	101307231	-	Dph6
2	38367998	-	Kif2a
3	71191760	-	Olr483
1	210890341	+	Olr375
1	96028826	+	Plekha4
3	143978082	-	Ggt7
1	69244593	+	Hspbp1
1	195703926	+	Olr311
1	157421637	-	Olr69
3	54562238	+	Phospho2
1	93845973	+	Nkg7
2	153941154	-	AABR07011698.1
3	71228305	-	Olr483
1	154620902	+	Pgm2l1
3	8101643	+	Tmem210
3	54561982	+	Phospho2
1	210043696	+	Olr340
1	208236257	+	AABR07006275.1
2	22080918	+	Rps23
4	45897876	+	Met
1	162283866	-	Olr262
3	71294467	-	Olr488
1	227988844	+	
1	93851217	+	Cldnd2
3	108493576	-	Frmd5
1	175577400	-	AC103221.1
4	30646460	-	Cdk6
1	195733040	+	Olr312
3	79161662	-	Tspan18
3	98544188	-	Olr781
1	157484201	+	Olr75
1	56002687	+	Ermard
1	139863413	-	Olr12
1	210051334	-	Olr341
3	73511198	+	Olfr1161
2	51625997	+	Ccl28
3	61644632	+	Plekha3
1	139863477	-	Olr12
3	127586976	-	Sel1l2
1	139863502	-	Olr12
1	157517157	+	Olr78
1	210112581	+	Olr344
4	31130146	-	
3	42619881	+	Galnt5
1	93163404	+	Zfp141
4	51682961	+	AABR07025928.1
2	107542884	+	
3	73566421	+	Olr606
3	88239622	-	Ldlrad3
1	55062108	-	
1	195756127	+	Olr313
3	98563361	-	Olr782
1	157524089	+	Olr79
1	79075399	-	Mark4
1	139887387	-	Olr13
3	98563369	-	Olr782
4	31081006	-	AABR07059632.3
1	139887571	-	Olr13
3	98564369	-	Olr782
2	102239962	+	
1	154370640	+	Chrdl2
1	110157250	+	Ube3a
4	84224002	-	Crhr2
1	210165428	+	Olr347
3	42626309	-	Ermn
2	205717599	+	Plppr5
1	26291109	+	Tpd52l1
4	53370785	+	Hyal5
3	117264075	+	Tgm3
1	157561070	-	Olr80
3	73636914	-	Olr610
1	54448055	-	
3	59558197	-	Evx2
1	210213962	-	Olr349
1	1950479	-	
4	104488471	-	Mat2a
1	157587391	-	Olr82
3	73527538	-	Olfr1162
3	98615281	-	Olr785
4	31164510	-	Samd9
4	31164644	-	Samd9
1	94377744	+	
1	82933817	+	Akt2
4	31164651	-	Samd9
1	227572105	-	Ranbp6
1	1334618	-	
3	74963942	-	Olr674
1	157620835	+	Olr84
1	255350113	-	Nrap
4	10522914	-	AC099360.1
1	95347068	-	Ptov1
1	86521226	-	Scgb1b24
1	47170725	-	Tagap
1	230295656	+	AABR07006740.1
1	157627652	+	Olr85
1	26294030	-	Hddc2
3	73851112	+	Olr623
2	196177919	+	RGD1309139
1	79231866	+	Zfp296
4	30933948	-	
3	109216133	+	Sord
1	209120577	-	Olr327
1	55181024	-	Dact2
3	100083289	+	Tmco5b
2	11225135	-	
3	74432118	-	Olr652
1	157669817	+	Olr87
1	186836797	-	Cpxm2
1	201437443	+	Gpr152
1	159725904	+	RGD1561034
1	97620642	-	Ptpn5
1	84024453	+	Fbxo17
1	993013	-	AABR07002209.1
2	60367796	-	Tars1
2	241396175	+	Zzz3
2	145598401	-	AABR07010787.1
3	147507451	+	Dhx35
1	157682820	+	Olr88
3	73929849	-	Olr625
1	139959173	-	Olr16
4	101084329	-	
1	209195890	+	Olr329
2	139006307	+	Smad9
3	99284846	-	Chrm5
1	83761449	+	Lrfn1
2	91489651	+	Slc10a5
1	211014005	-	Olr382
1	1654869	+	
3	75272475	-	Olr693
1	157690675	+	Olr89
1	93318667	+	Vom2r37
4	84027818	+	Znrf2
4	30055410	+	Cyp51
3	65272719	+	Dnajc10
