chr	pos	strand	gene
CHR_HSCHR2_2_CTG1	754224	+	
CHR_HSCHR2_2_CTG1	754657	+	
CHR_HSCHR2_2_CTG1	746748	+	
CHR_HSCHR5_2_CTG1	29225491	+	
CHR_HSCHR2_2_CTG1	751747	+	
CHR_HSCHR2_2_CTG1	784657	-	
CHR_HSCHR5_2_CTG1	29171338	+	LINC02109
CHR_HSCHR5_2_CTG1	29162365	+	LINC02109
CHR_HSCHR5_2_CTG1	29162900	+	LINC02109
CHR_HSCHR5_2_CTG1	29181238	+	LINC02109
CHR_HSCHR5_2_CTG1	29176677	+	LINC02109
CHR_HSCHR20_1_CTG3	64143780	-	
CHR_HSCHR7_2_CTG7	157741015	-	
CHR_HSCHR1_1_CTG31	153768214	-	
CHR_HSCHR1_1_CTG31	153764082	-	
CHR_HSCHR3_5_CTG2_1	184513434	+	LINC01839
CHR_HSCHR3_5_CTG2_1	184444693	+	LINC02054
CHR_HSCHR3_5_CTG2_1	184426836	+	LINC02054
CHR_HSCHR1_4_CTG31	144627218	-	
CHR_HSCHR1_4_CTG31	144630586	-	
CHR_HSCHR1_4_CTG31	144632513	-	
CHR_HSCHR1_4_CTG31	144568738	+	
CHR_HSCHR1_4_CTG31	144568743	+	
CHR_HSCHR19_2_CTG2	21778251	-	
CHR_HSCHR19_2_CTG2	21798359	-	
CHR_HSCHR1_4_CTG31	144561389	-	
CHR_HG151_NOVEL_TEST	56882325	+	LINC02735
CHR_HSCHR20_1_CTG4	63450451	+	KCNQ2-AS1
CHR_HSCHR12_6_CTG2_1	123927107	-	
CHR_HSCHR19_1_CTG2	20989626	+	
CHR_HSCHR19_1_CTG2	20822244	+	
CHR_HSCHR21_5_CTG2	46191252	+	
CHR_HSCHR21_5_CTG2	46152647	+	FTCD-AS1
CHR_HSCHR3_9_CTG3	198166452	+	
CHR_HSCHR3_9_CTG3	198166245	+	
CHR_HSCHR3_2_CTG2_1	154121072	-	ARHGEF26-AS1
CHR_HSCHR3_2_CTG2_1	154119686	-	ARHGEF26-AS1
CHR_HSCHR12_4_CTG2	31328102	+	FLJ13224
CHR_HSCHR18_2_CTG2	67551243	-	
CHR_HSCHR18_2_CTG2	67586198	+	DSEL-AS1
CHR_HSCHR18_2_CTG2	67580745	+	
CHR_HSCHR18_2_CTG2	67583479	+	
CHR_HSCHR19_1_CTG2	20746923	-	
CHR_HSCHR5_2_CTG5	177970531	+	
CHR_HSCHR5_2_CTG5	177987099	+	
CHR_HSCHR20_1_CTG4	63424555	+	
CHR_HSCHR5_2_CTG5	177870853	-	
CHR_HSCHR5_2_CTG5	177962375	+	
CHR_HSCHR16_4_CTG1	1880310	-	LINC00254
CHR_HSCHR5_2_CTG5	177967034	+	
CHR_HSCHR16_4_CTG1	1880584	-	LINC00254
CHR_HSCHR5_2_CTG5	177964774	+	
CHR_HSCHR5_2_CTG5	177962384	+	
CHR_HSCHR16_4_CTG1	1874025	-	MEIOB
CHR_HSCHR16_4_CTG1	1885221	-	MEIOB
CHR_HSCHR16_4_CTG1	1892455	+	LINC02124
CHR_HSCHR1_1_CTG11	30426225	+	
CHR_HSCHR1_1_CTG11	30406695	-	
CHR_HSCHR1_1_CTG11	30414392	-	
CHR_HSCHR2_1_CTG1	3427885	+	
CHR_HSCHR2_1_CTG1	3498795	+	
CHR_HSCHR10_1_CTG4	77793176	+	
CHR_HSCHR10_1_CTG4	77783885	+	
CHR_HSCHR10_1_CTG4	77791647	+	
CHR_HSCHR10_1_CTG4	77929824	+	DLG5-AS1
CHR_HSCHR10_1_CTG4	77869610	+	
CHR_HSCHR5_3_CTG5	177870853	-	
CHR_HSCHR17_3_CTG4	77275802	-	
CHR_HSCHR17_3_CTG4	77269359	-	SEPTIN9-DT
CHR_HSCHR17_3_CTG4	77285406	-	SEPTIN9-DT
CHR_HSCHR5_3_CTG5	177983334	+	
CHR_HSCHR5_3_CTG5	177957750	+	
CHR_HSCHR5_3_CTG5	177963960	+	
CHR_HSCHR5_3_CTG5	177960149	+	
CHR_HSCHR5_3_CTG5	177957759	+	
CHR_HSCHR18_3_CTG2_1	79644682	-	
CHR_HSCHR22_1_CTG6	23435071	+	LINC01659
CHR_HSCHR18_3_CTG2_1	79708475	-	
CHR_HSCHR18_3_CTG2_1	79683041	-	
CHR_HSCHR22_1_CTG6	23434731	+	LINC01659
CHR_HSCHR18_3_CTG2_1	79612198	+	
CHR_HSCHR18_3_CTG2_1	79579808	+	
CHR_HSCHR18_3_CTG2_1	79589010	+	
CHR_HSCHR5_3_CTG5	177967457	+	
CHR_HSCHR22_1_CTG6	23462086	-	FAM230I
CHR_HSCHR22_1_CTG6	23536736	-	LINC02557
CHR_HSCHR2_1_CTG5	36360778	-	CRIM1-DT
CHR_HSCHR8_1_CTG1	1296034	-	
CHR_HSCHR8_1_CTG1	1381062	+	
CHR_HSCHR8_1_CTG1	1379973	+	
CHR_HSCHR8_1_CTG1	1551825	-	DLGAP2-AS1
CHR_HSCHR11_1_CTG6	1694766	+	LINC02708
CHR_HSCHR11_1_CTG6	1688979	-	FAM99B
CHR_HSCHR11_1_CTG6	1673566	+	FAM99A
CHR_HSCHR11_1_CTG6	1673565	+	FAM99A
CHR_HSCHR22_1_CTG2	38961611	-	APOBEC3B-AS1
CHR_HSCHR2_4_CTG1	1340838	-	
CHR_HSCHR11_1_CTG6	1668294	-	
CHR_HSCHR11_1_CTG6	1603293	+	
CHR_HSCHR8_1_CTG1	1368648	-	
CHR_HSCHR11_1_CTG6	1604894	+	
CHR_HSCHR11_1_CTG6	1603259	+	
CHR_HSCHR11_1_CTG6	1603151	+	
CHR_HSCHR22_1_CTG2	38924708	+	
CHR_HSCHR18_1_CTG1_1	50567475	+	MAPK4
