chr	pos	strand	gene
1	26653	-	
1	71582	+	ZNF692
1	72369	+	ZNF692
1	72380	+	ZNF692
1	91679	-	ZNF672
1	91632	-	ZNF672
1	91016	-	ZNF672
1	102662	+	SH3BP5L
1	102688	+	SH3BP5L
1	103200	+	SH3BP5L
1	124202	-	
1	170939	+	LYPD8
1	211380	+	
1	214605	+	
1	247928	-	
1	326171	+	OR2T27
1	337714	+	
1	386873	+	OR2T10
1	429756	+	
1	449228	+	OR14I1
1	529177	+	OR9G1
1	553201	-	
1	619248	-	
1	646546	-	OR2T1
1	662090	-	OR2T6
1	710011	+	
1	769522	+	OR2M4
1	826361	-	
1	835873	-	
1	848726	+	
1	875778	-	
1	896936	-	OR2L2
1	908264	-	OR2L5
1	932755	-	
1	984122	+	
1	1004699	-	
1	1102802	-	
1	1147161	-	OR2W3
1	1180468	-	TRIM58
1	1198069	+	OR11L1
1	1220851	-	
1	1230054	-	OR9H1P
1	1251363	+	OR1C1
1	1279550	-	OR14K1
1	1290883	+	OR14A2
1	1302679	+	OR6F1
1	1334218	+	OR13G1
1	1390572	+	
1	1493490	-	GCSAML
1	1469338	-	GCSAML
1	1480123	+	OR2C3
1	1493737	+	
1	1559934	+	OR2B11
1	1593013	-	NLRP3
1	1595289	-	NLRP3
1	1683011	+	ZNF496
1	1766717	+	
1	1789175	+	
1	1797535	+	
1	1827888	+	ZNF124
1	1837657	+	ZNF124
1	1904761	-	
1	1902690	+	
1	1906884	+	
1	1935519	+	ZNF670
1	1953612	-	
1	1961561	+	
1	1980478	+	
1	2071570	+	AHCTF1
1	2085708	+	AHCTF1
1	2212349	-	
1	2328297	-	SCCPDH
1	2328084	-	SCCPDH
1	45168680	+	
1	76139696	+	
1	95448022	-	
1	130174399	+	
1	102192108	-	GJA8
1	201209830	+	ID3
1	152111312	-	
1	2361942	-	
1	2510336	-	CNST
1	2506691	-	CNST
1	2495670	-	CNST
1	20398101	-	CCDC190
1	2427058	+	
1	2510498	+	TFB2M
2	169343948	-	
1	2568685	+	SMYD3
1	97387229	-	NPR1
1	97382054	-	NPR1
1	97387093	-	NPR1
1	3939026	-	KIF26B
1	3805599	-	KIF26B
1	203985419	+	SH2D5
1	4127180	-	EFCAB2
1	4127244	-	EFCAB2
1	4127294	-	EFCAB2
1	4076389	-	EFCAB2
2	100753164	-	KIAA1143
1	4127062	+	
2	52687515	-	SERP1
1	4234745	+	HNRNPU
1	4234930	+	HNRNPU
2	85987462	-	
1	45279756	+	
1	4263278	-	COX20
1	4263209	-	COX20
1	4364610	-	
1	76252562	-	
1	84453713	+	PSEN2
1	84454002	+	PSEN2
1	84454052	+	PSEN2
1	84454054	+	PSEN2
1	84454057	+	PSEN2
1	84454308	+	PSEN2
1	84454702	+	PSEN2
1	4464048	-	DESI2
1	4424005	-	DESI2
1	188469792	+	COL8A2
1	4653134	-	CATSPERE
1	84515299	+	COQ8A
