chr	pos	strand	gene
MT	2751	+	mt-Nd1
MT	3914	+	mt-Nd2
MT	5328	+	mt-Co1
MT	7013	+	mt-Co2
MT	7766	+	mt-Atp8
MT	7927	+	mt-Atp6
MT	8607	+	mt-Co3
MT	9459	+	mt-Nd3
MT	9877	+	mt-Nd4l
MT	10167	+	mt-Nd4
MT	11742	+	mt-Nd5
MT	14070	-	mt-Nd6
MT	14145	+	mt-Cytb
Y	68549224	+	Gm20816
Y	68550741	+	Gm20816
Y	68843997	-	Gm20817
Y	31590101	-	Gm28490
Y	69332401	+	Gm33815
Y	32575788	-	Gm21094
Y	70026134	-	Gm28079
Y	70314612	-	Gm29644
Y	70284911	-	Gm21118
Y	70283393	-	Gm21118
Y	33498509	-	Gm20838
Y	71480718	+	Gm20869
Y	71703312	+	Gm20870
Y	35087178	-	Gm20855
Y	35876871	-	Gm20896
Y	73680584	+	Gm20903
Y	36690635	-	Gm20835
Y	74481800	+	Gm29110
Y	37214948	-	Gm20905
Y	74635165	+	Gm21913
Y	37913156	+	Gm20738
Y	75207125	+	Gm20814
Y	75726591	+	Gm20850
Y	38457583	-	Gm20897
Y	76389931	+	Gm21776
Y	76772869	+	Gm21173
Y	40272248	-	Gm21865
Y	40336868	-	Gm21882
Y	77974473	-	Gm20867
Y	77972959	-	Gm20867
Y	40731110	-	Gm21797
Y	78224262	+	Gm29564
Y	40760259	+	Gm20795
Y	40761876	+	Gm20795
Y	41361843	+	Gm21800
Y	78849325	-	Gm20806
Y	78847812	-	Gm20806
Y	79162391	-	Gm20917
Y	79161056	-	Gm20917
Y	42537595	-	Gm29276
Y	79330834	+	Gm20916
Y	80145048	+	Gm21760
Y	44219789	-	Gm21739
Y	80938264	+	Gm28897
Y	81469276	+	Gm20911
Y	82236496	+	Gm21317
Y	83042216	+	Gm28827
Y	47455569	+	Gm21256
Y	48316464	+	Gm20792
Y	84108548	+	Gm21095
Y	84576176	-	Gm21394
Y	84574663	-	Gm21394
Y	48861106	+	Gm28553
Y	84757954	+	Gm21409
Y	85542177	-	Gm20854
Y	85540787	-	Gm20854
Y	50093855	+	Gm28870
Y	86073041	+	Gm20820
Y	50604830	+	Gm20883
Y	51121799	+	Gm21117
Y	87128090	+	Gm21477
Y	87562235	+	Gm20906
Y	51848699	+	Gm20920
Y	88064584	+	Gm28102
Y	89064075	+	Gm21294
Y	89756801	-	Gm21996
Y	53414870	-	Gm20747
Y	53413354	-	Gm20747
Y	90412517	+	Gm20837
Y	53840528	+	Gm20929
Y	90850446	-	Gm21748
Y	55210299	+	Gm20931
Y	55728335	+	Gm21858
Y	57542272	-	Gm21943
Y	57714225	+	Gm28961
Y	58823125	-	Gm21861
Y	60249730	+	Gm28891
Y	61110775	+	1700040F15Rik
Y	61655274	+	Gm21497
Y	62473373	-	Gm20823
Y	63236955	+	Gm21627
Y	64481794	+	Gm20908
Y	65216055	-	Gm20924
Y	65214536	-	Gm20924
Y	66753392	-	Gm20852
Y	66751879	-	Gm20852
Y	67059341	-	Ssty2
Y	67057835	-	Ssty2
Y	22046833	-	Gm31571
Y	22856736	-	Gm21366
Y	24410402	+	Gm20809
Y	24411927	+	Gm20809
Y	24751588	-	Gm21921
Y	25264705	-	Gm21773
Y	26732144	-	Gm20890
Y	27477265	-	Gm21488
Y	28226857	-	Gm20894
Y	30693906	-	Gm29582
Y	2932582	+	Gm29289
Y	3306449	-	Gm21677
Y	3303466	-	Gm21677
Y	3345329	-	Gm21693
Y	3335010	-	Gm21693
Y	3378783	-	Gm21704
Y	3410167	-	Gm21704
Y	3410148	-	Gm21708
Y	3410167	-	Gm21708
Y	3407067	-	Gm21708
Y	3771673	+	Gm3376
Y	3774805	+	Gm3376
Y	5043937	+	Gm20918
Y	5045445	+	Gm20918
Y	5249441	-	Gm21820
Y	5656986	+	Gm21854
Y	5725978	+	Gm20914
Y	5727496	+	Gm20914
Y	5793395	+	Gm28171
Y	5942460	+	Gm21778
Y	6267098	+	Gm20873
Y	6268725	+	Gm20873
Y	6583546	+	Gm28919
Y	6682872	-	Gm21719
Y	6681243	-	Gm21719
Y	6918282	-	Gm20830
Y	6917117	-	Gm20830
Y	7169293	-	Gm21244
Y	7167777	-	Gm21244
Y	7253787	+	Gm28998
Y	7638489	-	Gm20826
Y	7636973	-	Gm20826
Y	7722941	+	Gm28576
Y	7997168	-	Gm29049
Y	8071507	-	Gm20825
Y	8069993	-	Gm20825
Y	8257907	+	Gm20824
Y	8835169	-	Gm20815
