chr	pos	strand	gene
1	41931353	+	
1	41938044	-	
1	41935905	+	
1	62324244	-	
1	62324089	-	
1	62499060	-	
1	62506120	+	
1	62513651	-	
1	62510776	+	
1	458067	-	
1	489399	-	
1	14323402	+	
1	14362313	-	
1	63113935	+	
1	85867916	-	
1	85804572	+	
1	85865890	+	
1	85869210	+	
1	746329	+	
1	785962	-	
1	85882352	+	
1	791688	+	
1	85929728	+	
1	798091	+	
1	116785571	+	
1	64850438	+	
1	64864718	-	
1	64853679	+	
1	86267116	-	
1	86273542	-	
1	86271335	+	
1	86279091	+	
1	14806980	-	
1	86285046	-	
1	14848417	-	
1	14851902	-	
1	14852213	+	
1	102050200	-	
1	102046720	+	
1	43353210	-	
1	99785630	+	
1	116896527	+	
1	99814590	-	
1	116901399	-	
1	15108083	+	
1	15113864	+	
1	15132986	-	
1	102071645	+	
1	15130554	+	
1	15143620	+	
1	15156531	+	
1	119447807	+	
1	15166545	-	
1	15163413	+	
1	15187915	+	
1	99983785	+	
3	2394932	+	
3	2403654	+	
3	2550648	+	
2	23965383	+	
1	99987064	-	
2	23967950	-	
2	23980043	+	
1	116998263	+	
3	2504406	-	
1	1216036	-	
1	117001126	-	
3	2525488	-	
1	117001627	+	
1	117043959	-	
3	2581815	-	
3	2588051	-	
1	102173061	-	
3	2607972	-	
1	102176592	-	
1	102173267	+	
4	44958122	+	
1	15193657	+	
4	44972360	+	
1	15208578	+	
4	44975487	-	
3	52835253	-	
1	15230501	+	
4	44980140	-	
4	44989703	+	
1	15246551	+	
3	52845277	-	
1	15255532	+	
4	44998588	+	
3	52884523	-	
4	45006806	+	
4	45011273	+	
1	1236398	+	
3	52890628	+	
4	45018836	+	
4	45023628	+	
4	45038819	+	
4	45044313	-	
4	45057208	+	
4	45069457	+	
3	62889030	+	
1	2601703	-	
1	2591139	-	
1	2604776	-	
1	2605570	-	
4	45075109	+	
1	102385111	+	
4	45163521	-	
4	45162501	-	
1	102389578	-	
1	2611020	+	
1	2633894	+	
3	52972182	-	
3	90299263	-	
4	14733929	+	
1	44862885	-	
4	47051631	+	
4	47073751	+	
4	47147282	+	
4	47150266	+	
4	14963942	+	
2	34363036	+	
4	14967980	-	
2	60526458	+	
2	60527537	+	
2	34368400	+	
2	60634184	+	
1	65627573	+	
4	48137094	-	
2	34369500	-	
2	60663017	+	
2	34391429	-	
1	100056955	+	
6	21022479	+	
6	21095241	-	
2	56185238	+	
6	21082879	+	
6	21096294	+	
1	16710246	+	
1	100096900	+	
1	100099579	-	
2	56375158	-	
2	25105970	-	
2	25103065	+	
3	3990083	-	
1	45284219	+	
1	45286093	-	
1	66266088	-	
4	38977353	+	
1	119914126	+	
1	100149329	-	
1	100146881	+	
5	33245151	-	
1	100154455	-	
1	3094602	-	
5	33239696	+	
1	100150130	+	
1	3093853	+	
1	3111258	-	
1	3114594	-	
4	39394932	-	
4	39389251	-	
3	7165656	+	
3	7184049	+	
3	7293443	-	
1	87571971	+	
6	8553173	+	
1	4034599	-	
1	4023248	-	
3	7299822	+	
3	7310701	+	
1	87683402	+	
5	33282778	-	
1	87686343	-	
5	33289925	+	
4	39623370	+	
3	7390673	-	
3	7380373	-	
3	7378722	-	
3	7351402	-	
4	39631613	+	
1	100222373	-	
3	7452163	+	
3	7485389	+	
4	39637344	-	
4	64187496	+	
4	39638848	+	
1	4227225	+	
3	7510713	+	
6	8783057	-	
4	39647543	+	
3	7520198	+	
3	7546815	+	
4	39658065	-	
1	100273095	+	
3	7558466	+	
1	100283165	-	
3	7570038	+	
4	73522551	+	
1	88026281	+	
3	7578536	+	
4	73563000	+	
3	64377614	-	
6	37040856	+	
2	82900778	-	
2	82987669	-	
3	64705188	+	
3	64708136	+	
1	17310937	+	
1	88304928	+	
1	88306444	-	
3	53419270	-	
4	15552203	-	
1	88308040	-	
4	15566944	+	
1	88315049	+	
1	88321003	-	
1	88325807	+	
1	88327688	-	
1	47403856	+	
1	47416475	-	
5	63748109	+	
3	53484588	-	
3	53483589	+	
4	17640202	-	
7	4657758	+	
7	4664348	+	
1	100598640	-	
7	4690725	+	
6	1287299	+	
7	4959475	-	
6	1308589	-	
1	100684920	+	
6	1306633	+	
1	100687837	-	
2	84029780	-	
7	26928727	+	
6	1341442	-	
5	29139814	-	
7	26958334	-	
4	40024627	-	
5	29137812	+	
2	35272359	+	
3	53529832	+	
2	25988792	+	
3	53533626	-	
2	26016686	+	
2	26020659	+	
2	26034072	+	
2	26039430	+	
2	26052288	+	
2	61176205	-	
2	35413752	+	
2	26057960	+	
2	61229615	+	
2	26070161	+	
4	50621388	-	
2	26076852	+	
4	50618949	+	
2	26080344	+	
4	50640684	+	
2	26089655	+	
1	100841913	-	
2	26102740	+	
4	50665370	+	
4	50667559	+	
1	100838557	+	
2	26109689	+	
1	100842353	+	
2	26120885	+	
2	26129199	+	
2	26142374	+	
2	26149675	+	
4	64779690	+	
2	26164788	+	
2	26169656	+	
2	26185437	-	
2	26185937	+	
2	35604622	-	
5	29370075	+	
5	29371651	-	
2	35603043	+	
2	35622686	-	
7	5278601	-	
2	35619165	+	
6	8952185	-	
2	35627559	-	
2	35635681	-	
2	35630531	+	
2	35648980	+	
1	7813342	-	
1	7837902	-	
2	35652870	-	
2	35665539	+	
1	7788464	+	
2	35669745	-	
1	7856596	-	
1	7895564	-	
1	7859002	-	
1	7878698	-	
4	40327925	+	
2	35788342	+	
2	35796206	-	
1	7881529	+	
2	28681501	-	
7	5397028	+	
2	28687425	-	
1	122420222	-	
1	101092794	+	
7	10778254	-	
1	101097085	+	
1	101102944	+	
1	101104848	-	
1	47868091	+	
5	15007352	+	
1	101137329	-	
5	15015028	-	
1	48143130	-	
1	48142371	+	
7	27287074	+	
6	40892333	+	
2	57923629	+	
6	37271564	+	
7	66800692	-	
4	74377242	+	
2	1665361	-	
6	37317956	+	
2	1669045	-	
6	37319417	-	
2	58444728	-	
6	37356365	-	
1	48496351	+	
1	48511657	+	
3	8005992	+	
6	63552295	+	
3	8008953	-	
1	89202063	+	
1	89211946	+	
1	89223994	-	
1	101423780	-	
1	89284916	+	
8	2544057	+	
1	101437626	-	
1	89322560	-	
1	101444114	-	
1	101441366	+	
1	89312768	+	
1	101453826	+	
8	13394036	-	
8	13393150	-	
8	13393494	-	
1	48589625	+	
8	13399812	-	
7	11453983	+	
7	11454021	+	
7	11472305	+	
4	52764215	+	
1	101490686	+	
1	101495310	-	
7	11524836	-	
7	11585371	-	
6	37553866	-	
2	1944060	+	
7	11496100	+	
7	11518457	+	
7	11525813	+	
4	9863348	-	
7	11539018	+	
2	1998776	-	
7	11546559	+	
2	1995124	+	
7	11555121	+	
7	11574053	+	
4	74700028	-	
7	11669793	-	
7	11700988	-	
7	11705337	-	
7	11701266	-	
7	11699822	+	
7	11755766	+	
7	11758580	-	
3	92792815	-	
3	92790830	-	
7	12045347	+	
3	92794629	-	
4	74751576	-	
4	67228246	-	
4	74871884	-	
8	13827889	-	
7	43350809	-	
1	48878657	+	
7	43346947	+	
1	48917298	-	
1	48958426	-	
4	10324309	+	
1	48953734	+	
3	53698589	-	
4	10404206	-	
1	48986852	-	
3	53698546	+	
1	48994948	-	
4	10399935	+	
1	48994969	+	
1	18035603	-	
8	2982009	+	
4	75546295	+	
6	41355110	-	
6	41373932	+	
3	65648676	+	
8	3010709	+	
3	8192331	-	
6	41378529	-	
3	8189618	+	
3	8207967	+	
8	3022754	-	
3	8211850	-	
8	3019037	+	
3	8218202	-	
8	13946771	+	
3	8212616	+	
8	3027880	-	
3	8228397	-	
6	64127690	+	
6	64130824	+	
8	3035705	-	
3	8225751	+	
8	3030390	+	
3	8239064	+	
6	41511695	+	
8	3042594	-	
8	3037941	+	
3	8244028	-	
6	41528508	+	
3	8247417	-	
3	8258476	-	
3	8254674	+	
3	8264315	+	
1	89929309	+	
3	8269342	-	
8	3063651	-	
8	3059348	+	
3	8270359	+	
4	89250	-	
3	8296292	+	
6	41677284	+	
3	8305110	+	
6	41695306	-	
3	8489706	-	
6	41708657	+	
1	18429417	-	
3	8484650	+	
2	2109806	+	
6	41731790	+	
1	18424251	+	
2	2111454	+	
2	2132361	-	
2	30205735	+	
8	22957370	-	
6	41750490	-	
2	85032060	-	
1	103349662	+	
2	30249164	+	
1	103351686	-	
8	23037544	+	
8	23195632	+	
2	30256421	+	
8	23050488	-	
8	23057067	-	
8	23079553	-	
8	23095186	-	
8	23105924	-	
8	23116129	-	
4	206947	+	
8	23221326	-	
8	23233279	-	
4	68127979	-	
4	68031525	-	
4	67955430	+	
4	67967986	+	
4	67986902	+	
6	18294494	+	
6	37814804	+	
4	67998732	+	
4	68005478	+	
1	49321711	-	
1	91113319	+	
6	37858317	+	
1	91117578	-	
6	37860656	-	
1	91269148	-	
5	30727052	-	
1	91260323	+	
6	41989329	+	
4	425107	+	
6	41993999	+	
4	429318	-	
6	41996497	+	
6	42007392	+	
3	44596602	+	
6	22832649	+	
5	30795308	-	
3	9702820	-	
5	30792349	+	
1	103461032	-	
3	9700489	+	
3	9834952	-	
3	9848765	+	
4	466162	-	
3	9858051	-	
4	465635	+	
3	9853661	+	
4	471821	+	
3	9868511	+	
3	9870796	-	
6	22836894	-	
5	30807236	-	
5	30806413	+	
6	23066088	-	
6	23232439	+	
6	42240479	+	
1	108815114	+	
2	85152097	+	
4	76314562	-	
2	30414330	+	
2	30419751	-	
2	30428021	-	
6	18341385	+	
3	12262596	+	
3	12291755	+	
7	67900240	-	
5	15269074	-	
3	12416303	+	
1	91691829	-	
5	15265761	+	
6	23367319	+	
6	23380426	+	
6	23395164	+	
6	42321071	-	
2	58975099	-	
2	58972791	+	
7	6230410	+	
6	42334485	+	
6	42340724	+	
2	85233586	+	
2	85234536	+	
3	68920688	+	
2	85299161	+	
3	68931693	-	
2	85309140	-	
3	68947485	-	
2	85308184	+	
4	12223603	-	
7	6283574	+	
4	12228966	+	
3	69602856	+	
8	39379500	-	
6	42420209	-	
3	69627334	+	
7	28876024	-	
6	42477886	-	
6	42446456	-	
7	28874619	+	
6	42446572	+	
6	42451507	+	
6	42452023	+	
6	42453651	+	
6	42464295	+	
4	53443198	+	
4	20033406	-	
4	20032049	-	
1	91986860	-	
1	91984247	+	
2	85460382	-	
7	6418544	+	
4	20170693	-	
4	20167488	+	
6	5935142	+	
6	5936481	+	
6	5939169	-	
7	14128806	-	
8	63345050	-	
7	6557097	-	
4	3366132	-	
4	3362392	+	
1	20308283	-	
1	20307247	+	
7	14173315	+	
8	15083919	-	
5	21633334	-	
7	14183966	-	
8	15091813	-	
8	15103328	-	
1	51898832	+	
1	51900614	+	
1	51917351	-	
4	54201388	-	
1	69461213	+	
4	54202323	+	
1	69468109	+	
4	54205934	-	
1	69477237	+	
4	54213356	+	
5	21723253	+	
4	54231768	-	
4	54238255	-	
4	54233644	+	
1	13586079	+	
4	54831748	+	
3	69860134	-	
4	55212088	-	
4	55231545	-	
2	78972844	+	
2	79058366	+	
1	13588473	-	
6	68606696	+	
6	42603530	-	
3	47636872	+	
3	47646784	+	
6	68609647	-	
3	47666372	+	
3	47685816	+	
3	47688118	+	
8	39803815	-	
5	64575608	+	
8	39806668	+	
5	64593137	-	
8	39843315	-	
6	6065173	-	
8	39851542	-	
6	6062197	+	
5	64592428	+	
5	64617381	+	
5	64617460	+	
6	6074518	+	
8	39879397	-	
5	64634960	-	
6	6077623	-	
5	64631135	+	
1	93376495	-	
8	39889500	-	
1	93290929	+	
1	93308333	+	
6	23679633	-	
6	9455252	-	
1	93451644	-	
1	93408837	+	
1	109277584	+	
4	76571483	-	
4	76567268	+	
8	15823602	+	
4	76586052	-	
8	15826968	-	
2	36608443	+	
4	76592608	-	
2	36612048	-	
4	76589775	+	
2	30789710	+	
4	76633892	-	
2	30791834	-	
3	54354645	+	
4	76627927	+	
2	3852018	+	
2	3854370	+	
7	30225502	+	
4	76698047	-	
7	30229248	-	
2	4006302	-	
1	69956394	+	
3	70118361	-	
2	36630553	+	
3	70134166	-	
8	40752310	-	
8	40690163	-	
8	40638532	-	
8	40605521	-	
1	21087912	-	
5	35123795	+	
1	70220477	+	
1	113549358	-	
1	21084480	+	
5	35125562	-	
1	113543985	+	
1	113563195	+	
2	36657152	-	
4	69209051	-	
2	36659111	+	
2	36661070	-	
4	80047546	+	
4	80072038	+	
2	36670991	-	
2	36666067	+	
2	36674284	-	
8	3478264	-	
6	9613717	+	
2	31024187	+	
2	31030354	+	
2	31038041	-	
5	35814484	-	
3	54476614	+	
5	35810370	+	
7	8490382	+	
7	8493873	-	
6	18507574	-	
2	31099041	+	
2	59438295	-	
7	8493902	+	
4	82991527	+	
7	8499251	-	
6	18504340	+	
4	83000211	-	
7	8522092	+	
7	44792259	-	
4	83001842	-	
7	44790131	+	
3	70491104	+	
4	83008173	-	
1	117861340	-	
4	83017412	-	
4	13313430	-	
4	83071900	-	
4	83091208	-	
4	13338236	-	
4	83150214	-	
4	83171931	-	
2	36717310	+	
4	83182733	-	
2	36723742	-	
2	32069279	+	
2	32069338	+	
2	32069619	+	
2	32069624	+	
2	32144365	+	
2	32148964	+	
2	32069448	+	
2	32195344	+	
4	83206273	-	
4	83229706	-	
5	31678358	-	
5	31680618	-	
4	83240284	-	
4	83251553	-	
2	32079548	-	
2	32135380	+	
8	16727918	+	
1	70480365	+	
8	63866146	+	
8	17157078	-	
1	70482353	-	
5	22828975	-	
5	22827099	+	
1	70531617	-	
5	23313880	-	
5	23310701	+	
7	45041265	-	
7	45042197	-	
3	70823209	+	
3	70833051	+	
3	70834034	+	
7	9391522	-	
4	14423472	+	
4	14426862	-	
4	14430608	-	
4	14428882	+	
6	9927996	-	
8	3611566	+	
8	3614574	-	
3	49883724	+	
3	49946473	+	
3	49970362	+	
3	49972176	+	
6	9948520	-	
4	87022446	-	
4	87020323	+	
4	87034652	+	
4	87042203	-	
4	87037350	+	
4	87051443	+	
4	87053679	-	
4	14689744	+	
4	14711075	-	
4	14706386	+	
4	14714561	+	
