chr	pos	strand	gene
MT	3707	+	mt-Nd1
MT	4951	+	mt-Nd2
MT	6872	+	mt-Co1
MT	7696	+	mt-Co2
MT	7969	+	mt-Atp8
MT	8607	+	mt-Atp6
MT	9390	+	mt-Co3
MT	9806	+	mt-Nd3
MT	10173	+	mt-Nd4l
MT	11544	+	mt-Nd4
MT	13565	+	mt-Nd5
MT	13552	-	mt-Nd6
MT	15288	+	mt-Cytb
Y	68551559	+	Gm20816
Y	68551424	+	Gm20816
Y	68817865	-	Gm20817
Y	31558069	-	Gm28490
Y	69334763	+	Gm33815
Y	32543760	-	Gm21094
Y	70023822	-	Gm28079
Y	70282575	-	Gm29644
Y	70282575	-	Gm21118
Y	70282710	-	Gm21118
Y	33466461	-	Gm20838
Y	71506901	+	Gm20869
Y	71729495	+	Gm20870
Y	35061029	-	Gm20855
Y	35850673	-	Gm20896
Y	73706755	+	Gm20903
Y	36664443	-	Gm20835
Y	74508227	+	Gm29110
Y	37188765	-	Gm20905
Y	74636247	+	Gm21913
Y	37915490	+	Gm20738
Y	75233327	+	Gm20814
Y	75752818	+	Gm20850
Y	38431406	-	Gm20897
Y	76391013	+	Gm21776
Y	76798998	+	Gm21173
Y	40246135	-	Gm21865
Y	40335786	-	Gm21882
Y	77972142	-	Gm20867
Y	77972276	-	Gm20867
Y	40730568	-	Gm21797
Y	78250458	+	Gm29564
Y	40762701	+	Gm20795
Y	40762574	+	Gm20795
Y	41362385	+	Gm21800
Y	78846990	-	Gm20806
Y	78847129	-	Gm20806
Y	79160058	-	Gm20917
Y	79160067	-	Gm20917
Y	42505428	-	Gm29276
Y	79356976	+	Gm20916
Y	80171244	+	Gm21760
Y	44187468	-	Gm21739
Y	80964527	+	Gm28897
Y	81495356	+	Gm20911
Y	82262688	+	Gm21317
Y	83068570	+	Gm28827
Y	47487599	+	Gm21256
Y	48348480	+	Gm20792
Y	84134763	+	Gm21095
Y	84573841	-	Gm21394
Y	84573980	-	Gm21394
Y	48887226	+	Gm28553
Y	84784171	+	Gm21409
Y	85539792	-	Gm20854
Y	85539786	-	Gm20854
Y	50118710	+	Gm28870
Y	86099221	+	Gm20820
Y	50631040	+	Gm20883
Y	51148063	+	Gm21117
Y	87154186	+	Gm21477
Y	87586960	+	Gm20906
Y	51874879	+	Gm20920
Y	88090763	+	Gm28102
Y	89090284	+	Gm21294
Y	89724693	-	Gm21996
Y	53412532	-	Gm20747
Y	53412671	-	Gm20747
Y	90444532	+	Gm20837
Y	53866729	+	Gm20929
Y	90850138	-	Gm21748
Y	55236450	+	Gm20931
Y	55754487	+	Gm21858
Y	57539940	-	Gm21943
Y	57740460	+	Gm28961
Y	58791095	-	Gm21861
Y	60281778	+	Gm28891
Y	61142787	+	1700040F15Rik
Y	61681389	+	Gm21497
Y	62471032	-	Gm20823
Y	63263172	+	Gm21627
Y	64507980	+	Gm20908
Y	65213713	-	Gm20924
Y	65213853	-	Gm20924
Y	66751056	-	Gm20852
Y	66751196	-	Gm20852
Y	67057012	-	Ssty2
Y	67057152	-	Ssty2
Y	22020644	-	Gm31571
Y	22830566	-	Gm21366
Y	24412744	+	Gm20809
Y	24412610	+	Gm20809
Y	24750506	-	Gm21921
Y	25263623	-	Gm21773
Y	26705950	-	Gm20890
Y	27451071	-	Gm21488
Y	28200697	-	Gm20894
Y	30661878	-	Gm29582
Y	2939416	+	Gm29289
Y	3294976	-	Gm21677
Y	3295333	-	Gm21677
Y	3326750	-	Gm21693
Y	3327107	-	Gm21693
Y	3367147	-	Gm21704
Y	3367150	-	Gm21704
Y	3399188	-	Gm21708
Y	3399191	-	Gm21708
Y	3399545	-	Gm21708
Y	3783267	+	Gm3376
Y	3782910	+	Gm3376
Y	5046265	+	Gm20918
Y	5046128	+	Gm20918
Y	5248359	-	Gm21820
Y	5659574	+	Gm21854
Y	5728317	+	Gm20914
Y	5728179	+	Gm20914
Y	5795728	+	Gm28171
Y	5945031	+	Gm21778
Y	6269548	+	Gm20873
Y	6269423	+	Gm20873
Y	6615511	+	Gm28919
Y	6680421	-	Gm21719
Y	6680551	-	Gm21719
Y	6916300	-	Gm20830
Y	6916434	-	Gm20830
Y	7165068	-	Gm21244
Y	7167094	-	Gm21244
Y	7280017	+	Gm28998
Y	7632774	-	Gm20826
Y	7636216	-	Gm20826
Y	7749195	+	Gm28576
Y	7994833	-	Gm29049
Y	8069168	-	Gm20825
Y	8069310	-	Gm20825
Y	8284105	+	Gm20824
Y	8832821	-	Gm20815
Y	9131568	-	Gm21292
Y	9130999	-	Gm21292
Y	9199824	-	Gm21721
