chr	pos	strand	gene
AADN05001357.1	1089	+	
AADN05001357.1	871	+	
AADN05001263.1	698	-	
AADN05001248.1	7991	+	
AADN05001248.1	6315	+	
AADN05001524.1	1134	-	
AADN05001524.1	2363	-	
AADN05001190.1	2051	+	
AADN05001164.1	2971	+	
AADN05001226.1	21	-	
AADN05001409.1	3887	-	
AADN05001227.1	8414	+	
AADN05001227.1	9686	+	
KZ626827.1	17292	-	
AADN05001396.1	1441	+	
AADN05001396.1	1067	+	
KZ626826.1	16658	-	
KZ626827.1	60401	+	
AADN05001331.1	6667	-	
KZ626826.1	44025	-	
AADN05001510.1	3186	+	
KZ626825.1	2019	+	
KZ626825.1	1571	+	
KZ626825.1	897	+	
AADN05001444.1	11046	+	
AADN05001235.1	9524	+	
AADN05001235.1	8233	+	
KZ626825.1	4431	+	
AADN05001290.1	16804	-	
AADN05001509.1	21	-	
AADN05001509.1	1261	-	
AADN05000202.1	21	-	
AADN05001294.1	21	-	
AADN05001465.1	7808	+	
AADN05001465.1	2351	+	
AADN05001236.1	1674	+	
AADN05001465.1	8496	+	
AADN05001465.1	7468	+	
AADN05001236.1	21	-	
AADN05001236.1	227	-	
AADN05001322.1	21	-	
AADN05001512.1	11102	-	
AADN05001433.1	19626	+	
AADN05001433.1	5528	+	
AADN05001419.1	987	-	
AADN05001222.1	4458	+	
AADN05001222.1	5832	+	
AADN05001486.1	8342	+	
AADN05001176.1	21	-	
AADN05001176.1	868	-	
AADN05001486.1	1552	-	
AADN05001486.1	5154	-	
AADN05001222.1	11175	+	
AADN05001222.1	12935	+	
AADN05001222.1	11811	+	
AADN05001211.1	6292	+	
AADN05001211.1	4724	+	
2	94455800	+	
2	94460872	+	
AADN05001276.1	2086	-	
2	94467718	+	
AADN05001436.1	13969	+	
2	94652061	+	
2	94652536	+	
2	94831605	+	
AADN05001351.1	6448	+	
AADN05001208.1	3561	+	
AADN05001208.1	2720	+	
2	94995685	+	
2	95366919	+	
AADN05001208.1	21	-	
AADN05001334.1	21	-	
AADN05001418.1	936	-	
KZ626829.1	170019	+	
KZ626829.1	176474	+	
AADN05001481.1	21	-	
AADN05001481.1	384	-	
AADN05001378.1	3185	-	
AADN05001378.1	4415	-	
AADN05001484.1	1486	-	
AADN05001484.1	1714	-	
AADN05001378.1	16011	+	
2	105989984	-	
2	105989985	-	
2	106110134	-	
2	106204829	-	
2	106338771	+	
2	106587050	+	
2	107045815	+	
AADN05001476.1	14445	+	
AADN05001476.1	16289	+	
AADN05001476.1	18219	+	
2	107156950	+	
19	11346	-	
19	14833	-	
19	15701	-	
2	107298810	+	
2	107298768	+	
3	77735018	-	
3	78142047	+	
2	107017358	-	
3	78248674	+	
3	78248657	+	
3	78247500	+	
3	78328027	+	
19	1277774	+	
3	78510569	+	
3	78520884	+	
10	2087630	-	
10	2215524	+	
10	2200326	+	
10	2215531	+	
3	78564942	+	
3	78563191	+	
10	2471825	-	
3	78669479	-	
10	2776348	-	
19	24326	+	
3	78726978	-	
19	798549	+	
3	78979075	+	
3	77306947	+	
AADN05001225.1	2328	-	
AADN05001225.1	2937	-	
AADN05001225.1	3725	-	
3	78438136	+	
10	3365307	-	
AADN05001348.1	2319	-	
AADN05001348.1	3851	-	
AADN05001348.1	8110	-	
AADN05001292.1	6092	+	
AADN05001292.1	4730	+	
AADN05001292.1	19736	+	
AADN05001292.1	21573	+	
AADN05001292.1	22781	+	
AADN05001353.1	29899	-	
3	98972185	-	
3	99105783	-	
3	99105821	-	
3	99105822	-	
3	99391317	+	
3	99459236	-	
3	99466608	-	
12	7666493	+	
12	7695106	+	
3	99515681	-	
3	99688876	+	
3	99757821	+	
2	124102534	+	
2	124088604	+	
3	100604810	-	
3	100605154	-	
3	100910258	+	
2	124227980	-	
2	124241301	-	
2	89864273	-	
2	89864666	-	
2	124482268	-	
2	124486294	-	
2	124526475	-	
2	124540515	-	
2	90339474	+	
2	124817667	+	
2	124820508	+	
AADN05001187.1	17934	+	
2	90367809	-	
AADN05001187.1	20667	+	
AADN05001187.1	4001	-	
2	90481901	-	
2	125207619	-	
AADN05001273.1	2013	+	
2	125240371	-	
2	125240566	-	
2	90940443	-	
2	91058053	+	
2	125580298	+	
AADN05001497.1	1622	-	
AADN05001497.1	2835	-	
AADN05001497.1	8420	-	
8	22865943	-	
8	22880354	+	
24	29701	+	
24	30074	+	
24	30797	+	
8	22884718	-	
8	22941654	+	
8	23062346	+	
24	242542	+	
8	24030558	-	
8	24048472	-	
24	332835	-	
8	24116849	-	
8	24323332	+	
24	724454	-	
24	729961	-	
24	772937	+	
AADN05001498.1	15325	+	
8	24460433	-	
24	816119	-	
AADN05001493.1	707	-	
AADN05001493.1	2585	-	
8	22918957	-	
24	825814	-	
24	827554	-	
24	857691	-	
24	858040	-	
24	861483	-	
AADN05001504.1	10795	+	
AADN05001504.1	7759	-	
AADN05001504.1	12877	-	
24	1014040	+	
24	1186173	-	
24	1361529	+	
24	1467492	+	
24	1467761	+	
AADN05001372.1	2890	-	
4	39787766	-	
4	39814189	+	
4	39810515	+	
AADN05001243.1	21	-	
AADN05001243.1	1922	-	
4	40573352	-	
4	40608109	-	
4	40623219	-	
4	40742117	-	
4	40744195	-	
4	40849580	-	
4	40889816	-	
4	40974420	-	
4	41024558	-	
4	41068424	-	
4	41068427	-	
4	41410262	+	
4	41473930	+	
4	41475571	+	
4	41675513	-	
AADN05001272.1	731	-	
AADN05001272.1	1384	-	
AADN05001272.1	8629	+	
AADN05001272.1	7461	+	
2	12012740	+	
2	12051825	-	
2	12341035	+	
2	12604808	-	
AADN05001402.1	3035	+	
2	12752387	-	
2	12791965	-	
2	12830343	-	
2	13136981	+	
2	13487193	-	
2	13604293	+	
2	13598134	+	
2	13644848	+	
2	13644463	+	
2	13660026	+	
2	13660025	+	
2	13904759	-	
23	4640811	-	
23	4646078	-	
1	151971805	-	
2	95976446	+	
2	95976444	+	
1	152259670	-	
1	152303975	+	
2	95997917	-	
2	96082504	+	
2	96284189	-	
2	96288138	-	
1	153537471	+	
2	96299713	+	
2	96356213	+	
23	5831399	-	
23	5833289	-	
2	96295556	-	
2	96297488	-	
23	6009171	+	
23	6002977	+	
2	96342304	-	
2	96353203	-	
2	96429401	-	
2	96430312	-	
2	96712496	+	
2	97720137	+	
2	97667334	+	
2	97593293	+	
3	18289111	+	
3	18237405	+	
3	18485654	-	
3	18587590	-	
3	18670788	-	
1	70006787	+	
3	19015348	+	
1	70125365	-	
3	19271681	-	
3	19272260	-	
3	19277253	+	
3	19277126	+	
1	70168390	-	
3	19330753	-	
3	19331305	-	
1	70450458	-	
3	19367086	-	
1	70832566	+	
1	70962480	+	
1	71016051	+	
1	71021776	+	
1	71044668	+	
3	19641933	+	
3	19692903	+	
1	71078664	-	
1	71089773	-	
1	71089840	-	
3	19745297	+	
1	71088003	+	
1	71103367	+	
1	71423218	-	
1	71198586	+	
19	3646782	+	
19	3646770	+	
19	3832334	-	
19	3833105	-	
19	3845862	+	
19	4273329	+	
19	4324550	-	
19	4406275	-	
19	4406277	-	
19	4865572	+	
Z	31533487	+	
Z	31554526	+	
Z	31559201	+	
Z	31559960	+	
Z	31709894	+	
Z	31710255	+	
Z	31710234	+	
Z	32263422	-	
Z	32281085	+	
Z	33153703	-	
KZ626835.1	6404	-	
KZ626835.1	7537	-	
KZ626835.1	123252	+	
KZ626835.1	121729	+	
KZ626835.1	122959	+	
AADN05001513.1	4265	-	
AADN05001513.1	11268	-	
AADN05001513.1	12755	-	
AADN05001513.1	14739	+	
AADN05001513.1	14221	+	
KZ626835.1	210614	-	
KZ626835.1	379061	-	
AADN05001513.1	30290	+	
KZ626835.1	420043	+	
KZ626835.1	532497	+	
KZ626835.1	560177	+	
KZ626835.1	581133	+	
KZ626835.1	580133	+	
KZ626835.1	842353	-	
KZ626835.1	843418	-	
KZ626835.1	976772	+	
KZ626835.1	995485	+	
KZ626835.1	996025	+	
21	4054061	-	
21	4060608	+	
KZ626835.1	1020816	+	
21	4249511	+	
21	4249510	+	
21	4249983	+	
KZ626835.1	1107710	+	
KZ626835.1	1086108	+	
KZ626835.1	1142250	+	
21	4444598	+	
KZ626835.1	1142370	-	
21	4845445	-	
25	2065059	-	
21	5118510	-	
21	5119463	-	
25	2449884	-	
25	2483598	+	
25	2487729	+	
25	2658858	+	
25	2696014	-	
25	2696122	-	
25	2797633	-	
25	2799368	-	
KZ626835.1	1183743	+	
25	3035641	-	
AADN05001283.1	392	-	
25	3040477	+	
AADN05001283.1	8996	+	
AADN05001283.1	12744	+	
25	3090868	+	
25	3085907	+	
26	1523211	-	
25	3301785	-	
26	1581249	+	
26	1581262	+	
25	3466995	-	
26	1576880	-	
25	3468985	-	
26	1666286	+	
26	1666287	+	
25	3479574	+	
25	3479242	+	
26	2104564	-	
25	3476789	-	
26	2117323	-	
26	2133710	-	
26	2133809	-	
25	3763309	+	
25	3763299	+	
25	3761139	-	
26	2214429	-	
25	3767662	+	
25	3767660	+	
1	185710623	-	
26	2365302	+	
26	2365315	+	
1	185992637	+	
1	185972712	+	
25	3773621	-	
25	3805310	+	
1	185912084	-	
25	3812556	+	
25	3811964	+	
26	2882943	+	
1	186189506	-	
1	186486054	+	
1	186485970	+	
1	187185299	+	
1	187183213	+	
25	3854980	-	
25	3854987	-	
1	187549382	+	
1	187547946	+	
1	187568384	+	
25	3857110	+	
1	187583742	+	
1	187582455	-	
1	186675217	-	
AADN05001232.1	4410	+	
14	5844133	-	
14	5848967	-	
14	5860431	-	
14	5969275	-	
14	5972269	-	
14	6006199	-	
6	26873479	+	
6	26863650	+	
14	6030110	-	
14	6036070	-	
6	26898489	+	
14	6104674	-	
14	6105969	-	
6	26916301	+	
6	26929409	-	
26	2652984	+	
6	27235541	+	
6	27270889	+	
6	27270274	+	
6	27264401	+	
2	91897979	-	
2	92113522	+	
2	92113509	+	
14	6596941	-	
14	6597798	-	
2	92429809	+	
2	92418874	+	
6	27320452	-	
6	27530730	-	
6	27550190	-	
6	27552896	-	
2	92811582	+	
2	92808465	+	
14	6967910	+	
2	92998716	+	
14	6964947	-	
14	6970405	-	
6	27974667	+	
6	27975134	+	
2	93565903	-	
14	7050566	+	
14	7055360	+	
2	91829841	+	
6	28202231	+	
6	28202801	+	
