chr	pos	strand	gene
AADN05001357.1	21	+	
AADN05001263.1	4650	-	
AADN05001263.1	3674	-	
AADN05001248.1	955	+	
AADN05001524.1	2679	-	
AADN05001524.1	8349	-	
AADN05001190.1	21	+	
AADN05001164.1	21	+	
AADN05001164.1	1970	+	
AADN05001226.1	7844	-	
AADN05001226.1	6881	-	
AADN05001409.1	6568	-	
AADN05001227.1	2967	+	
AADN05001227.1	4341	+	
KZ626827.1	61900	-	
AADN05001396.1	21	+	
KZ626826.1	18022	-	
KZ626827.1	54807	+	
KZ626827.1	56878	+	
KZ626827.1	58516	+	
AADN05001331.1	8907	-	
KZ626826.1	45914	-	
KZ626826.1	45834	-	
AADN05001510.1	551	+	
AADN05001510.1	851	+	
KZ626825.1	29	+	
AADN05001444.1	4977	+	
AADN05001444.1	9341	+	
AADN05001235.1	2891	+	
AADN05001235.1	4557	+	
AADN05001235.1	4863	+	
KZ626825.1	2257	+	
AADN05001290.1	20306	-	
AADN05001509.1	2506	-	
AADN05001509.1	1717	-	
AADN05001509.1	2074	-	
AADN05000202.1	4771	-	
AADN05000202.1	4065	-	
AADN05001294.1	3555	-	
AADN05001294.1	2112	-	
AADN05001465.1	21	+	
AADN05001236.1	21	+	
AADN05001465.1	2501	+	
AADN05001236.1	1674	-	
AADN05001322.1	1349	-	
AADN05001512.1	13783	-	
AADN05001433.1	1592	+	
AADN05001419.1	6260	-	
AADN05001419.1	4356	-	
AADN05001222.1	1611	+	
AADN05001222.1	2879	+	
AADN05001486.1	21	+	
AADN05001486.1	3500	+	
AADN05001486.1	3504	+	
AADN05001176.1	1038	-	
AADN05001176.1	2089	-	
AADN05001486.1	8342	-	
AADN05001486.1	6472	-	
AADN05001222.1	7830	+	
AADN05001222.1	9388	+	
AADN05001211.1	153	+	
2	94449114	+	
2	94453431	+	
AADN05001276.1	4326	-	
2	94461332	+	
AADN05001436.1	6061	+	
AADN05001436.1	7008	+	
AADN05001436.1	7913	+	
2	94650692	+	
2	94650935	+	
2	94815564	+	
AADN05001351.1	21	+	
AADN05001208.1	21	+	
AADN05001208.1	1145	+	
AADN05001208.1	2619	+	
2	94984381	+	
2	95363536	+	
AADN05001208.1	3561	-	
AADN05001334.1	1523	-	
AADN05001418.1	5042	-	
AADN05001418.1	3289	-	
AADN05001418.1	2144	-	
KZ626829.1	166960	+	
KZ626829.1	167166	+	
AADN05001481.1	1010	-	
AADN05001481.1	3450	-	
AADN05001378.1	10638	-	
AADN05001378.1	15294	-	
AADN05001484.1	3342	-	
AADN05001484.1	3174	-	
AADN05001378.1	4415	+	
2	106026797	-	
2	106026816	-	
2	106112117	-	
2	106214042	-	
2	106324490	+	
2	106558120	+	
2	107040122	+	
AADN05001476.1	6509	+	
AADN05001476.1	8910	+	
AADN05001476.1	12913	+	
2	107155022	+	
19	13586	-	
19	17825	-	
2	107294403	+	
2	107294404	+	
3	77740966	-	
3	78138450	+	
2	107054001	-	
3	78241646	+	
3	78321212	+	
19	1271867	+	
3	78483507	+	
