chr	pos	strand	gene
MT	4262	+	MT-ND1
MT	5511	+	MT-ND2
MT	7445	+	MT-CO1
MT	8269	+	MT-CO2
MT	8572	+	MT-ATP8
MT	9207	+	MT-ATP6
MT	9990	+	MT-CO3
MT	10404	+	MT-ND3
MT	10766	+	MT-ND4L
MT	12137	+	MT-ND4
MT	14148	+	MT-ND5
MT	14149	-	MT-ND6
MT	15887	+	MT-CYB
Y	22514637	+	PRY
Y	12860802	+	USP9Y
Y	12860839	+	USP9Y
Y	22071756	-	PRY2
Y	20593154	+	EIF1AY
Y	23005465	+	BPY2
Y	22998268	+	BPY2
Y	9489893	+	TSPY9P
Y	9530676	+	TSPY10
Y	23681440	-	PRYP3
Y	9469749	+	TSPY1
Y	22417881	+	RBMY1J
Y	25624338	+	CDY1
Y	24639207	+	BPY2B
Y	24632010	+	BPY2B
Y	18771814	-	HSFY2
Y	18548592	+	HSFY1
Y	3580041	+	TGIF2LY
Y	18027746	+	CDY2A
Y	24045793	-	CDY1B
Y	25030901	-	BPY2C
Y	25038098	-	BPY2C
Y	17878260	-	CDY2B
Y	2786855	-	SRY
Y	2867268	+	RPS4Y1
Y	2982506	+	ZFY
Y	12918539	+	DDX3Y
Y	12920478	+	DDX3Y
Y	13706024	+	TMSB4Y
Y	13985772	-	VCY
Y	23129355	-	DAZ1
Y	6865918	-	AMELY
Y	7091683	+	TBL1Y
Y	9340278	+	TSPY4
Y	9360593	+	TSPY8
Y	9401217	+	TSPY3
Y	14056958	+	VCY1B
Y	20781032	+	RPS4Y2
13	24322535	+	C1QTNF9
13	24420931	-	PARP4
13	23730189	-	MIPEP
13	24879921	+	RNF17
13	28678959	+	POMP
13	30202630	-	KATNAL1
13	30208480	-	KATNAL1
13	30428616	+	UBE2L5
13	30429758	+	UBE2L5
13	30428455	+	UBE2L5
13	36442869	+	CCNA1
13	30660766	+	USPL1
13	27977717	-	URAD
13	30456704	-	HMGB1
13	30458747	-	HMGB1
13	30459850	-	HMGB1
13	30460907	-	HMGB1
13	36168217	-	SOHLH2
13	45030305	+	GPALPP1
13	24321031	+	
13	31134973	-	HSPH1
13	44939249	-	NUFIP1
13	49699320	-	KPNA3
13	20403669	-	CRYL1
13	27960918	-	CDX2
13	49308650	-	CAB39L
13	49310652	-	CAB39L
13	49308655	-	CAB39L
13	40812460	+	SLC25A15
13	43114213	+	DNAJC15
13	26755200	-	GPR12
13	26758310	-	GPR12
13	45284893	+	GTF2F2
13	26688948	+	WASF3
13	44397714	+	SERP2
13	36168794	-	CCDC169-SOHLH2
13	39342892	-	LHFPL6
13	63748176	+	
13	42323261	+	AKAP11
13	44143150	-	SMIM2
13	72708367	-	MZT1
13	61409685	-	PCDH20
13	39009865	-	PROSER1
13	45541294	-	ERICH6B
13	33066143	+	KL
13	73016461	+	PIBF1
13	69700597	-	KLHL1
13	27435823	+	GTF3A
13	31332276	+	B3GLCT
13	44028526	+	
13	40931924	-	ELF1
13	44432143	-	TSC22D1
13	38887131	+	FREM2
13	57150509	+	PRR20B
13	57163653	+	PRR20D
13	80335976	-	SPRY2
13	57170218	+	PRR20E
18	316737	-	COLEC12
13	38363619	+	UFM1
18	11854444	+	CHMP1B
18	12030877	+	IMPA2
13	94574054	-	TGDS
18	3496032	-	DLGAP1
13	28300346	-	FLT1
18	9862551	+	RAB31
13	99386504	+	UBAC2
13	33837500	+	RFC3
13	94436811	-	DCT
13	78598362	-	POU4F1
18	721588	-	YES1
13	99563334	+	TM9SF2
13	99564048	+	TM9SF2
22	16590751	-	CCT8L2
22	18530573	+	TMEM191B
21	18269116	-	TMPRSS15
21	7788703	-	
21	5116341	-	
18	12725740	+	PSMG2
18	13882044	-	MC2R
13	24303904	+	SPATA13
18	32672673	-	KLHL14
22	20707691	-	PI4KA
13	39050109	+	NHLRC3
13	53052057	+	OLFM4
13	57143939	+	PRR20A
21	6123778	+	
21	29004384	-	RWDD2B
22	21360601	-	FAM246A
21	30541535	-	KRTAP19-6
18	9134341	+	NDUFV2
22	18516344	-	GGTLC3
13	98024296	+	IPO5
21	29175889	+	MAP3K7CL
13	98022489	+	IPO5
13	98021882	+	IPO5
22	19179473	-	CLTCL1
21	29175014	+	MAP3K7CL
21	29175887	+	MAP3K7CL
21	29175026	+	MAP3K7CL
21	30635619	+	KRTAP20-2
22	18634682	+	FAM246B
22	18605815	-	RIMBP3
21	30487043	-	KRTAP19-2
18	11882622	-	MPPE1
21	32311018	-	URB1
21	5972924	-	
21	30289145	-	KRTAP25-1
21	30746794	-	KRTAP21-2
21	5130871	-	
21	30165565	-	CLDN17
13	63832361	-	
13	57729311	+	PCDH17
21	30431026	+	KRTAP13-4
21	34143030	+	MRPS6
18	5142911	-	AKAIN1
21	30281309	-	KRTAP24-1
21	30598590	-	KRTAP6-2
21	30616699	+	KRTAP20-1
21	30755015	-	KRTAP21-1
21	30620850	+	KRTAP20-4
18	45682975	+	SLC14A2
18	45683688	+	SLC14A2
22	23784316	+	MMP11
13	77895481	-	EDNRB
13	77895487	-	EDNRB
13	77895526	-	EDNRB
13	77897350	-	EDNRB
21	34106260	+	SLC5A3
21	30718525	-	KRTAP21-3
22	22513736	-	ZNF280A
13	27066156	-	USP12
18	9538114	+	RALBP1
21	36419015	+	CHAF1B
21	30496824	-	KRTAP19-4
21	30501657	-	KRTAP19-5
21	5116343	-	
20	1551960	-	
20	4220630	-	ADRA1D
20	958452	-	RSPO4
20	229886	+	DEFB129
20	869900	-	ANGPT4
21	29056326	-	CCT8
20	5864395	+	SHLD1
20	7977346	-	TMX4
22	22547701	-	PRAME
22	22547767	-	PRAME
21	21543329	+	NCAM2
20	10628030	+	SLX4IP
20	5925353	+	CHGB
21	30425265	-	KRTAP13-3
22	22547702	-	PRAME
21	30319124	-	KRTAP26-1
20	97094	+	DEFB125
21	30396822	+	KRTAP13-1
20	21511017	-	NKX2-2
22	22484421	-	ZNF280B
22	22484873	-	ZNF280B
22	23752743	-	VPREB3
22	32507820	-	SYN3
13	41084006	+	WBP4
13	36697839	+	SERTM1
21	28928144	-	LTN1
18	46266992	+	C18orf25
20	6780246	+	BMP2
20	1978759	-	PDYN
20	1978757	-	PDYN
20	846277	+	FAM110A
18	50394168	+	SKA1
