chr	pos	strand	gene
1	14093809	-	PHLPP1
1	41984848	-	RMND1
1	118098	-	ENPP1
1	62422598	+	CLVS2
1	41984839	+	ARMT1
1	14254282	-	ZCCHC2
1	160575	+	
1	237027	+	
1	284163	+	
1	42020714	+	CCDC170
1	42020770	+	CCDC170
1	434130	-	ADNP2
1	505165	-	RBFA
1	520550	+	TXNL4A
1	520607	+	TXNL4A
1	42267396	+	ESR1
1	42267417	+	ESR1
1	42269636	+	ESR1
1	62967138	-	TRDN
1	62924170	-	TRDN
1	62937778	-	TRDN
1	544965	-	HSBP1L1
1	14395195	-	TNFRSF11A
1	14416396	-	TNFRSF11A
1	557584	+	
1	558077	+	
1	558657	+	
1	14544504	-	RELCH
1	84536943	-	
1	85213101	-	ANXA1
1	63115326	+	NKAIN2
1	63411311	+	NKAIN2
1	63427524	+	NKAIN2
1	63508258	+	NKAIN2
1	63558842	+	NKAIN2
1	85390360	+	ALDH1A1
1	85390369	+	ALDH1A1
1	42615290	-	SYNE1
1	43015490	-	SYNE1
1	43015508	-	SYNE1
1	42947995	-	SYNE1
1	64168719	+	RNF217
1	745698	-	CTDP1
1	743407	-	CTDP1
1	85637265	-	TMC1
1	64327490	+	TPD52L1
1	64327657	+	TPD52L1
1	64333550	+	TPD52L1
1	101742090	+	PEG3
1	101742116	+	PEG3
1	85871695	+	ZFAND5
1	101801126	+	
1	101823109	-	
1	99636861	+	NOL8
1	101814664	+	
1	64456220	-	HDDC2
1	64456268	-	HDDC2
1	101901743	+	
1	14544755	+	PIGN
1	86037022	-	GDA
1	86132041	-	GDA
1	86037072	-	GDA
1	86037046	-	GDA
1	86037011	-	GDA
1	86037054	-	GDA
1	101912809	+	OR6Z1
1	43041728	-	
1	918798	-	NFATC1
1	923153	-	NFATC1
1	919040	-	NFATC1
1	919055	-	NFATC1
1	101929096	+	
1	101939691	-	
1	43049590	+	MYCT1
1	43071270	+	MYCT1
1	112125293	+	ZNF428
1	64806311	+	
1	118838771	-	
1	101956428	-	OR6Z1
1	64828523	+	
1	112129953	-	SRRM5
1	43121202	+	VIP
1	119031947	-	KCTD15
1	101983240	-	
1	112142976	-	ZNF576
1	64839247	+	HEY2
1	107634131	-	DKKL1
1	86125369	+	
1	99662052	+	IARS1
1	99662061	+	IARS1
1	43149490	-	
1	112143862	+	IRGQ
1	119183878	-	CHST8
1	86257503	-	C1H9orf85
1	102000369	+	
1	14653086	+	
1	43332336	-	FBXO5
1	102031352	-	SMIM17
1	112157712	-	
1	14675060	-	
