chr	pos	strand	gene
1	41935759	+	
1	41934295	-	
1	41938044	+	
1	62317461	-	
1	62323275	-	
1	62496671	-	
1	62509679	+	
1	62510776	-	
1	62513647	+	
1	447845	-	
1	485596	-	
1	14325828	+	
1	14359742	-	
1	63115131	+	
1	85803902	-	
1	85808213	+	
1	85868035	+	
1	85870319	+	
1	749495	+	
1	783486	-	
1	85884111	+	
1	793821	+	
1	85930773	+	
1	802320	+	
1	799234	+	
1	116791384	+	
1	64853018	+	
1	64851089	-	
1	64856481	+	
1	86265261	-	
1	86271334	-	
1	86273536	+	
1	86283977	+	
1	14797232	-	
1	86279098	-	
1	14839592	-	
1	14849942	-	
1	14855161	+	
1	102046720	-	
1	102050196	+	
1	43350420	-	
1	99791151	+	
1	116903675	+	
1	99812518	-	
1	116899528	-	
1	15111208	+	
1	15116009	+	
1	15126018	-	
1	102074854	+	
1	15134339	+	
1	15150757	+	
1	15159914	+	
1	119449313	+	
1	15160448	-	
1	15166628	+	
1	15189650	+	
1	99987066	+	
3	2608932	+	
3	2569272	+	
3	2417051	+	
3	2607355	+	
2	23967939	+	
1	99983785	-	
2	23966410	-	
2	23981593	+	
1	117001128	+	
3	2502210	-	
1	1213512	-	
1	116998263	-	
3	2520918	-	
1	117005279	+	
1	117001852	-	
3	2575748	-	
3	2581836	-	
1	102159085	-	
3	2597014	-	
1	102173255	-	
1	102176595	+	
4	44960687	+	
1	15200527	+	
4	44975544	+	
1	15218755	+	
4	44972360	-	
3	52832595	-	
1	15235730	+	
4	44977395	-	
4	44991668	+	
1	15252742	+	
3	52842472	-	
1	15258137	+	
4	45001514	+	
3	52882691	-	
4	45009199	+	
4	45013659	+	
1	1238774	+	
3	52893663	+	
4	45021094	+	
4	45028532	+	
4	45040820	+	
4	45041170	-	
4	45061992	+	
4	45071948	+	
3	62890199	+	
1	2549120	-	
1	2549801	-	
1	2550261	-	
1	2555843	-	
1	2600238	-	
1	2601400	-	
4	45078077	+	
1	102389578	+	
4	45135250	-	
1	102385124	-	
1	2612787	+	
1	2637910	+	
3	52966515	-	
3	90298094	-	
4	14735526	+	
1	44858059	-	
4	47054616	+	
4	47076069	+	
4	47148622	+	
4	47153156	+	
4	14968011	+	
2	34364940	+	
4	14963971	-	
2	60533472	+	
2	34369504	+	
2	60659481	+	
1	65628199	+	
4	48135774	-	
2	34368400	-	
2	60676986	+	
2	34388329	-	
1	100059322	+	
6	21026418	+	
6	21082879	-	
2	56189495	+	
6	21095217	+	
6	21098105	+	
1	16711693	+	
1	100099576	+	
1	100096904	-	
2	56373998	-	
2	25101969	-	
2	25105999	+	
3	3987684	-	
1	45286099	+	
1	45284219	-	
1	66264492	-	
4	38980879	+	
1	119920680	+	
1	100146472	-	
1	100149316	+	
5	33238192	-	
1	100150130	-	
1	3090926	-	
5	33245149	+	
1	100154436	+	
1	3098196	+	
1	3108342	-	
1	3113519	-	
4	39385015	-	
3	7171693	+	
3	7187744	+	
3	7218201	-	
1	87574877	+	
6	8565187	+	
1	3986276	-	
3	7305993	+	
3	7312887	+	
1	87686335	+	
5	33272654	-	
1	87683405	-	
5	33304402	+	
4	39626349	+	
3	7337334	-	
4	39637334	+	
1	100218861	-	
3	7455820	+	
3	7489639	+	
4	39631660	-	
4	64249275	+	
4	39642052	+	
1	4232306	+	
3	7516637	+	
6	8769667	-	
4	39650968	+	
3	7527983	+	
3	7549016	+	
4	39655497	-	
1	100274324	+	
3	7562146	+	
1	100276942	-	
3	7571371	+	
4	73541405	+	
1	88031420	+	
3	7580820	+	
4	73564800	+	
3	64364468	-	
6	37048314	+	
2	82898442	-	
2	82986420	-	
3	64713654	+	
1	17313935	+	
1	88308039	+	
1	88305380	-	
3	53418062	-	
4	15541539	-	
1	88306918	-	
4	15572083	+	
1	88317093	+	
1	88315569	-	
1	88327681	+	
1	88325811	-	
1	47405819	+	
1	47407990	-	
5	63751845	+	
3	53482701	-	
3	53484849	+	
4	17635104	-	
7	4662199	+	
7	4667864	+	
1	100596908	-	
7	4692570	+	
6	1293293	+	
7	4952441	-	
6	1306614	-	
1	100687041	+	
6	1308574	+	
1	100684924	-	
2	84028046	-	
7	26930973	+	
6	1336924	-	
5	29137811	-	
7	26928767	-	
4	40022402	-	
5	29139814	+	
2	35274656	+	
3	53538736	+	
3	53532624	+	
2	25995482	+	
3	53531326	-	
2	26020525	+	
2	26031175	+	
2	26036829	+	
2	26043094	+	
2	26056589	+	
2	61174919	-	
2	35416022	+	
2	26065087	+	
2	61234631	+	
2	26073669	+	
4	50618433	-	
2	26078513	+	
4	50621388	+	
2	26083716	+	
4	50642835	+	
2	26090938	+	
1	100838551	-	
2	26108346	+	
4	50673826	+	
4	50675263	+	
1	100841913	+	
2	26115613	+	
1	100845128	+	
2	26126248	+	
2	26134138	+	
2	26146868	+	
2	26152495	+	
4	64781697	+	
2	26166423	+	
2	26176145	+	
2	26178799	-	
2	26188967	+	
2	35601302	-	
5	29371631	+	
5	29370080	-	
2	35604697	+	
2	35619134	-	
7	5277372	-	
2	35623569	+	
6	8949969	-	
2	35624757	-	
2	35630531	-	
2	35635679	+	
2	35652871	+	
1	7786927	-	
1	7813000	-	
1	7824253	-	
2	35648984	-	
2	35669747	+	
1	7792673	+	
2	35665539	-	
1	7849558	-	
1	7850041	-	
1	7858868	-	
1	7881529	-	
4	40331149	+	
2	35797178	+	
2	35790634	-	
1	7896870	+	
2	28680050	-	
7	5398408	+	
2	28685518	-	
1	122417942	-	
1	101094637	+	
7	10761949	-	
1	101098694	+	
1	101104883	+	
1	101102948	-	
1	47871444	+	
5	15015028	+	
1	101136215	-	
5	15008330	-	
1	48140262	-	
1	48143650	+	
7	27346542	+	
6	40897094	+	
2	57941093	+	
6	37273618	+	
7	66797355	-	
4	74378300	+	
2	1664111	-	
6	37319820	+	
2	1666921	-	
6	37317995	-	
2	58442900	-	
6	37338158	-	
1	48497380	+	
1	48513383	+	
3	8008960	+	
6	63555621	+	
3	8005998	-	
1	89207734	+	
1	89222135	+	
1	89221084	-	
1	101419701	-	
1	89296660	+	
8	2550145	+	
1	101434698	-	
1	89286305	-	
1	101440252	-	
1	101444435	+	
1	89317475	+	
1	101458490	+	
8	13381811	-	
8	13391790	-	
1	48591742	+	
8	13398514	-	
7	11462186	+	
7	11474409	+	
7	11471007	+	
7	11479115	+	
4	52798957	+	
4	52771947	+	
1	101495314	+	
1	101491260	-	
7	11458485	-	
7	11477759	-	
7	11499387	-	
7	11512250	-	
6	37549061	-	
2	1947251	+	
7	11497923	+	
7	11521606	+	
7	11527897	+	
4	9862276	-	
7	11542367	+	
2	1995118	-	
7	11554758	+	
2	1998776	+	
7	11556746	+	
7	11576653	+	
4	74696895	-	
7	11585392	-	
7	11595848	-	
7	11625366	-	
7	11631698	-	
7	11683743	-	
7	11695908	-	
7	11701237	+	
7	11758311	+	
7	11755781	-	
3	92779323	-	
3	92788830	-	
7	12049329	+	
3	92792836	-	
4	74750423	-	
4	67226630	-	
4	74867717	-	
8	13826348	-	
7	43346936	-	
1	48884280	+	
7	43350809	+	
1	48914160	-	
1	48953734	-	
4	10327106	+	
1	48958421	+	
3	53696361	-	
4	10399935	-	
1	48984798	-	
3	53701096	+	
1	48987686	-	
4	10404205	+	
1	49019270	+	
1	18034278	-	
8	2987467	+	
4	75550462	+	
6	41353531	-	
6	41378525	+	
3	65790839	+	
3	65664966	+	
8	3012644	+	
3	8187817	-	
6	41373933	-	
3	8194577	+	
3	8211787	+	
8	3019037	-	
3	8208285	-	
8	3022753	+	
3	8212563	-	
8	13948326	+	
3	8218202	+	
8	3026033	-	
3	8225751	-	
6	64136295	+	
8	3030388	-	
