chr	tss	strand	gene
1	65419	+	OR4F5
1	451697	-	OR4F29
1	686673	-	OR4F16
1	923928	+	SAMD11
1	959309	-	NOC2L
1	960584	+	KLHL17
1	966482	+	PLEKHN1
1	982093	-	PERM1
1	1000172	-	HES4
1	1001138	+	ISG15
1	1020120	+	AGRN
1	1074306	-	RNF223
1	1116361	-	C1orf159
1	1173880	+	TTLL10
1	1206592	-	TNFRSF18
1	1214153	-	TNFRSF4
1	1232067	-	SDF4
1	1232237	+	B3GALT6
1	1246722	-	C1QTNF12
1	1273885	-	UBE2J2
1	1280436	+	SCNN1D
1	1309609	-	ACAP3
1	1308597	+	PUSL1
1	1324691	-	INTS11
1	1324756	+	CPTP
1	1331280	+	TAS1R3
1	1349418	-	DVL1
1	1361777	-	MXRA8
1	1375495	-	AURKAIP1
1	1399335	-	CCNL2
1	1407293	-	MRPL20
1	1421769	-	ANKRD65
1	1426128	+	TMEM88B
1	1434861	+	VWA1
1	1449689	+	ATAD3C
1	1471765	+	ATAD3B
1	1512162	+	ATAD3A
1	1540624	-	TMEM240
1	1574863	-	SSU72
1	1600135	-	FNDC10
1	1615415	+	MIB2
1	1632163	+	MMP23B
1	1659012	-	CDK11B
1	1692795	-	SLC35E2B
1	1724357	-	CDK11A
1	1745999	-	SLC35E2A
1	1780457	-	NADK
1	1891117	-	GNB1
1	1915108	+	CALML6
1	1919279	-	TMEM52
1	2003837	-	CFAP74
1	2019329	+	GABRD
1	2050411	+	PRKCZ
1	2212720	-	FAAP20
1	2228319	+	SKI
1	2391707	-	MORN1
1	2391775	+	RER1
1	2413797	-	PEX10
1	2425980	+	PLCH2
1	2526611	-	PANK4
1	2530263	-	HES5
1	2555639	+	TNFRSF14
1	2586491	+	PRXL2B
1	2633016	-	MMEL1
1	2801717	-	TTC34
1	3021467	+	ACTRT2
1	3069168	+	PRDM16
1	3454665	+	ARHGEF16
1	3611508	-	MEGF6
1	3625015	+	TPRG1L
1	3652761	-	WRAP73
1	3652516	+	TP73
1	3746460	+	CCDC27
1	3772761	+	SMIM1
1	3796498	-	LRRC47
1	3857214	-	CEP104
1	3857267	+	DFFB
1	3900293	-	C1orf174
1	4654609	+	AJAP1
1	5992473	-	NPHP4
1	5990927	+	KCNAB2
1	6180321	-	CHD5
1	6197757	-	AL031847.2
1	6209389	-	RPL22
1	6205475	+	RNF207
1	6235972	-	ICMT
1	6244179	+	HES3
1	6261098	-	GPR153
1	6394391	-	ACOT7
1	6424670	-	HES2
1	6424776	+	ESPN
1	6466195	-	TNFRSF25
1	6520061	-	PLEKHG5
1	6554513	-	NOL9
1	6555307	+	TAS1R1
1	6579994	+	ZBTB48
1	6614607	-	KLHL21
1	6613731	+	PHF13
1	6624866	+	THAP3
1	6701924	-	DNAJC11
1	6785454	+	CAMTA1
1	7771296	+	VAMP3
1	7784320	+	PER3
1	7853512	-	UTS2
1	7943165	-	TNFRSF9
1	7954291	+	PARK7
1	8026309	-	ERRFI1
1	8317826	+	SLC45A1
1	8848921	-	RERE
1	8879190	-	ENO1
1	8945867	+	CA6
1	9026345	-	SLC2A7
1	9088478	-	SLC2A5
1	9129102	-	GPR157
1	9234775	+	H6PD
1	9292894	+	SPSB1
1	9539465	+	SLC25A33
1	9588911	+	TMEM201
1	9651731	+	PIK3CD
1	9823984	-	CLSTN1
1	9910336	-	CTNNBIP1
1	9943407	-	LZIC
1	9943428	+	NMNAT1
1	9997206	+	RBP7
1	10032832	+	UBE4B
1	10210805	+	KIF1B
1	10398592	+	PGD
1	10430102	+	CENPS-CORT
1	10430433	+	CENPS
1	10449719	+	CORT
1	10472529	-	DFFA
1	10472288	+	PEX14
1	10796650	-	CASZ1
1	10982037	-	C1orf127
1	11012344	+	TARDBP
1	11012662	+	AL109811.3
1	11047239	-	MASP2
1	11060020	-	SRM
1	11099869	-	EXOSC10
1	11262551	-	MTOR
1	11189355	+	ANGPTL7
1	11273206	+	UBIAD1
1	11479155	+	DISP3
1	11655785	-	FBXO2
1	11654375	+	FBXO44
1	11664200	+	FBXO6
1	11691650	-	MAD2L2
1	11691710	+	DRAXIN
1	11736084	+	AGTRAP
1	11761787	+	C1orf167
1	11806455	-	MTHFR
1	11806096	+	CLCN6
1	11848345	-	NPPA
1	11858945	-	NPPB
1	11926428	-	KIAA2013
1	11934205	+	PLOD1
1	11980181	+	MFN2
1	12019466	+	MIIP
1	12063303	+	TNFRSF8
1	12166991	+	TNFRSF1B
1	12230030	+	VPS13D
1	12618210	-	DHRS3
1	12644547	+	AADACL4
1	12716110	+	AADACL3
1	12746200	+	C1orf158
1	12774841	+	PRAMEF12
1	12791397	+	PRAMEF1
1	12831410	-	PRAMEF11
1	12848725	-	HNRNPCL1
1	12857086	+	PRAMEF2
1	12886201	-	PRAMEF4
1	12898270	-	PRAMEF10
1	12916610	+	PRAMEF7
1	12947580	-	PRAMEF6
1	13056491	-	PRAMEF27
1	13060869	+	HNRNPCL3
1	13068677	+	PRAMEF25
1	13116854	-	HNRNPCL2
1	13155961	-	PRAMEF26
1	13165467	-	HNRNPCL4
1	13172455	+	PRAMEF9
1	13201409	-	PRAMEF13
1	13226106	-	PRAMEF18
1	13254212	+	PRAMEF5
1	13285174	-	PRAMEF8
1	13303539	+	PRAMEF33
1	13315581	+	PRAMEF15
1	13347134	-	PRAMEF14
1	13371900	-	PRAMEF19
1	13389632	+	PRAMEF17
1	13410450	+	PRAMEF20
1	13514003	-	LRRC38
1	13583465	+	PDPN
1	13700198	+	PRDM2
1	13892792	+	KAZN
1	15152532	+	TMEM51
1	15247272	+	FHAD1
1	15409888	+	EFHD2
1	15438442	+	CTRC
1	15456728	+	CELA2A
1	15465909	+	CELA2B
1	15526534	-	CASP9
1	15526813	+	DNAJC16
1	15585051	-	AGMAT
1	15617458	+	DDI2
1	15659869	+	RSC1A1
1	15684320	+	PLEKHM2
1	15736258	+	SLC25A34
1	15742499	+	TMEM82
1	15756607	+	FBLIM1
1	15809348	-	UQCRHL
1	15836095	+	SPEN
1	15976132	-	ZBTB17
1	16004236	+	SRARP
1	16019594	-	HSPB7
1	16018875	+	CLCNKA
1	16043736	+	CLCNKB
1	16073651	-	FAM131C
1	16156069	-	EPHA2
1	16212652	-	ARHGEF19
1	16237183	-	CPLANE2
1	16352480	-	FBXO42
1	16352575	+	SZRD1
1	16437424	-	SPATA21
1	16440721	+	NECAP2
1	16613562	-	NBPF1
1	16740273	+	CROCC
1	16980632	-	MFAP2
1	17011928	-	ATP13A2
1	17054032	-	SDHB
1	17119451	-	PADI2
1	17205128	+	PADI1
1	17249098	+	PADI3
1	17308195	+	PADI4
1	17372196	+	PADI6
1	17439677	-	RCC2
1	17539698	+	ARHGEF10L
1	17755333	+	ACTL8
1	18107798	+	IGSF21
1	18480982	+	KLHDC7A
1	18630846	+	PAX7
1	18859682	-	TAS1R2
1	18902724	-	ALDH4A1
1	18956676	-	IFFO2
1	19210266	-	UBR4
1	19251527	-	EMC1
1	19251805	+	MRTO4
1	19288770	-	AKR7A3
1	19312146	-	AKR7A2
1	19312326	+	SLC66A1
1	19485539	-	CAPZB
1	19484403	+	MICOS10
1	19596979	+	NBL1
1	19597067	+	MICOS10-NBL1
1	19664875	+	HTR6
1	19799945	-	TMCO4
1	19815283	-	RNF186
1	19882395	+	OTUD3
1	19923617	-	PLA2G2E
1	19980416	-	PLA2G2A
1	20028179	+	PLA2G5
1	20119566	-	PLA2G2D
1	20139326	+	PLA2G2F
1	20177424	-	PLA2G2C
1	20186096	+	UBXN10
1	20290919	+	VWA5B1
1	20486210	-	CAMK2N1
1	20508151	-	MUL1
1	20552573	+	FAM43B
1	20589086	+	CDA
1	20633458	+	PINK1
1	20661544	-	DDOST
1	20718017	-	KIF17
1	20732837	-	SH2D5
1	20787323	-	HP1BP3
1	21176888	-	EIF4G3
1	21345572	-	ECE1
1	21440128	+	NBPF3
1	21509397	+	ALPL
1	21669363	-	RAP1GAP
1	21783606	-	USP48
1	21812265	+	LDLRAD2
1	21937310	-	HSPG2
1	21977022	+	CELA3B
1	22001657	+	CELA3A
1	22025511	+	CDC42
1	22143969	-	WNT4
1	22428838	+	ZBTB40
1	22563489	+	EPHA8
1	22636628	+	C1QA
1	22643633	+	C1QC
1	22652762	+	C1QB
1	22710839	+	EPHB2
1	22965338	-	LACTBL1
1	23015852	-	TEX46
1	23019443	+	KDM1A
1	23177808	-	LUZP1
1	23194729	-	HTR1D
1	23344336	-	HNRNPR
1	23369836	-	ZNF436
1	23424748	-	TCEA3
1	23484568	-	ASAP3
1	23531233	-	E2F2
1	23559501	-	ID3
1	23691742	+	RPL11
1	23743155	+	ELOA
1	23778418	+	PITHD1
1	23791145	+	LYPLA2
1	23800781	-	GALE
1	23838620	-	HMGCL
1	23868294	-	FUCA1
1	23913362	-	CNR2
1	23956839	+	PNRC2
1	23980927	-	SRSF10
1	24112135	-	MYOM3
1	24143140	-	IL22RA1
1	24187959	-	IFNLR1
1	24319322	+	GRHL3
1	24416934	-	STPG1
1	24415802	+	NIPAL3
1	24502351	+	RCAN3
1	24556087	+	NCMAP
1	24631716	+	SRRM1
1	24745382	+	CLIC4
1	24965121	-	RUNX3
1	25232502	-	SYF2
1	25338213	-	RSRP1
1	25272393	+	RHD
1	25338317	+	TMEM50A
1	25430192	-	RHCE
1	25430858	+	MACO1
1	25543606	+	LDLRAP1
1	25617468	+	MAN1C1
1	25800176	+	SELENON
1	25811470	+	AL020996.2
1	25818640	+	MTFR1L
1	25859458	-	AUNIP
1	25871253	-	PAQR7
1	25906991	-	STMN1
1	25998117	-	PAFAH2
1	26019884	+	EXTL1
1	26046118	-	SLC30A2
1	26068436	-	TRIM63
1	26111165	+	PDIK1L
1	26159079	+	FAM110D
1	26168581	-	C1orf232
1	26171831	-	AL391650.1
1	26169908	+	ZNF593
1	26177484	+	CNKSR1
1	26190561	+	CATSPER4
1	26234200	+	CEP85
1	26280086	+	SH3BGRL3
1	26318363	-	UBXN11
1	26317958	+	CD52
1	26360080	-	CRYBG2
1	26374522	-	ZNF683
1	26410817	+	LIN28A
1	26432282	+	DHDDS
1	26472440	+	HMGN2
1	26529761	+	RPS6KA1
1	26693236	+	ARID1A
1	26787472	+	PIGV
1	26826688	+	ZDHHC18
1	26863149	+	SFN
1	26890283	-	GPN2
1	26900467	-	GPATCH3
1	26900238	+	NUDC
1	26913975	-	NR0B2
1	26960468	-	KDF1
1	26993692	+	TRNP1
1	27012850	-	TENT5B
1	27166981	-	SLC9A1
1	27234632	+	WDTC1
1	27322145	+	TMEM222
1	27342020	+	SYTL1
1	27366961	-	MAP3K6
1	27374824	-	FCN3
1	27383333	-	CD164L2
1	27392622	+	GPR3
1	27490167	-	WASF2
1	27604431	-	AHDC1
1	27635185	-	FGR
1	27672198	-	IFI6
1	27725979	+	FAM76A
1	27773219	+	STX12
1	27830782	+	PPP1R8
1	27872543	+	THEMIS2
1	27914746	-	RPA2
1	27935000	+	SMPDL3B
1	27959973	+	XKR8
1	28088637	-	EYA3
1	28193936	-	PTAFR
1	28233029	-	DNAJC8
1	28236109	+	ATP5IF1
1	28259518	+	SESN2
1	28329002	+	MED18
1	28369582	+	PHACTR4
1	28505943	+	RCC1
1	28553085	+	TRNAU1AP
1	28643085	-	TAF12
1	28592200	+	RAB42
1	28668732	+	GMEB1
1	28736621	+	YTHDF2
1	28812142	+	OPRD1
1	28887091	+	EPB41
1	29123903	-	TMEM200B
1	29181900	-	SRSF4
1	29230942	-	MECR
1	29236516	+	PTPRU
1	30723585	-	MATN1
1	30757774	-	LAPTM5
1	30908758	-	SDC3
1	31065991	-	PUM1
1	31239887	-	NKAIN1
1	31296788	-	SNRNP40
1	31296982	+	ZCCHC17
1	31376850	-	FABP3
1	31409565	+	SERINC2
1	31576485	+	TINAGL1
1	31617686	+	HCRTR1
1	31644896	-	PEF1
1	31704319	-	COL16A1
1	31764893	-	ADGRB2
1	31816051	-	SPOCD1
1	31944856	-	PTP4A2
1	32013868	+	KHDRBS1
1	32072031	+	TMEM39B
1	32108056	+	KPNA6
1	32179675	+	TXLNA
1	32200386	+	CCDC28B
1	32205661	+	IQCC
1	32209094	+	DCDC2B
1	32222359	-	TMEM234
1	32221928	+	EIF3I
1	32247222	+	FAM167B
1	32251239	+	LCK
1	32292083	+	HDAC1
1	32336233	-	MARCKSL1
1	32351521	+	TSSK3
1	32364278	-	FAM229A
1	32394731	-	BSDC1
1	32465057	+	AL033529.1
1	32465072	+	ZBTB8B
1	32539427	+	ZBTB8A
1	32650903	-	ZBTB8OS
1	32651142	+	RBBP4
1	32703596	-	SYNC
1	32741830	+	KIAA1522
1	32818153	-	YARS1
1	32816767	+	S100PBP
1	32872482	-	FNDC5
1	32885994	+	HPCA
1	32901438	-	TMEM54
1	32964685	-	RNF19B
1	33080996	-	AK2
1	33081104	+	AZIN2
1	33182059	-	TRIM62
1	33256492	+	ZNF362
1	33321098	-	A3GALT2
1	33431052	-	PHC2
1	33472645	+	ZSCAN20
1	34165842	-	CSMD2
1	33860475	+	HMGB4
1	34166883	+	C1orf94
1	34859755	-	SMIM12
1	34755047	+	GJB5
1	34759740	+	GJB4
1	34781214	+	GJB3
1	34792999	+	GJA4
1	34929650	-	DLGAP3
1	34985313	-	AC114490.3
1	35031741	-	AC114490.2
1	34985353	-	TMEM35B
1	35031945	-	ZMYM6
1	35032172	+	ZMYM1
1	35193145	-	SFPQ
1	35268709	+	ZMYM4
1	35557950	-	KIAA0319L
1	35557473	+	NCDN
1	35573314	+	TFAP2E
1	35641526	-	PSMB2
1	35718894	-	C1orf216
1	35769978	-	CLSPN
1	35808016	+	AGO4
1	35869808	+	AGO1
1	35930718	+	AGO3
1	36084094	+	TEKT2
1	36088892	+	ADPRHL2
1	36125222	-	COL8A2
1	36156053	-	TRAPPC3
1	36155579	+	MAP7D1
1	36224432	+	THRAP3
1	36306368	+	SH3D21
1	36324154	-	EVA1B
1	36385896	-	STK40
1	36397908	-	LSM10
1	36450451	-	OSCP1
1	36464384	-	MRPS15
1	36483278	-	CSF3R
1	37034515	-	GRIK3
