chr	pos	str	motifID
19	280671	+	MA0003
19	290259	+	MA0003
19	460355	+	MA0003
19	506870	+	MA0003
19	535095	+	MA0003
19	558922	+	MA0003
19	572292	+	MA0003
19	639940	-	MA0003
19	703806	+	MA0003
19	893144	+	MA0003
19	893187	+	MA0003
19	893188	-	MA0003
19	923457	+	MA0003
19	925558	+	MA0003
19	941161	-	MA0003
19	956562	-	MA0003
19	956578	+	MA0003
19	1001826	-	MA0003
19	1026496	+	MA0003
19	1066353	+	MA0003
19	1066354	-	MA0003
19	1104665	+	MA0003
19	1181951	+	MA0003
19	1182002	-	MA0003
19	1215614	-	MA0003
19	1269052	+	MA0003
19	1354795	+	MA0003
19	1491178	+	MA0003
19	1501392	-	MA0003
19	1513205	+	MA0003
19	1661242	+	MA0003
19	1661243	-	MA0003
19	1675937	+	MA0003
19	1837038	+	MA0003
19	1837039	-	MA0003
19	1863659	-	MA0003
19	1863669	-	MA0003
19	1863713	-	MA0003
19	1864937	-	MA0003
19	1887556	+	MA0003
19	1887557	-	MA0003
19	2050037	-	MA0003
19	2385310	+	MA0003
19	2479029	+	MA0003
19	2484450	+	MA0003
19	2489463	-	MA0003
19	2525180	+	MA0003
19	2527912	+	MA0003
19	2529044	-	MA0003
19	2581195	+	MA0003
19	2603515	-	MA0003
19	2670552	+	MA0003
19	2727241	-	MA0003
19	2819767	-	MA0003
19	2953418	-	MA0003
19	2976818	+	MA0003
19	3028706	-	MA0003
19	3028720	-	MA0003
19	3276363	-	MA0003
19	3385062	+	MA0003
19	3429864	+	MA0003
19	3545336	+	MA0003
19	3558202	-	MA0003
19	3565356	+	MA0003
19	3606354	+	MA0003
19	3688259	+	MA0003
19	3688303	-	MA0003
19	3713122	-	MA0003
19	3713148	+	MA0003
19	3721618	+	MA0003
19	4042789	-	MA0003
19	4058350	+	MA0003
19	4062031	-	MA0003
19	4062730	-	MA0003
19	4066009	+	MA0003
19	4084501	-	MA0003
19	4084510	-	MA0003
19	4182686	+	MA0003
19	4338735	+	MA0003
19	4374750	-	MA0003
19	4374761	-	MA0003
19	4390797	+	MA0003
19	4471748	-	MA0003
19	4535164	+	MA0003
19	4558504	-	MA0003
19	4670417	-	MA0003
19	4831799	-	MA0003
19	4870235	-	MA0003
19	4915141	+	MA0003
19	4941446	+	MA0003
19	4968723	+	MA0003
19	4971784	-	MA0003
19	4991802	-	MA0003
19	5023301	-	MA0003
19	5339700	+	MA0003
19	5568110	+	MA0003
19	5719358	-	MA0003
19	5828018	+	MA0003
19	5828052	-	MA0003
19	5904867	-	MA0003
19	5915923	-	MA0003
19	5968371	+	MA0003
19	5977909	-	MA0003
19	6022538	-	MA0003
19	6022566	-	MA0003
19	6199907	-	MA0003
19	6423698	-	MA0003
19	6472883	+	MA0003
19	6738189	+	MA0003
19	6738190	-	MA0003
19	6743302	-	MA0003
19	6745182	-	MA0003
19	6783917	+	MA0003
19	7198145	-	MA0003
19	7505628	+	MA0003
19	7577684	-	MA0003
19	7600623	+	MA0003
19	7616404	-	MA0003
19	7660439	+	MA0003
19	7660440	-	MA0003
19	7885691	+	MA0003
19	7885692	-	MA0003
19	7894986	+	MA0003
19	7969155	+	MA0003
19	7985890	+	MA0003
19	8178169	-	MA0003
19	8376884	+	MA0003
19	8432402	-	MA0003
19	8571084	+	MA0003
19	8579104	-	MA0003
19	8590547	+	MA0003
19	8943184	-	MA0003
19	9165741	+	MA0003
19	9190626	-	MA0003
19	9190643	-	MA0003
19	9649358	+	MA0003
19	10024306	+	MA0003
19	10138516	-	MA0003
19	10138551	-	MA0003
19	10295476	+	MA0003
19	10594462	-	MA0003
19	10612788	-	MA0003
19	10613527	+	MA0003
19	10613528	-	MA0003
19	10662447	-	MA0003
19	10704847	-	MA0003
19	10828687	-	MA0003
19	10828755	-	MA0003
19	10847862	+	MA0003
19	10847886	+	MA0003
19	10847887	-	MA0003
19	10854950	+	MA0003
19	10931948	-	MA0003
19	11009976	+	MA0003
19	11009977	-	MA0003
19	11050263	+	MA0003
19	11249395	-	MA0003
19	11253335	-	MA0003
19	11253348	+	MA0003
19	11253349	-	MA0003
19	11254078	+	MA0003
19	11254079	-	MA0003
19	11308449	-	MA0003
19	11404538	-	MA0003
19	11593421	-	MA0003
19	11616558	+	MA0003
19	11616576	+	MA0003
19	11692161	+	MA0003
19	11708070	+	MA0003
19	11708101	-	MA0003
19	11865663	-	MA0003
19	12170539	-	MA0003
19	12176277	+	MA0003
19	12176278	-	MA0003
19	12252107	+	MA0003
19	12362392	-	MA0003
19	12362441	+	MA0003
19	12362442	-	MA0003
19	12595543	-	MA0003
19	12595561	-	MA0003
19	12595706	-	MA0003
19	12675110	+	MA0003
19	12777703	+	MA0003
19	12792083	+	MA0003
19	12834502	-	MA0003
19	12894719	-	MA0003
19	12917535	-	MA0003
19	12939526	+	MA0003
19	12945071	-	MA0003
19	12996413	-	MA0003
19	13044275	-	MA0003
19	13049153	-	MA0003
19	13066947	-	MA0003
19	13066972	+	MA0003
19	13075898	+	MA0003
19	13075918	+	MA0003
19	13076339	-	MA0003
19	13094648	+	MA0003
19	13147382	-	MA0003
19	13164805	-	MA0003
19	13204849	-	MA0003
19	13274653	+	MA0003
19	13275580	-	MA0003
19	13781842	-	MA0003
19	13858934	+	MA0003
19	13858935	-	MA0003
19	13905919	-	MA0003
19	13951459	+	MA0003
19	13954587	+	MA0003
19	13954605	+	MA0003
19	13957919	+	MA0003
19	13972781	+	MA0003
19	13972782	-	MA0003
19	13991176	-	MA0003
19	14017074	-	MA0003
19	14017081	-	MA0003
19	14092035	+	MA0003
19	14092036	-	MA0003
19	14117155	+	MA0003
19	14142595	+	MA0003
19	14148511	+	MA0003
19	14223380	+	MA0003
19	14250992	+	MA0003
19	14613575	+	MA0003
19	14628896	+	MA0003
19	14664311	-	MA0003
