chr	pos	strand	gene
MT	5024	+	ND1
MT	6279	+	MT-ND2
MT	8192	+	MT-CO1
MT	9014	+	COII
MT	9249	+	ATP8
MT	9923	+	ATP6
MT	10706	+	COX3
MT	11126	+	ND3
MT	11492	+	ND4L
MT	12863	+	ND4
MT	14888	+	ND5
MT	16035	+	CYTB
MT	16184	-	ND6
15	129348	-	
6	23275784	-	HOGA1
4	90900224	+	DQX1
15	163019	-	
17	5645118	+	TBC1D13
15	249367	-	
28	1291895	-	
20	9658906	-	
6	23279065	-	ANKRD2
18	9777344	+	USP36
4	51651495	-	
4	90903700	+	
6	23282276	-	UBTD1
12	9119458	-	ARF4
14	13899484	+	NHLRC4
33	4891014	+	
4	90906220	-	
17	5651113	+	ENDOG
Z	16149274	+	NDUFS4
23	4546750	+	SFPQ
5	54616844	-	SIX6
27	5508435	+	PPY
27	5513082	+	
1	19335370	-	PIM3
4	51701345	-	
33	4926729	+	
15	320872	-	SLC25A1
20	9711179	+	STMN3
11	7850364	-	
23	4557658	+	TMEM35B
1	81097708	-	MAB21L3
4	51707040	-	
3	88395707	+	GSTA3
1	131744672	+	CYFIP1
23	4585150	+	DLGAP3
5	21900048	+	ALKBH3
11	7879259	+	SHCBP1
20	9728495	+	GMEB2
1	52103308	-	HMOX1
23	4588260	+	SMIM12
5	21908044	+	C5H11ORF96
2	67682465	-	OVA
Z	16203846	-	ARL15
1	131722616	-	
23	4593526	-	GJA4
19	6371390	-	BLMH
11	8114445	-	UQCRFS1
15	337036	-	CLTCL1
4	11336766	+	
11	8326905	+	VSTM2B
12	9131936	-	DENND6A
28	1324567	-	
14	13957363	+	RAB40C
19	6387881	-	TMIGD1
1	20198062	-	IL17REL
4	90936387	+	LBX2
19	6416637	+	CPD
4	90938865	-	TTC31
9	2867618	-	GPC1
2	121360566	+	
14	13964455	+	WFIKKN1
3	41238416	+	PHF10
3	88419649	+	
23	4606524	-	GJB5
1	180550812	-	MPHOSPH8
Z	16440602	+	HSPB3
23	4757157	-	
17	5651404	-	SPOUT1
11	8358687	+	POP4
13	14000097	-	HMGXB3
2	121340221	-	FABP9
3	4176209	+	RIN2
14	13971188	+	MCRIP2
Z	16470302	+	SNX18
3	88406498	+	
4	11340030	-	GLOD5
23	4994805	+	CSMD2
11	8376012	+	PLEKHF1
14	13973612	-	ABCA3
Z	16555542	-	
9	3565963	+	
13	14032708	-	NPY7R
4	11345577	-	
3	41238384	-	C3H6orf120
10	12075669	+	
Z	62817529	+	HAPLN1
2	67700354	-	OVALY
3	41308726	+	
Z	16626076	-	ESM1
4	11440335	-	
9	3598066	+	
Z	62817868	+	HAPLN1
8	14618965	-	C8H1ORF146
1	131746791	-	NIPA2
2	121349992	-	FABP4
13	14050129	+	
15	378574	-	SNAP29
14	14025385	-	HN1L
11	8389347	-	
19	6441777	+	GOSR1
Z	62818255	+	HAPLN1
10	12100380	+	
11	8389469	-	
8	14672386	-	EPHX4
19	6449084	-	TRARG1
6	23307438	+	EXOSC1
Z	62818170	+	HAPLN1
2	67714111	-	OVALX
9	3603751	-	IMP4
5	54651291	+	C14orf39
3	41926004	-	
3	88429050	+	GSTA2
1	52139053	-	
3	4208671	+	PYGB
10	12107184	+	
2	24127768	-	SLC25A13
5	22035594	+	EXT2
3	88429034	+	GSTA2
27	5555467	+	COL1A1
5	54706446	-	PPM1A
1	52142885	-	
2	67733489	-	SERPINB11
5	54749789	+	
28	1369557	+	GNA11
1	131765747	-	NIPA1
2	121389232	-	IMPA1
27	5558297	-	SGCA
10	12109325	-	SAXO2
27	5559043	-	SGCA
3	88429051	+	GSTA2
28	1370732	-	
27	5575947	+	PPP1R9B
19	6487543	+	ABR
3	41935664	-	SULT
13	14099309	+	FLT4
8	14698872	-	BRDT
1	81204741	+	NHLH2
1	180569335	-	PARP4
Z	16648999	-	
3	41987008	+	DACT2
6	23308083	-	PGAM1
28	1374946	-	
2	121404192	-	ZFAND1
5	22046823	-	ALX4
2	67749398	-	SERPINB5
28	1382110	+	S1PR4
Z	16671494	-	CDC20B
15	409259	-	SERPIND1
3	42159856	+	
19	6490173	-	TIMM22
4	90947873	+	
2	121426540	+	CHMP4C
2	24321442	-	SHFM1
13	14133615	+	RNF130
Z	16699213	+	GPX8
4	90954966	+	MOGS
33	4967991	+	LETMD1
17	5656364	-	
15	535526	-	HIC2
5	54775094	-	PCNX4
19	6550631	+	
1	180632384	+	CENPJ
2	24446202	+	DLX6
3	42171065	-	KIF25
1	52954337	+	LARGE1
3	4209087	-	ABHD12
4	90957760	-	
17	5682767	+	LRRC8A
5	22245391	+	CD82
17	5684619	+	LRRC8A
9	3610193	-	CCDC61
2	24446535	+	DLX6
1	180635764	-	
4	90974606	-	
23	5043661	+	SMAP2
9	3633593	+	
19	6572860	+	
2	121434274	-	SNX16
14	14161575	+	IFT140
1	180866070	+	
1	81263402	+	CASQ2
2	24451494	-	DLX5
4	90984000	+	
2	121434281	-	SNX16
19	6595618	+	ADORA2B
1	53223751	+	SYN3
Z	62992672	-	XRCC4
2	67798879	+	VPS4B
1	180901126	-	FDX1
2	24505959	+	
2	121644980	-	
15	535647	-	HIC2
2	122053840	-	
Z	16737509	-	DHX29
5	22418650	-	TP53I11
20	9786517	-	
4	51771902	-	
28	1391922	+	NCLN
2	67828096	+	KDSR
1	81276492	-	VANGL1
5	22544625	+	PRDM11
1	53094947	-	TIMP3
15	535648	-	HIC2
28	1393884	+	NCLN
1	81317906	-	CHD1L
9	3700823	-	C3orf70
3	88419645	+	
5	22533575	+	
12	9232521	+	SLMAP
2	67924872	+	BCL2
33	4984673	-	TFCP2
19	6597285	-	ZSWIM7
10	12171882	+	EFL1
20	9801519	-	
2	24650779	+	TAC1
4	51790372	-	SULT1B
1	180969903	+	RDX
9	3724157	-	EHHADH
2	24650874	+	TAC1
33	4999482	-	POU6F1
2	67975897	-	PHLPP1
5	22558108	-	SYT13
28	1430678	+	CELF5
33	5007027	-	
20	9807021	+	SIRPA
13	14161503	+	TBC1D9B
1	180987196	-	ZC3H12C
10	12214007	+	MEX3B
2	68136178	-	ZCCHC2
1	53227761	-	FBXO7
15	657677	-	YDJC
1	181226287	-	C11orf87
19	6610481	+	TTC19
3	42522334	+	UNC93A
1	81357144	+	
3	88430716	-	TMEM14A
3	4273783	-	MEA1
33	5028317	-	SMAGP
3	42527287	+	TTLL2
8	14895304	-	CDC7
15	684344	+	SDF2L1
3	42530180	-	
13	14167146	+	MRNIP
14	14116079	-	TMEM204
7	3660255	-	IKZF2
2	122502774	+	RALYL
5	22599063	+	ASTL
3	88471489	-	AGPAT5
28	1431126	-	HSD11B1L
1	53286236	+	BPIFC
3	42572589	-	CCR6
Z	63542055	-	
33	5033336	-	BIN2
11	8542347	+	URI1
Z	16805888	+	SKIV2L2
1	20257352	-	MLC1
28	1438812	+	MICOS13
9	3818688	-	TMEM41A
1	81358311	-	TMEM39A
8	14955149	+	
2	122513246	-	
Z	63565254	+	
4	51792613	-	SULT1B1
28	1439512	-	
3	88558041	-	MCPH1
1	53299252	+	RTCB
3	42596925	-	CEP43
1	20258213	-	MLC1
2	122573529	-	
13	14199943	+	
7	4137970	-	
28	1467709	+	
1	181322903	-	DDX10
19	6614289	-	
1	53342024	+	PRDM4
11	9225471	-	TSHZ3
10	12542521	+	TMC3
4	51795704	-	
11	9766299	+	ZNF507
14	14162894	-	TELO2
1	20258530	-	MLC1
7	4189147	+	VWC2L
1	81408455	-	
1	181567603	+	POGLUT3
10	12547993	+	STARD5
28	1470054	-	
8	14968630	+	
20	9814892	+	NSFL1C
3	42646410	+	RNASET2
9	3833719	-	ANAPC13
19	6651098	-	
13	14211125	+	
1	81425204	-	B3GAT1L
14	14181841	+	
27	5584028	-	PDK2
1	81431892	-	B3GAT1L
19	6722801	+	PIGL
Z	63575834	-	ATG10
1	81550838	+	
7	4211052	-	BARD1
20	9830129	+	FKBP1A
5	22842140	-	FUT8
14	14178481	-	RNPS1
5	54984482	+	
11	9799515	+	DPY19L3
13	14213029	-	LTC4S
Z	63575896	-	ATG10
19	6723506	-	
14	14193311	-	
3	4294091	+	KLHDC3
7	4266278	-	ABCA12
9	3855471	+	CEP63
4	52910398	+	ANKRD50
2	122621351	+	E2F5
1	20312309	+	MOV10L1
Z	16883916	-	SLC38A9
4	11471654	-	
19	6734639	+	
1	20347898	+	PANX2
20	9836467	-	SNPH
5	23017303	-	FAM180B
3	89525372	-	
3	4299319	+	
3	42953613	+	MPC1L
4	53357901	-	SPRY1
3	42976660	+	SFT2D1
3	89695690	+	
33	5048685	-	GALNT6
3	89781332	-	
11	9804650	-	
33	5097737	+	SLC4A8
4	11545349	-	
10	12549593	-	IL16
2	122610894	-	RBIS
3	4301268	+	
2	24662430	-	ASNS
3	4303092	-	
2	122610897	-	RBIS
2	122617633	-	RBIS
2	24663386	-	ASNS
5	23026487	-	NDUFS3
3	43055477	+	TBXT
10	12600776	-	CFAP161
11	9809130	-	
Z	63891888	+	SSBP2
2	24663570	-	ASNS
2	122638462	+	CA13
4	90992347	+	
9	3930088	+	EPHB1
Z	63937293	+	ACOT12
6	23501555	-	HPS6
10	12666066	-	TLNRD1
9	4281923	+	A4GNT
33	5100835	-	
14	14236203	-	AMDHD2
15	761620	+	TOP3B
9	4290793	+	DZIP1L
5	23038606	-	PTPMT1
4	90996281	-	
2	122689749	+	CA3A
33	5116552	-	AQP5
1	181590958	-	ATM
10	12683390	+	MESDC2
15	761662	+	TOP3B
13	14243238	-	CANX
11	9857087	+	PDCD5
17	5728186	+	NUP188
Z	63940607	-	ZCCHC9
9	4296019	-	CLDN18
3	43540822	-	
4	11649932	+	MTMR8
18	9820165	-	PGS1
20	9867069	-	PSMF1
15	774934	+	PPM1F
5	55004165	+	L3HYPDH
8	15112455	+	BARHL2
3	43584185	-	
33	5128764	-	AQP2
14	14249705	-	ATP6V0C
9	4377193	-	SOX14
5	55005562	+	GPR135
13	14274538	+	
18	9839601	+	SOCS3
Z	16961191	+	DDX4
9	4516570	-	CRYGS
18	9856295	+	
28	1561535	+	EEF2
20	9900319	+	ANGPT4
33	5159038	+	FAIM2
4	11671967	+	AMER1
28	1566931	+	
17	5699487	-	DOLK
8	15351257	-	ZNF326
33	5168544	+	BCDIN3D
18	9856717	-	AFMID
1	132105662	+	OCA2
Z	63955273	-	CKMT2
2	24786862	+	MIOS
2	122724398	+	CA3B
33	5188564	-	KRT80
17	5699489	-	DOLK
8	15392220	-	LRRC8D
9	4522384	-	TBCCD1
1	181673539	-	ACAT1
6	23608492	+	ARMH3
10	12689664	-	CEMIP
2	24790712	-	RPA3
1	81587631	-	
8	15464547	-	LRRC8C
15	828953	+	MAPK3
8	15464741	-	LRRC8C
2	122822370	+	CA2
1	132259464	-	GABRG3
2	122876542	-	
2	24862531	+	UMAD1
2	24861202	+	UMAD1
12	9331542	-	DNASE1L3
20	9913913	+	SLC52A3
1	20462470	+	SELENOO
20	9913912	+	SLC52A3
8	15496216	-	LRRC8B
10	12742813	-	
20	9915465	+	SLC52A3
15	859774	+	YPEL1
1	181692016	-	CUL5
9	4543378	+	
Z	17014499	+	IL31RA
12	9350933	+	ABHD6
8	15497328	-	LRRC8B
7	4386891	+	ATIC
1	181732680	-	RAB39A
1	132566482	-	GABRA5
33	5226040	+	KRT7
10	12796230	-	ABHD17C
20	9920382	+	SCRT2
6	23634385	+	KCNIP2
14	14405252	-	NOG2
9	4549402	-	PROCR
28	1582029	-	ATCAY
27	5618641	+	DLX3
5	23085542	+	CELF1
3	4352906	-	
3	44210556	-	QKI
1	53592038	-	CRY1
1	81813213	-	
28	1616784	+	
1	81820856	-	
Z	63986799	-	RASGRF2
20	9923968	+	SRXN1
23	5103045	+	KCNQ4
27	5622478	-	
Z	64140404	-	MSH3
23	5112284	+	TINAGL1
3	4363776	-	
1	53634012	+	MTERF2
1	132762481	+	GABRB3
20	9930059	+	TCF15
11	9905204	+	RGS9BP
4	53576647	+	NUDT6
4	12042777	+	
1	20464869	-	TUBGCP6
1	181824109	+	SLN
1	133096377	+	ATP10A
5	23108100	+	RAPSN
12	9382321	+	IP6K2
11	9914941	+	NUDT19
9	4557627	+	PFKL
18	9863365	-	SYNGR2
2	122954777	+	ATP6V0D2
28	1670975	+	DUS3L
1	53635743	-	TMEM263
23	5114632	-	PEF1
14	14578596	+	
12	9382317	+	IP6K2
18	9871615	+	TMC6
1	53675196	-	RIC8B
1	20487638	-	
