chr	tss	strand	gene
1	69091	+	OR4F5
1	139379	-	AL627309.1
1	367640	+	OR4F29
1	622053	-	OR4F16
1	739137	-	AL669831.1
1	818043	+	AL645608.2
1	860260	+	SAMD11
1	866445	-	AL645608.1
1	894689	-	NOC2L
1	895967	+	KLHL17
1	901877	+	PLEKHN1
1	917497	-	C1orf170
1	935552	-	HES4
1	948803	+	ISG15
1	955503	+	AGRN
1	1009687	-	RNF223
1	1051741	-	C1orf159
1	1109264	+	TTLL10
1	1142071	-	TNFRSF18
1	1149518	-	TNFRSF4
1	1167411	-	SDF4
1	1167629	+	B3GALT6
1	1182102	-	FAM132A
1	1209265	-	UBE2J2
1	1215816	+	SCNN1D
1	1244989	-	ACAP3
1	1243947	+	PUSL1
1	1260071	-	CPSF3L
1	1260136	+	GLTPD1
1	1266694	+	TAS1R3
1	1284730	-	DVL1
1	1297157	-	MXRA8
1	1310875	-	AURKAIP1
1	1334708	-	CCNL2
1	1334902	+	RP4-758J18.2
1	1342693	-	MRPL20
1	1357149	-	ANKRD65
1	1361508	+	TMEM88B
1	1370241	+	VWA1
1	1385069	+	ATAD3C
1	1407143	+	ATAD3B
1	1447531	+	ATAD3A
1	1475833	-	TMEM240
1	1510249	-	SSU72
1	1510355	+	AL645728.1
1	1535476	-	C1orf233
1	1550795	+	MIB2
1	1567474	+	MMP23B
1	1590473	-	CDK11B
1	1624167	-	SLC35E2B
1	1655766	-	CDK11A
1	1677431	-	SLC35E2
1	1711896	-	NADK
1	1822495	-	GNB1
1	1846266	+	CALML6
1	1850712	-	TMEM52
1	1935276	-	C1orf222
1	1950780	+	GABRD
1	1981909	+	PRKCZ
1	2144159	-	C1orf86
1	2121237	+	AL590822.2
1	2145620	-	AL590822.1
1	2160134	+	SKI
1	2323146	-	MORN1
1	2258581	+	AL589739.1
1	2323267	+	RER1
1	2345236	-	PEX10
1	2357419	+	PLCH2
1	2458039	-	PANK4
1	2461684	-	HES5
1	2487078	+	TNFRSF14
1	2517930	+	FAM213B
1	2564481	-	MMEL1
1	2718286	-	TTC34
1	2938046	+	ACTRT2
1	2985732	+	PRDM16
1	3370990	+	ARHGEF16
1	3528059	-	MEGF6
