chr	pos	strand	gene
1	84100200	-	
2	235269677	+	
1	444133	+	
2	42862412	+	
3	57786637	-	
2	235278695	+	
1	84971839	+	
2	46488824	+	
2	884403	+	
1	85312396	+	
1	669037	-	
3	75065835	-	
2	46493230	+	
1	86084878	-	
1	1347392	+	
2	51983724	-	
1	86859739	-	
2	52101668	+	
1	1694177	-	
3	77059439	+	
2	8106020	+	
3	77059598	+	
2	8106779	+	
2	8106915	+	
3	77064783	+	
2	54165214	-	
2	8162685	+	
2	8168158	+	
2	57255950	-	
1	87436420	-	
1	2064711	+	
2	57569697	-	
1	2071544	+	
3	92135161	-	
3	92121422	-	
1	87324424	-	
2	59946060	-	
1	2589007	+	
2	14179651	+	
2	14179747	+	
2	14186034	+	
2	60868273	-	
2	14188542	+	
1	3119915	+	
1	87324520	+	
2	61116488	-	
2	61324252	+	AC095678.2
1	87762412	-	
1	4960934	-	Rab32
2	23567788	-	
2	23567357	-	
1	7379696	-	
2	68939891	-	
1	90977492	+	
1	90983680	+	
3	92485996	+	
2	76305619	-	
1	7401985	-	
3	92486022	+	
2	51636230	-	
3	92486039	+	
3	92486054	+	
1	94024973	+	
2	76328412	-	
1	8021597	+	
2	82453554	+	
1	12885886	-	
1	95603022	-	
2	52006086	+	AABR07008309.1
3	109324851	+	
2	52023737	+	AABR07008309.1
2	91935414	+	
3	109324854	+	
2	52023847	+	AABR07008309.1
1	12885967	+	
1	96563246	-	
2	92076937	-	
1	14673538	-	
1	96900307	-	
3	115462233	-	
2	92073919	+	
1	16092477	-	
2	52804859	+	
2	52807035	+	
1	97791143	+	
2	102087975	-	
1	16724591	+	AABR07000544.1
1	98351417	-	
3	115675892	-	
2	55436170	+	
2	102656545	+	
1	16826953	-	
3	115676557	-	
2	103944795	-	AABR07009634.1
1	16780199	+	
1	101614667	+	
1	20235866	-	
2	103943845	+	AABR07009634.2
2	76314745	+	
1	20232998	+	
3	146215179	-	
2	104793875	+	
1	103575380	+	
3	146220526	-	
1	21237354	+	
2	110859374	+	
2	76788033	+	
2	120844936	-	
1	21242213	-	
2	120843930	+	
1	103596261	-	
2	121466275	+	
3	147026672	+	
1	21378268	-	
1	21377649	-	
3	147034807	+	
3	147037151	+	
2	101807024	+	
2	101807032	+	
1	110481030	-	
1	22875660	-	
2	101807194	+	
2	132729440	-	
2	101808225	+	
1	111096099	-	
1	22878500	-	
2	132729763	-	
1	114717049	-	
2	132729497	+	
1	23127067	-	
1	23125702	-	
2	136389168	+	
1	114753074	-	
1	23132765	-	
2	104272536	-	
1	118054398	-	
1	26117528	-	
2	104168690	-	
2	104156786	-	
1	29281230	+	
1	120209340	+	
1	120209362	+	
1	32695140	+	
2	110180703	+	
1	121835476	+	
2	110195703	+	
1	35039949	-	
2	137978089	-	Ufm1
1	122231295	-	
2	117209919	-	
1	35326361	-	
2	137977595	-	Ufm1
2	137977561	-	Ufm1
1	124037807	+	
1	36044811	-	
2	137969699	+	Ufm1
2	117539737	+	
2	139243220	+	
1	124050896	+	
2	117543298	+	
2	117543332	+	
1	38691338	-	
1	38651281	-	
2	117550581	+	
2	139278051	-	
2	117576197	+	
1	38683131	-	
1	124254337	+	
2	139715276	+	
2	139715319	+	
1	39029307	-	
