chr	pos	strand	gene
17	27976031	-	ptafr
17	27972307	-	ptafr
16	45094599	-	si:rp71-77l1.1
13	11679486	-	si:ch211-195e19.1
6	34028532	+	si:ch73-185c24.2
5	67471375	-	si:dkey-251i10.2
17	20607487	+	si:ch73-288o11.5
23	45611980	+	dclk2b
22	1092479	+	guca1e
7	67842997	-	pmfbp1
17	20605013	+	si:ch73-288o11.5
22	1110855	+	si:ch1073-181h11.1
7	528593	+	nrxn2b
8	10561922	+	tafa5l
16	7242610	+	sri
6	40482330	+	fgd5b
9	22076368	-	crygm2a
17	23895026	-	pdzd8
24	29586082	-	vav3a
24	7153628	+	si:dkeyp-101e12.1
6	9204099	+	tbx19
24	17029374	-	ptgdsb.1
9	38042939	-	hacd2
1	56948694	-	si:ch211-1f22.1
2	49799470	+	si:ch211-190k17.19
21	44731865	-	ammecr1
3	14581643	+	znf653
1	38415158	-	hpgd
2	37797577	-	nfatc4
21	20765338	-	ghrb
2	6051836	-	czib
20	9355912	+	si:dkey-174m14.3
11	1400507	-	rpl29
21	20757866	-	ghrb
5	28271412	+	vamp8
13	280652	-	slc30a6
23	39558508	+	camk1gb
10	6697369	+	si:ch211-57m13.8
1	44710937	-	si:dkey-28b4.7
19	44009473	+	nkd3
11	1400630	-	rpl29
1	56951369	-	si:ch211-1f22.2
15	46108548	+	lrfn1
10	17747880	+	pigo
15	45994123	+	lrfn1
11	1400610	-	rpl29
16	42471455	+	pkdc
24	38110779	-	crp2
9	22092089	-	crygm2d13
7	753231	-	drap1
24	38113208	-	crp2
3	29671653	-	sult3st1
7	67894046	-	si:ch73-315f9.2
18	32916351	+	olfcg2
23	30707837	+	dnajc11a
24	38121920	-	si:ch211-234p6.9
1	56955349	+	si:ch211-1f22.10
15	46313082	+	si:ch1073-190k2.1
18	22753637	-	hsf4
19	33850201	-	otud6b
24	25364775	-	ptchd1
13	281214	+	mpc1
24	25363815	-	ptchd1
7	72882494	+	ADGRL3
21	1625976	-	vmo1b
23	2728095	+	zgc:114123
20	2669017	+	slc35a1
4	1722899	+	fgfr1op2
7	756942	+	C7H11orf68
17	24866727	-	hmgcl
12	33805366	-	galk1
6	52242139	+	zc3h10
19	33835396	-	si:ch73-302o18.2
5	41774366	+	wdr66
17	24866964	-	hmgcl
6	52247993	+	zc3h10
3	18437397	+	tbc1d16
1	20826023	-	tll1
7	37742299	+	brd7
2	11946554	+	cdc73
8	43835603	-	adgrd1
4	11106856	-	si:dkey-21h14.12
9	22099536	-	crygm2d11
16	7239508	-	nt5c3a
2	38556195	+	cdh24b
24	38131381	-	crp6
4	40835393	+	si:dkey-285e18.2
1	20824411	-	tll1
