chr	pos	strand	gene
CHR_HSCHR2_2_CTG1	753629	+	
CHR_HSCHR2_2_CTG1	745961	+	
CHR_HSCHR2_2_CTG1	745973	+	
CHR_HSCHR5_2_CTG1	29200579	+	
CHR_HSCHR2_2_CTG1	746472	+	
CHR_HSCHR2_2_CTG1	859032	-	
CHR_HSCHR5_2_CTG1	29152383	+	LINC02109
CHR_HSCHR5_2_CTG1	29152392	+	LINC02109
CHR_HSCHR5_2_CTG1	29162414	+	LINC02109
CHR_HSCHR5_2_CTG1	29162416	+	LINC02109
CHR_HSCHR5_2_CTG1	29173305	+	LINC02109
CHR_HSCHR20_1_CTG3	64147290	-	
CHR_HSCHR7_2_CTG7	157742461	-	
CHR_HSCHR1_1_CTG31	153769407	-	
CHR_HSCHR1_1_CTG31	153768458	-	
CHR_HSCHR3_5_CTG2_1	184510148	+	LINC01839
CHR_HSCHR3_5_CTG2_1	184426592	+	LINC02054
CHR_HSCHR1_4_CTG31	144641323	-	
CHR_HSCHR1_4_CTG31	144632861	-	
CHR_HSCHR1_4_CTG31	144641637	-	
CHR_HSCHR1_4_CTG31	144567601	+	
CHR_HSCHR1_4_CTG31	144567648	+	
CHR_HSCHR1_4_CTG31	144568301	+	
CHR_HSCHR19_2_CTG2	21803110	-	
CHR_HSCHR19_2_CTG2	21803339	-	
CHR_HSCHR1_4_CTG31	144568027	-	
CHR_HG151_NOVEL_TEST	56859642	+	LINC02735
CHR_HSCHR20_1_CTG4	63449173	+	KCNQ2-AS1
CHR_HSCHR12_6_CTG2_1	123935036	-	
CHR_HSCHR19_1_CTG2	20978678	+	
CHR_HSCHR19_1_CTG2	20815244	+	
CHR_HSCHR21_5_CTG2	46187390	+	
CHR_HSCHR21_5_CTG2	46151614	+	FTCD-AS1
CHR_HSCHR3_9_CTG3	198149680	+	
CHR_HSCHR3_9_CTG3	198148759	+	
CHR_HSCHR3_2_CTG2_1	154121332	-	ARHGEF26-AS1
CHR_HSCHR3_2_CTG2_1	154121263	-	ARHGEF26-AS1
CHR_HSCHR3_2_CTG2_1	154121211	-	ARHGEF26-AS1
CHR_HSCHR12_4_CTG2	31326589	+	FLJ13224
CHR_HSCHR18_2_CTG2	67554415	-	
CHR_HSCHR18_2_CTG2	67585995	+	DSEL-AS1
CHR_HSCHR18_2_CTG2	67576038	+	
CHR_HSCHR19_1_CTG2	20755250	-	
CHR_HSCHR5_2_CTG5	177970078	+	
CHR_HSCHR5_2_CTG5	177944158	+	
CHR_HSCHR20_1_CTG4	63422269	+	
CHR_HSCHR5_2_CTG5	177871183	-	
CHR_HSCHR5_2_CTG5	177871190	-	
CHR_HSCHR5_2_CTG5	177871194	-	
CHR_HSCHR5_2_CTG5	177954877	+	
CHR_HSCHR16_4_CTG1	1886256	-	LINC00254
CHR_HSCHR5_2_CTG5	177955955	+	
CHR_HSCHR16_4_CTG1	1886269	-	LINC00254
CHR_HSCHR5_2_CTG5	177956513	+	
CHR_HSCHR5_2_CTG5	177957793	+	
CHR_HSCHR16_4_CTG1	1874127	-	MEIOB
CHR_HSCHR16_4_CTG1	1874176	-	MEIOB
CHR_HSCHR16_4_CTG1	1886319	-	MEIOB
CHR_HSCHR16_4_CTG1	1891136	+	LINC02124
CHR_HSCHR1_1_CTG11	30420942	+	
CHR_HSCHR1_1_CTG11	30413531	-	
CHR_HSCHR1_1_CTG11	30416755	-	
CHR_HSCHR2_1_CTG1	3427276	+	
CHR_HSCHR2_1_CTG1	3498320	+	
CHR_HSCHR10_1_CTG4	77782866	+	
CHR_HSCHR10_1_CTG4	77783166	+	
CHR_HSCHR10_1_CTG4	77790661	+	
CHR_HSCHR10_1_CTG4	77927372	+	DLG5-AS1
CHR_HSCHR10_1_CTG4	77927631	+	DLG5-AS1
CHR_HSCHR10_1_CTG4	77866875	+	
CHR_HSCHR5_3_CTG5	177871183	-	
CHR_HSCHR5_3_CTG5	177871190	-	
CHR_HSCHR5_3_CTG5	177871194	-	
CHR_HSCHR17_3_CTG4	77276398	-	
CHR_HSCHR17_3_CTG4	77270011	-	SEPTIN9-DT
CHR_HSCHR17_3_CTG4	77285948	-	SEPTIN9-DT
CHR_HSCHR17_3_CTG4	77293519	-	SEPTIN9-DT
CHR_HSCHR5_3_CTG5	177939622	+	
CHR_HSCHR5_3_CTG5	177950335	+	
CHR_HSCHR5_3_CTG5	177951413	+	
CHR_HSCHR5_3_CTG5	177951948	+	
CHR_HSCHR5_3_CTG5	177953165	+	
CHR_HSCHR18_3_CTG2_1	79685499	-	
CHR_HSCHR22_1_CTG6	23433564	+	LINC01659
CHR_HSCHR18_3_CTG2_1	79709405	-	
CHR_HSCHR18_3_CTG2_1	79685112	-	
CHR_HSCHR22_1_CTG6	23434171	+	LINC01659
CHR_HSCHR18_3_CTG2_1	79610642	+	
CHR_HSCHR18_3_CTG2_1	79576460	+	
CHR_HSCHR18_3_CTG2_1	79578063	+	
CHR_HSCHR5_3_CTG5	177967004	+	
CHR_HSCHR22_1_CTG6	23486981	-	FAM230I
CHR_HSCHR22_1_CTG6	23537844	-	LINC02557
CHR_HSCHR2_1_CTG5	36361147	-	CRIM1-DT
CHR_HSCHR8_1_CTG1	1302607	-	
CHR_HSCHR8_1_CTG1	1373685	+	
CHR_HSCHR8_1_CTG1	1377533	+	
CHR_HSCHR8_1_CTG1	1552054	-	DLGAP2-AS1
CHR_HSCHR11_1_CTG6	1694007	+	LINC02708
CHR_HSCHR11_1_CTG6	1691339	-	FAM99B
CHR_HSCHR11_1_CTG6	1671307	+	FAM99A
CHR_HSCHR11_1_CTG6	1671577	+	FAM99A
CHR_HSCHR22_1_CTG2	38968270	-	APOBEC3B-AS1
CHR_HSCHR2_4_CTG1	1344763	-	
CHR_HSCHR11_1_CTG6	1669053	-	
CHR_HSCHR11_1_CTG6	1577063	+	
CHR_HSCHR8_1_CTG1	1369833	-	
CHR_HSCHR11_1_CTG6	1578451	+	
CHR_HSCHR11_1_CTG6	1578967	+	
CHR_HSCHR11_1_CTG6	1579359	+	
CHR_HSCHR22_1_CTG2	38921227	+	
CHR_HSCHR18_1_CTG1_1	50567310	+	MAPK4
CHR_HSCHR18_1_CTG1_1	50567365	+	MAPK4
CHR_HSCHR18_1_CTG1_1	50567374	+	MAPK4
CHR_HSCHR18_1_CTG1_1	50567874	+	MAPK4
CHR_HSCHR18_1_CTG1_1	50302190	+	
CHR_HSCHR4_1_CTG6	34657606	+	
CHR_HSCHR4_1_CTG6	34668766	+	
CHR_HSCHR21_3_CTG1_1	32772100	+	C21orf62-AS1
CHR_HSCHR21_3_CTG1_1	32772125	+	C21orf62-AS1
CHR_HSCHR21_3_CTG1_1	32772150	+	C21orf62-AS1
CHR_HSCHR21_3_CTG1_1	32772161	+	C21orf62-AS1
CHR_HSCHR21_3_CTG1_1	32772162	+	C21orf62-AS1
CHR_HSCHR21_3_CTG1_1	32772174	+	C21orf62-AS1
CHR_HSCHR21_3_CTG1_1	32772188	+	C21orf62-AS1
CHR_HSCHR17_1_CTG9	82981265	+	
CHR_HSCHR17_1_CTG9	82979539	+	
CHR_HSCHR3_1_CTG2_1	151637174	+	LINC02066
CHR_HSCHR17_1_CTG9	82978904	+	
CHR_HSCHR6_1_CTG9	166236969	+	
CHR_HSCHR17_1_CTG9	82978708	+	
CHR_HSCHR6_1_CTG9	166277068	-	
CHR_HSCHR3_1_CTG2_1	151765669	-	AADACL2-AS1
CHR_HSCHR12_2_CTG2_1	59063055	+	LRIG3-DT
CHR_HSCHR4_1_CTG4	21582138	+	
CHR_HSCHR4_1_CTG4	21704652	+	
CHR_HSCHR11_2_CTG1_1	1663142	+	FAM99A
CHR_HSCHR11_2_CTG1_1	1663434	+	FAM99A
CHR_HSCHR11_2_CTG1_1	1685548	+	LINC02708
CHR_HSCHR11_2_CTG1_1	1571353	+	
CHR_HSCHR11_2_CTG1_1	1572741	+	
CHR_HSCHR11_2_CTG1_1	1573257	+	
CHR_HSCHR11_2_CTG1_1	1573649	+	
CHR_HSCHR11_2_CTG1_1	1660576	-	
CHR_HSCHR11_2_CTG1_1	1682598	-	FAM99B
CHR_HSCHR5_1_CTG1_1	70770949	+	
CHR_HSCHR16_CTG2	424543	-	
CHR_HSCHR4_3_CTG12	189780799	-	FRG1-DT
CHR_HSCHR4_3_CTG12	189868259	-	FRG1-DT
CHR_HSCHR4_3_CTG12	189899116	-	FRG1-DT
CHR_HSCHR4_3_CTG12	189884988	+	LINC01596
CHR_HSCHR11_1_CTG8	528907	+	
CHR_HSCHR4_3_CTG12	189704490	-	
CHR_HSCHR15_5_CTG8	82497719	+	
CHR_HSCHR17_4_CTG4	40850800	+	
CHR_HSCHR16_CTG2	530929	-	LINC00235
CHR_HSCHR16_CTG2	531239	+	CAPN15
CHR_HSCHR16_CTG2	531270	+	CAPN15
CHR_HSCHR16_CTG2	531345	+	CAPN15
CHR_HSCHR16_CTG2	531378	+	CAPN15
CHR_HSCHR22_1_CTG1	42090956	+	NDUFA6-DT
CHR_HSCHR22_1_CTG1	42091014	+	NDUFA6-DT
CHR_HSCHR22_1_CTG1	42091402	+	NDUFA6-DT
CHR_HSCHR22_1_CTG1	42127775	-	
CHR_HSCHR15_2_CTG8	66291180	-	DIS3L-AS1
CHR_HSCHR15_2_CTG8	66270636	+	
CHR_HSCHR22_2_CTG1	42090028	-	
CHR_HSCHR22_2_CTG1	42090931	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42090967	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42091204	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42091352	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42091402	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42118256	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42118347	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42118499	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42123717	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42132016	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42132035	+	NDUFA6-DT
CHR_HSCHR22_2_CTG1	42150238	-	
CHR_HSCHR17_4_CTG4	40921430	+	
CHR_HSCHR1_ALT2_1_CTG32_1	248487928	-	
CHR_HSCHR8_1_CTG7	128924280	-	
CHR_HSCHR8_1_CTG7	128561126	-	LINC00824
CHR_HSCHR8_1_CTG7	128564679	-	LINC00824
CHR_HSCHR3_7_CTG3	195708183	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708286	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708726	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708154	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708250	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708583	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708185	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708178	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708480	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708162	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708155	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708242	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195701557	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708657	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195701639	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708158	+	MUC20-OT1
CHR_HSCHR3_7_CTG3	195708206	+	MUC20-OT1
CHR_HSCHR6_1_CTG5	170544544	-	PSMB1
CHR_HSCHR3_4_CTG3	195708183	+	MUC20-OT1
CHR_HSCHR22_3_CTG1	42139932	-	
CHR_HSCHR6_1_CTG5	170423462	+	
