chr	pos	strand	gene
MT	3307	+	MT-ND1
MT	4470	+	MT-ND2
MT	5904	+	MT-CO1
MT	7586	+	MT-CO2
MT	8366	+	MT-ATP8
MT	8527	+	MT-ATP6
MT	9207	+	MT-CO3
MT	10059	+	MT-ND3
MT	10470	+	MT-ND4L
MT	10760	+	MT-ND4
MT	12337	+	MT-ND5
MT	14673	-	MT-ND6
MT	14747	+	MT-CYB
Y	22490397	+	PRY
Y	12662368	+	USP9Y
Y	12701231	+	USP9Y
Y	22096007	-	PRY2
Y	20575776	+	EIF1AY
Y	22984263	+	BPY2
Y	22992344	+	BPY2
Y	9487313	+	TSPY9P
Y	9527880	+	TSPY10
Y	23694579	-	PRYP3
Y	9466955	+	TSPY1
Y	22403470	+	RBMY1J
Y	25622162	+	CDY1
Y	24618004	+	BPY2B
Y	24626085	+	BPY2B
Y	18773735	-	HSFY2
Y	18546720	+	HSFY1
Y	3579067	+	TGIF2LY
Y	3579115	+	TGIF2LY
Y	18025787	+	CDY2A
Y	24048019	-	CDY1B
Y	25052104	-	BPY2C
Y	25044023	-	BPY2C
Y	17880220	-	CDY2B
Y	2787682	-	SRY
Y	2841602	+	RPS4Y1
Y	2935281	+	ZFY
Y	2935381	+	ZFY
Y	12904108	+	DDX3Y
Y	12904868	+	DDX3Y
Y	13703899	+	TMSB4Y
Y	13986473	-	VCY
Y	23199008	-	DAZ1
Y	6911752	-	AMELY
Y	6910686	+	TBL1Y
Y	6910697	+	TBL1Y
Y	9337464	+	TSPY4
Y	9357797	+	TSPY8
Y	9398421	+	TSPY3
Y	14056227	+	VCY1B
Y	20756108	+	RPS4Y2
13	24307166	+	C1QTNF9
13	24309578	+	C1QTNF9
13	24512778	-	PARP4
13	23889400	-	MIPEP
13	24764169	+	RNF17
13	28659130	+	POMP
13	30307551	-	KATNAL1
13	30307026	-	KATNAL1
13	30422488	+	UBE2L5
13	30422493	+	UBE2L5
13	30427991	+	UBE2L5
13	36431520	+	CCNA1
13	36431903	+	CCNA1
13	30617920	+	USPL1
13	27988693	-	URAD
13	30465936	-	HMGB1
13	30617597	-	HMGB1
13	30464310	-	HMGB1
13	30465242	-	HMGB1
13	36214556	-	SOHLH2
13	44989538	+	GPALPP1
13	23979700	+	
13	31161904	-	HSPH1
13	44989471	-	NUFIP1
13	49792682	-	KPNA3
13	20525857	-	CRYL1
13	27969315	-	CDX2
13	49401599	-	CAB39L
13	49444064	-	CAB39L
13	49444053	-	CAB39L
13	49413751	-	CAB39L
13	40789611	+	SLC25A15
13	43023586	+	DNAJC15
13	26760786	-	GPR12
13	26760290	-	GPR12
13	45120510	+	GTF2F2
13	26557683	+	WASF3
13	44373824	+	SERP2
13	36297842	-	CCDC169-SOHLH2
13	39603193	-	LHFPL6
13	63746741	+	
13	42272152	+	AKAP11
13	44161257	-	SMIM2
13	72727629	-	MZT1
13	61415522	-	PCDH20
13	39038089	-	PROSER1
13	45615739	-	ERICH6B
13	33016423	+	KL
13	72782133	+	PIBF1
13	70108452	-	KLHL1
13	27424619	+	GTF3A
13	31199975	+	B3GLCT
13	43883800	+	
13	41019316	-	ELF1
13	44436845	-	TSC22D1
13	38687077	+	FREM2
13	57147488	+	PRR20B
13	57160632	+	PRR20D
13	80339659	-	SPRY2
13	80341126	-	SPRY2
13	57167197	+	PRR20E
18	500701	-	COLEC12
13	38349851	+	UFM1
18	11851413	+	CHMP1B
18	11981507	+	IMPA2
13	94596152	-	TGDS
18	4455307	-	DLGAP1
13	28495128	-	FLT1
18	9708301	+	RAB31
13	99200854	+	UBAC2
13	33818149	+	RFC3
13	94479682	-	DCT
13	78603552	-	POU4F1
18	812546	-	YES1
18	812242	-	YES1
13	99498956	+	TM9SF2
13	99501472	+	TM9SF2
22	16592810	-	CCT8L2
22	18527802	+	TMEM191B
21	18403785	-	TMPRSS15
21	7793954	-	
21	5128369	-	
18	12703042	+	PSMG2
18	13915536	-	MC2R
13	24270688	+	SPATA13
18	32773023	-	KLHL14
22	20858811	-	PI4KA
13	39038456	+	NHLRC3
13	53028813	+	OLFM4
13	57140918	+	PRR20A
21	6111131	+	
21	29019349	-	RWDD2B
22	21361299	-	FAM246A
21	30541864	-	KRTAP19-6
18	9102699	+	NDUFV2
22	18518161	-	GGTLC3
13	97953675	+	IPO5
21	29077633	+	MAP3K7CL
21	29092254	+	MAP3K7CL
13	97960249	+	IPO5
13	97976632	+	IPO5
22	19291719	-	CLTCL1
21	29130638	+	MAP3K7CL
21	29130644	+	MAP3K7CL
21	29130961	+	MAP3K7CL
21	30635206	+	KRTAP20-2
22	18633984	+	FAM246B
22	18611919	-	RIMBP3
21	30487436	-	KRTAP19-2
18	11908317	-	MPPE1
21	32393012	-	URB1
21	5973383	-	
21	30289514	-	KRTAP25-1
21	30747259	-	KRTAP21-2
21	5154658	-	
21	30166805	-	CLDN17
13	63833531	-	
13	57631744	+	PCDH17
21	30430230	+	KRTAP13-4
21	34073578	+	MRPS6
18	5197257	-	AKAIN1
21	30282950	-	KRTAP24-1
21	30598902	-	KRTAP6-2
21	30616425	+	KRTAP20-1
21	30755428	-	KRTAP21-1
21	30620627	+	KRTAP20-4
18	45212995	+	SLC14A2
18	45615476	+	SLC14A2
22	23772849	+	MMP11
13	77975529	-	EDNRB
13	77918831	-	EDNRB
13	77919397	-	EDNRB
13	77919390	-	EDNRB
21	34073578	+	SLC5A3
21	30718777	-	KRTAP21-3
22	22520270	-	ZNF280A
13	27171811	-	USP12
18	9475009	+	RALBP1
18	9475513	+	RALBP1
21	36385392	+	CHAF1B
21	30497165	-	KRTAP19-4
21	30502141	-	KRTAP19-5
21	5133805	-	
20	1620009	-	
20	4249287	-	ADRA1D
20	1002311	-	RSPO4
20	227258	+	DEFB129
20	916334	-	ANGPT4
21	29073648	-	CCT8
20	5750401	+	SHLD1
20	8019761	-	TMX4
22	22559340	-	PRAME
22	22559265	-	PRAME
22	22559288	-	PRAME
21	20998409	+	NCAM2
20	10435305	+	SLX4IP
20	5911510	+	CHGB
21	30425968	-	KRTAP13-3
22	22559289	-	PRAME
22	22559143	-	PRAME
21	30320315	-	KRTAP26-1
20	87672	+	DEFB125
21	30396031	+	KRTAP13-1
20	21514064	-	NKX2-2
22	22508742	-	ZNF280B
22	22489468	-	ZNF280B
22	23754425	-	VPREB3
22	33058381	-	SYN3
13	41061509	+	WBP4
13	36674020	+	SERTM1
21	28992877	-	LTN1
21	28992949	-	LTN1
18	46174034	+	C18orf25
20	6767686	+	BMP2
20	1994058	-	PDYN
20	1994285	-	PDYN
20	1993748	-	PDYN
20	833715	+	FAM110A
18	50375046	+	SKA1
18	50375040	+	SKA1
20	833777	+	FAM110A
20	833784	+	FAM110A
20	836068	+	FAM110A
20	841275	+	FAM110A
20	20368104	+	INSM1
20	189711	-	DEFB128
13	26254129	+	CDK8
13	94712545	-	SOX21
18	50266495	-	CFAP53
22	31399604	+	DRG1
13	29595688	-	SLC7A1
22	37560480	+	CDC42EP1
22	37686414	+	
18	36067559	-	RPRD1A
18	36067556	-	RPRD1A
20	142590	+	DEFB126
22	30080464	+	HORMAD2
22	30081011	+	HORMAD2
18	43115685	-	RIT2
13	98752672	-	SLC15A1
20	21397526	-	NKX2-4
18	12702723	-	CEP76
