chr	pos	strand	gene
1	84097744	-	
2	235280362	+	
1	449072	+	
2	42874133	+	
3	57757598	-	
2	235275612	+	
1	447701	+	
3	57771018	-	
1	84972955	+	
2	46497950	+	
2	900936	+	
2	888597	+	
1	85314369	+	
1	665801	-	
3	75061492	-	
2	46495973	+	
3	75062582	-	
1	86082052	-	
1	1356446	+	
2	51977201	-	
1	86856800	-	
2	52108002	+	
1	1685022	-	
3	77068230	+	
2	8226988	+	
3	77068233	+	
2	8283660	+	
2	8168522	+	
2	54159664	-	
2	8172688	+	
2	57254651	-	
1	87300676	-	
1	2068275	+	
1	87382191	-	
2	57567962	-	
1	2078784	+	
3	92117063	-	
3	92117356	-	
3	92117365	-	
1	87318941	-	
2	59942763	-	
1	2602269	+	
2	14200268	+	
2	14184210	+	
2	14182225	+	
2	60865483	-	
1	3121187	+	
1	87327129	+	
2	61098984	-	
2	61328912	+	AC095678.2
1	87759433	-	
1	4945036	-	Rab32
2	23566075	-	
2	23566115	-	
2	23566331	-	
1	7379126	-	
2	68875929	-	
1	90984497	+	
3	92546105	+	
2	76303754	-	
1	7396108	-	
2	51632703	-	
2	51634082	-	
1	94034229	+	
2	76323450	-	
1	8031188	+	
2	82455282	+	
1	12873090	-	
1	95587760	-	
1	95590467	-	
2	52027865	+	AABR07008309.1
3	109343998	+	
2	52027119	+	AABR07008309.1
3	109335000	+	
2	92030033	+	
2	52027011	+	AABR07008309.1
3	109327714	+	
1	12888297	+	
1	96556634	-	
2	92069898	-	
1	14671111	-	
1	96891443	-	
3	115453922	-	
2	92076935	+	
3	115457157	-	
1	16088167	-	
2	52812150	+	
2	52810460	+	
1	97797638	+	
2	102083744	-	
1	16740168	+	AABR07000544.1
1	98348507	-	
3	115619632	-	
2	55465279	+	
2	102687064	+	
1	16776730	-	
3	115619780	-	
2	55455942	+	
2	103939126	-	AABR07009634.1
1	16788041	+	
1	101637056	+	
1	20229465	-	
2	104031632	+	AABR07009634.2
2	76335523	+	
2	76326579	+	
2	76315880	+	
1	20265349	+	
3	146210117	-	
2	104796101	+	
1	103655206	+	
3	146210141	-	
1	103592307	+	
1	21243620	+	
3	146213958	-	
2	110863752	+	
2	76896646	+	
2	76852298	+	
2	120843827	-	
1	21237998	-	
2	120908257	+	
1	103587276	-	
2	121467928	+	
3	147040850	+	
1	21363946	-	
3	147040768	+	
2	101842066	+	
1	110451056	-	
2	101810604	+	
1	22873422	-	
2	101832431	+	
2	132573643	-	
1	111092851	-	
2	132651915	-	
1	22876374	-	
2	132721547	-	
1	114713724	-	
2	132751626	+	
1	23123683	-	
2	136390647	+	
1	114719526	-	
1	23130257	-	
2	104145858	-	
1	118034907	-	
1	26115204	-	
2	104149516	-	
1	29284415	+	
2	104150337	-	
1	120222243	+	
1	32697201	+	
2	110199903	+	
1	121838547	+	
1	35036944	-	
2	137966678	-	Ufm1
1	122215557	-	
2	117170926	-	
1	35318705	-	
2	137969481	-	Ufm1
2	117192071	-	
2	137970598	-	Ufm1
1	124043811	+	
2	137970611	-	Ufm1
1	36036832	-	
1	36040828	-	
2	137977577	+	Ufm1
2	117565347	+	
2	139245374	+	
1	124068487	+	
1	124067583	+	
1	38624474	-	
2	117589148	+	
2	139272346	-	
1	38662883	-	
1	124356087	+	
2	139743673	+	
2	139739443	+	
1	39020173	-	
2	142897858	+	
2	147825166	+	
1	127300641	-	
2	142893292	+	
2	148488294	-	
1	39032811	-	
1	127628539	+	
1	39039162	-	
2	148727966	+	
2	144645608	+	
1	133176194	-	
2	153545578	-	
1	39340487	+	
2	144657285	+	
1	134304915	-	
1	41167598	-	
1	134554585	+	
1	43855889	+	
2	154133733	-	Sptssb
2	154133746	-	Sptssb
1	135164303	-	
1	46061332	-	
2	149691327	-	
2	164209545	+	
2	149712348	-	
1	135486425	+	
1	135486336	+	
2	150215141	+	
1	135772095	-	
1	46666641	-	
1	46676358	-	
1	46679206	-	
2	172420539	-	
1	135773388	-	
2	172421617	-	
2	172421620	-	
1	46810898	-	
2	172421647	-	
2	172421972	-	
1	46813161	+	
2	173598394	-	
1	53210127	+	
2	160616419	+	
1	137853561	+	
2	173640203	-	
1	137850573	+	
1	137831596	+	
2	160579194	+	
1	53271827	+	
2	173748230	-	
2	168285302	+	
2	168282667	+	
1	53282713	+	
1	140688294	+	
2	174598491	-	
1	53374318	+	
2	174598495	-	
2	174599908	-	
1	143288805	+	
2	174693398	-	
1	143948819	-	
1	53423619	-	
2	169840199	+	
2	175196685	+	
1	147180406	+	
2	169837357	+	
1	53620899	-	
2	169837857	+	
2	169837182	+	
2	175192097	-	
1	53745778	-	
2	175826027	-	
1	150257195	-	AABR07004733.2
2	175828609	+	
2	173508024	+	
2	173508313	+	
1	150686433	-	
2	173504254	+	
1	53816738	-	
2	176117405	+	
1	150714271	-	
2	182536907	-	
2	176188374	+	
2	176182119	+	
2	182538371	-	
1	152958831	+	
1	55062037	+	
1	152961670	-	
1	55057234	-	
2	180251809	+	
1	153129996	-	
1	153130100	-	
1	55802349	+	
2	182814028	+	Cdc42se1
1	56009683	+	
1	154040564	+	
1	56661942	+	
2	182092688	+	
1	154252043	+	
2	183886558	+	
1	59906367	+	
2	183880276	+	
1	154250462	-	
1	60039429	+	
1	60031022	-	
1	154456939	-	
2	182221339	-	
2	184833548	-	
2	182229655	-	
2	182230442	-	
2	184844503	-	
1	60531777	-	
1	60813484	+	
2	182365205	-	
2	182365468	-	
1	61113260	+	
2	182598658	+	
2	184848196	+	
1	61545248	-	
1	154515668	-	
2	184841782	+	
1	154518167	-	
1	154523373	-	
2	184842678	+	
1	154537357	-	
1	62426882	-	
2	182736399	+	
1	62903418	-	AABR07001942.1
1	65325849	+	
2	185607325	+	
2	185585412	+	
1	154532020	+	
2	185607833	+	
1	66756308	-	
