chr	pos	strand	gene
1	13886542	-	PHLPP1
1	41940010	-	RMND1
1	48283	-	ENPP1
1	49956	-	ENPP1
1	62496418	+	CLVS2
1	41999589	+	ARMT1
1	14191690	-	ZCCHC2
1	14196307	-	ZCCHC2
1	162058	+	
1	237962	+	
1	363471	+	
1	42119544	+	CCDC170
1	399176	-	ADNP2
1	490595	-	RBFA
1	532925	+	TXNL4A
1	533021	+	TXNL4A
1	529462	+	TXNL4A
1	42570184	+	ESR1
1	42551842	+	ESR1
1	62606830	-	TRDN
1	62717107	-	TRDN
1	62820121	-	TRDN
1	62848609	-	TRDN
1	542223	-	HSBP1L1
1	14362936	-	TNFRSF11A
1	14364150	-	TNFRSF11A
1	14377898	-	TNFRSF11A
1	601762	+	
1	603284	+	
1	602686	+	
1	14438444	-	RELCH
1	84536507	-	
1	85194253	-	ANXA1
1	64065725	+	NKAIN2
1	63897472	+	NKAIN2
1	63631562	+	NKAIN2
1	85442026	+	ALDH1A1
1	85444756	+	ALDH1A1
1	42566922	-	SYNE1
1	42566939	-	SYNE1
1	42838244	-	SYNE1
1	64294050	+	RNF217
1	563434	-	CTDP1
1	692539	-	CTDP1
1	85491544	-	TMC1
1	64425075	+	TPD52L1
1	64424515	+	TPD52L1
1	101774245	+	PEG3
1	101760995	+	PEG3
1	101773451	+	PEG3
1	85878925	+	ZFAND5
1	101802541	+	
1	101808212	-	
1	99660396	+	NOL8
1	101831660	+	
1	64430523	-	HDDC2
1	64453106	-	HDDC2
1	101902908	+	
1	14652948	+	PIGN
1	85936847	-	GDA
1	85936860	-	GDA
1	85957462	-	GDA
1	85957467	-	GDA
1	85958884	-	GDA
1	101913935	+	OR6Z1
1	43040354	-	
1	827017	-	NFATC1
1	827232	-	NFATC1
1	827259	-	NFATC1
1	827869	-	NFATC1
1	101930539	+	
1	101938717	-	
1	43092288	+	MYCT1
1	43093349	+	MYCT1
1	112133414	+	ZNF428
1	64810176	+	
1	118838018	-	
1	101955303	-	OR6Z1
1	64828825	+	
1	112127992	-	SRRM5
1	43130243	+	VIP
1	119019420	-	KCTD15
1	101966320	-	
1	112139856	-	ZNF576
1	64850338	+	HEY2
1	107630266	-	DKKL1
1	86136415	+	
1	99725666	+	IARS1
1	99730810	+	IARS1
1	43148086	-	
1	112149648	+	IRGQ
1	119058911	-	CHST8
1	86196854	-	C1H9orf85
1	102006096	+	
1	14653787	+	
1	43322263	-	FBXO5
1	102010682	-	SMIM17
1	112153211	-	
1	14674618	-	
1	107650874	+	TEAD2
1	116792788	-	ZNF529
1	102044823	+	
1	43336148	-	MTRF1L
1	43339078	-	MTRF1L
1	86343493	+	ABHD17B
1	86311093	+	ABHD17B
1	116880948	+	ZNF382
1	119371682	+	PEPD
1	15054288	-	CDH20
2	34233124	+	ADARB2
1	99784307	+	ZNF484
1	938796	-	ATP9B
1	112181954	+	XRCC1
1	102050660	-	ZNF71
1	102050664	-	ZNF71
1	102050681	-	ZNF71
1	65025551	+	NCOA7
1	65023109	+	NCOA7
1	65021704	+	NCOA7
1	65023106	+	NCOA7
1	65021026	+	NCOA7
1	43356366	-	RGS17
1	43358390	-	RGS17
1	107642990	-	
1	107649379	-	
1	107650000	-	
1	99818718	-	MFSD14B
1	102052628	+	
2	60348358	+	AMFR
1	119376715	-	CEBPG
2	23724291	-	OPTN
1	116906017	-	ZNF461
1	116906647	-	ZNF461
1	44325450	+	OPRM1
1	44224047	+	OPRM1
1	44205695	+	OPRM1
1	102075339	-	ZNF470
1	102077185	-	ZNF470
1	99946428	+	
1	86473661	+	CEMIP2
2	23965171	+	CCDC3
1	112184983	-	ZNF575
1	119521705	+	SLC7A10
1	116986167	+	
2	76872072	-	KDM1A
1	102101607	-	ZFP28
1	99991445	-	
1	107678345	-	TRPM4
1	100010478	+	
1	102127090	-	
1	1217017	-	SALL3
2	55328607	+	MCCC2
2	55340215	+	MCCC2
2	24052523	-	CAMK1D
1	119520574	-	LRP3
1	119522329	-	LRP3
1	100017619	+	UBE2M
1	107710319	+	SLC6A16
1	117060609	-	ZNF146
