chr	pos	strand	gene
II	289445	+	SCO2
IV	13360	-	HXT15
II	683732	-	
IV	1108484	+	
II	281443	+	FUR4
VII	516943	+	MSB2
XI	219217	-	VPH2
XVI	631515	+	NTO1
XI	315281	+	
X	295245	+	NET1
XVI	222773	-	NIP100
IX	349122	+	CFD1
XIII	141533	-	SMA2
XIII	527804	+	POM152
II	526628	-	IRA1
VII	976415	+	
XI	525257	+	
XI	384725	-	MAE1
XII	462671	-	
XVI	498096	+	ERG10
IV	33918	-	YPD1
V	342167	-	MET6
XIII	510348	-	RPL15B
IV	1186107	+	SPC110
IV	1146319	+	MRPS28
XI	428551	-	LAC1
V	265785	-	HIS1
VI	153393	+	RPN11
IV	671269	+	TRS85
IV	101067	-	MGT1
X	675852	-	SGM1
XIII	540056	-	GID8
VII	513159	+	MCY1
XIV	187496	-	SUI1
III	163067	-	PMP1
XV	381053	+	STI1
II	28299	-	ECM21
XII	63645	-	VPS13
IV	827355	-	SAS4
XIII	37472	+	
XVI	725144	-	
X	36919	+	PEX2
XII	573211	-	CPR6
VII	288451	-	
XIII	318418	-	MAC1
XIV	479165	-	TPM1
II	111437	+	SHP1
X	663059	-	RSF2
XII	316107	+	GAA1
XI	201771	-	PMU1
XII	341810	+	ERG27
XI	237266	-	
II	400890	-	SEC18
XV	866582	-	
XIV	237663	-	ALG9
XVI	895764	-	HDA3
XV	211995	-	APM4
IV	1517675	-	IRC4
V	330576	+	AIM10
XV	58759	+	ARG8
VI	116145	+	CDC4
XII	141073	+	ORC3
XI	333969	-	NUP120
XVI	304387	+	SPO19
IV	371240	+	NPC2
XVI	418512	+	UBP16
XVI	830999	+	
V	550527	-	ISC10
VII	209006	+	ARI1
IV	963412	+	BTT1
XII	223059	-	PAU23
XIII	887003	+	GAS1
IX	142928	+	HIS5
I	67520	-	CLN3
VII	62075	+	TAN1
VIII	467228	+	SVP26
II	337988	+	
XVI	52671	-	APM1
IV	1385766	-	
X	272485	-	TRL1
IX	364889	+	IST3
IV	312471	-	THI3
X	38005	+	CBP1
XII	710136	-	CTS1
V	69757	+	IES6
XV	1034182	-	GPB1
XII	278626	-	RGR1
II	125125	+	SEC17
XV	378219	+	HST3
VIII	104277	+	RPL14B
X	514055	+	NUP85
XIV	292669	-	MRPL19
II	495339	-	OPY1
XI	174213	+	RPT1
IX	322342	+	BAR1
XVI	517651	+	CTF19
XII	487289	-	ASP3-4
IX	267823	-	SYG1
II	145031	-	
XV	441534	+	CKA2
X	448758	-	LSO1
XII	831116	+	
IV	583713	+	DOS2
X	180103	-	PBS2
XVI	118382	+	CET1
XIII	205642	+	CGI121
XI	224455	-	APN1
IV	602869	-	SHU2
III	309070	+	ADH7
X	583537	-	ACF4
IV	958339	-	
XVI	172755	-	
XIV	370368	+	EAF7
XII	48629	-	RPL8B
XV	907935	-	
XIV	146615	-	PDR17
XII	771940	+	MMS22
II	296002	-	YPK3
XI	256770	+	MTC2
II	368184	-	
X	338003	-	
XVI	675631	-	ARO7
XII	124714	-	PUF3
XI	567918	+	GPT2
XII	229582	-	AFB1
XIII	454015	+	UTP15
IX	246914	+	
VIII	375100	-	SPL2
II	393123	+	ECM33
III	31449	+	SPB1
IX	226602	+	HOP1
XV	773363	-	
III	143634	+	
V	120299	-	PXP1
XVI	503030	-	
IV	217600	+	RPL35B
II	647132	-	AME1
X	294799	+	
XV	471620	-	SKI7
IV	664910	-	SPO71
II	761257	+	PAF1
XII	270710	-	PET309
VIII	560173	+	
VII	988049	+	MGA1
XII	1055070	+	
VII	1060040	-	
IV	404957	-	MRX9
XI	483419	+	
VII	542203	+	MSP1
III	113080	+	
IV	560625	-	DBF4
VI	226465	-	
X	231301	+	MEF2
XIV	8330	+	COS1
VII	485921	+	PMC1
IV	903480	-	RAD9
XIII	653136	-	
XI	375456	+	TTI1
XV	759782	+	DSC3
XV	392176	+	
II	734639	-	RGD1
XII	844282	+	ADE13
VIII	223758	-	RPP1
IV	488662	-	
IV	1383443	-	PFA5
XIV	292883	-	
IV	1049392	-	SSD1
XVI	176223	+	APL5
XIII	608689	+	DDR48
IV	1224757	+	WIP1
I	138345	-	ERP2
VII	55279	+	
VII	255663	+	PCL10
V	153520	+	MNN1
IV	1212836	-	
VIII	151666	+	MYO1
IV	1328470	-	CYM1
VII	499906	-	SWC4
XIV	234413	+	ADE12
II	458608	+	
VIII	332282	+	ERP5
XI	186416	+	
XII	4301	-	
XVI	408744	-	ATP4
II	383112	+	RDH54
XVI	326264	-	DBP1
XV	580500	-	IRC14
XVI	153149	-	PUS1
VII	165091	-	TOS3
XIV	339347	-	ASI2
VI	246146	+	RMD8
IV	478758	-	DAD1
XI	30687	-	OXP1
XIII	208860	-	AMD1
IV	344953	-	RAD59
XV	811008	+	CDC31
XIV	355042	-	
IX	18553	-	IMA3
XV	880965	+	RAX1
VIII	412907	+	REC104
XVI	833458	-	URN1
IV	1345647	+	
XVI	539385	+	CHL1
XIII	442364	-	
VII	436833	-	AGA2
V	4097	-	
VII	846655	+	
XV	609197	-	SPP2
VIII	6401	+	COS8
IV	682226	-	
IV	848071	+	
XIII	148683	-	MFT1
XVI	709828	-	ASA1
II	43277	+	MRX3
I	184892	+	
VII	596693	+	
XV	505794	+	RPS7A
XIII	318680	+	UBC7
III	167999	-	RHB1
IV	131833	-	
X	829	+	
XIV	113271	+	CAF120
XII	909965	-	COX8
IV	1353725	+	ECM11
XI	393721	+	
XVI	352275	-	SSE1
XV	1025256	+	
IX	397294	+	MRS1
X	94049	+	
XII	100201	-	HIF1
IV	1345062	-	APT2
XVI	560766	-	
XV	878435	+	BUD7
XII	241407	-	FRE8
XIII	432125	-	
V	110552	-	
IV	1294394	-	DFM1
XI	392279	-	PAN3
XII	588918	-	
XVI	626967	-	APL4
IV	619645	-	SLU7
VI	131810	+	VTC2
IV	1217580	-	XRS2
VII	343319	+	LIF1
XII	724044	+	
IV	635840	+	
XIV	579580	+	CRZ1
I	13743	-	TDA8
X	278841	+	TAX4
XI	127475	+	NNK1
XV	1000828	-	SOG2
X	669522	+	NMD5
XII	645953	-	
XIII	298311	+	
XIV	353061	+	
XVI	434523	+	MFM1
XIV	13267	+	SNZ2
III	56527	-	ATG22
II	153610	-	POL12
X	257423	+	SRS2
VII	475545	+	MPO1
XIII	115347	-	WAR1
IV	1230167	+	RGA2
IV	399340	+	ARP2
IV	859346	+	MSC2
X	387438	-	BET4
XII	177416	-	PML1
XV	99809	+	MSN1
VII	525229	+	UGA1
XI	259222	-	
XIII	544963	-	PSO2
XII	211933	-	SMF3
XV	252646	-	NOP12
IV	104551	-	GGC1
XVI	696476	+	
VIII	345628	-	ORC6
X	245591	+	PHS1
IV	245923	+	YFH1
XII	720370	-	SEC72
XVI	883239	+	
XI	611525	+	SRL3
XVI	593069	-	TIF6
XIV	427735	+	MET4
I	130799	+	CYS3
X	140437	+	RPA34
V	229481	-	
XI	146074	-	
IV	1312040	+	ARO80
VII	403687	+	MST27
V	271768	+	PET117
XIV	188051	+	SLA2
VII	82374	+	
IV	125616	+	
V	382103	-	KAP123
XII	87403	+	ISA1
V	438344	-	
XV	216137	-	MAM3
III	35865	+	LRE1
II	126828	+	MOH1
XV	126689	-	TPT1
VII	619858	-	VHT1
XIII	854795	+	GOT1
II	182094	-	HAP3
XVI	615379	+	ATH1
XII	965560	-	RPN13
VIII	214508	+	
XVI	834565	+	PIN3
I	37464	+	CNE1
IV	691014	+	COX26
X	538772	+	HIT1
XIII	813980	-	ZDS1
VIII	94510	-	
XIV	247461	+	VID27
IV	1325301	-	TIF35
III	71803	+	FUS1
III	176438	-	SYP1
VII	589826	+	UFD1
XVI	79353	-	GYP5
XII	495258	-	PUS5
IV	907293	-	
IV	995534	-	DIN7
II	602634	+	GDT1
XV	792531	+	ESA1
II	624696	-	
II	386286	+	
IV	107208	+	SEC31
IV	461842	+	TRP1
XV	299693	+	
XII	260547	-	REX2
XIII	13174	-	ERO1
II	670297	-	TDP1
III	151862	-	
V	192797	+	ISC1
IX	382628	+	
IX	232369	-	RPS24B
XII	1017697	-	SEC39
IX	174887	-	
V	234937	+	MXR1
II	90741	+	AST1
XIII	38196	+	ATR1
VIII	219884	-	MED6
XIII	797925	-	
IV	158735	-	UGX2
XVI	347389	-	
XVI	164276	+	HRR25
XII	855199	+	
XV	417681	-	STD1
XII	581771	-	UTP13
XVI	900755	+	DPM1
XV	1090497	-	
V	316600	-	MRX1
IV	1171825	-	PAL1
XI	382498	+	
VII	1082729	-	COS6
V	229205	-	HVG1
XVI	115312	+	USV1
VI	123479	+	BLM10
XII	862714	+	ROM2
XIII	392755	+	RNA14
XVI	251668	-	PET20
XIII	845571	+	HSH155
XIII	594473	-	MME1
VIII	383538	+	CHS7
X	636706	-	PXP2
XVI	265028	+	RRD2
X	638975	-	RSM7
IV	926223	+	
IV	718460	-	
V	117211	+	TIM9
XII	380822	+	MSL5
IX	433721	-	
XII	171339	+	GAT3
II	488380	-	PTC4
XVI	143821	+	
XV	860258	-	SNF2
V	131772	+	UBC8
XII	514713	-	
IV	1056551	+	SUR2
II	606270	+	RPL21A
XI	327487	-	FBA1
IV	73918	-	GDH2
X	50443	-	NCE101
VII	257707	+	ITC1
XV	1005137	+	GDS1
IX	245559	-	SNP1
VII	640371	-	PAC10
X	468001	+	
I	222406	+	
XII	955010	+	VPS36
IV	231024	+	
XVI	678951	+	
XVI	404083	-	MOT1
XIII	469476	-	SRT1
II	805351	+	MAL32
IV	300003	-	ASM4
XI	506898	+	DAL80
XV	720181	+	
XV	337343	-	DNL4
III	254371	+	SRB8
VIII	387233	+	RPC10
XIII	860891	-	LCB1
XIII	693043	-	EFR3
IV	534582	-	ENA2
VI	81912	-	GYP8
X	298876	-	APQ13
II	663303	-	
II	160184	+	HEK2
VI	233544	-	OSW7
V	558680	-	TOG1
II	467248	+	RAD16
II	739841	+	REI1
IX	336212	-	EST3
XIII	565909	-	
XVI	486911	-	
IV	597156	+	PPH3
V	276572	+	FCY22
XIV	372226	-	FPR1
XVI	742064	-	YTH1
XV	325249	+	PHO80
XIV	574506	+	SIW14
VIII	220725	+	VMA22
XV	684030	+	TUF1
XIII	523345	-	SAS2
IV	60405	-	HBT1
IV	769525	+	RPA14
IV	789449	+	TAF10
XII	11726	+	
VII	1052824	+	YOR1
IX	246392	+	
X	407426	-	
XVI	277529	-	NOP53
VII	226399	+	ARO2
XVI	797557	+	TOM5
I	58462	-	GCV3
XV	616671	-	RPB2
XIV	542304	+	
X	432644	+	COX16
V	43252	+	PCM1
XIV	31378	-	FIG4
XII	859552	+	SSQ1
VII	491956	-	RPN14
X	68782	-	ELO1
XVI	591026	-	
XIII	296738	-	SEC59
VIII	78353	-	OTU2
V	510373	+	PAB1
IX	195599	+	
XIV	510212	-	GCD10
XIII	158258	-	NTE1
XIII	97371	-	ALO1
XVI	482843	+	PMA2
XV	639267	-	
II	107406	-	SKT5
IX	32566	-	
VIII	554396	+	IMD2
V	552525	+	FMP10
VII	880661	-	
XI	450167	-	
X	745261	-	
XIII	632355	+	HSC82
X	136174	+	
XIII	600872	-	ALD3
IV	1011960	-	
II	70138	-	
III	27359	-	PEX34
VII	80365	-	COG1
X	242082	+	SAP185
XV	1085473	+	YRF1-8
X	191022	+	
XII	790676	+	MID2
XIV	96173	+	
IX	299735	+	
XV	204471	-	RIB2
XIV	182875	+	
XVI	731748	-	RPL11A
II	776571	+	
VII	483027	-	
VII	174322	-	SAE2
VIII	237004	+	PCL5
IX	183937	+	PRK1
VIII	328036	-	CDC12
XV	585	+	
XII	246072	-	
III	133124	-	ADY2
XIV	332597	+	CBK1
XV	429478	+	
VII	384651	-	
XIII	881159	+	FKS3
I	221049	+	
VII	270144	-	CWC23
XVI	659182	+	TAH18
XII	820511	+	
XVI	814391	+	TAZ1
XI	47157	+	CBT1
Mito	13818	+	COX1
