chr	pos	strand
10	100089790	+
10	100495008	+
10	100497292	+
10	100542744	+
10	100561592	+
10	100720555	+
10	100775736	+
10	100899426	+
10	101016128	+
10	101104390	+
10	101340258	+
10	101351036	+
10	10152289	+
10	101533335	+
10	101533553	+
10	101587738	+
10	101752098	+
10	102164135	+
10	102656748	+
10	103048084	+
10	103166080	+
10	103255605	+
10	103488470	+
10	103580519	+
10	103735760	+
10	103735822	+
10	103760349	+
10	103765543	+
10	103802188	+
10	103925341	+
10	103931433	+
10	104014540	+
10	104061682	+
10	104833654	+
10	104833661	+
10	104890342	+
10	104989965	+
10	10504640	+
10	105097837	+
10	105343527	+
10	105399348	+
10	105680586	+
10	105817206	+
10	105841886	+
10	106004305	+
10	106224491	+
10	106314443	+
10	106437933	+
10	106846424	+
10	106846754	+
10	106982800	+
10	107060739	+
10	107094133	+
10	107136785	+
10	107137083	+
10	107265457	+
10	107535327	+
10	107651964	+
10	107785206	+
10	107891554	+
10	108075913	+
10	108614217	+
10	108935818	+
10	108991273	+
10	108993646	+
10	108993656	+
10	109265792	+
10	109637025	+
10	109663821	+
10	109739800	+
10	10981102	+
10	10981164	+
10	110140288	+
10	110285869	+
10	110453558	+
10	110453931	+
10	110494846	+
10	110787320	+
10	110846790	+
10	110858005	+
10	111036379	+
10	111078017	+
10	111078296	+
10	1114293	+
10	111482560	+
10	111555445	+
10	111572180	+
10	112010761	+
10	112177743	+
10	112177769	+
10	112178159	+
10	112253059	+
10	112646280	+
10	112741577	+
10	112796528	+
10	112811589	+
10	112962427	+
10	113083706	+
10	113087771	+
10	113106155	+
10	113201258	+
10	113525375	+
10	113550916	+
10	113641034	+
10	1138360	+
10	113932357	+
10	113954882	+
10	114073858	+
10	114164185	+
10	115177169	+
10	11520918	+
10	115250278	+
10	115374942	+
10	115778655	+
10	115862432	+
10	116078523	+
10	116506842	+
10	116548046	+
10	116746972	+
10	117006335	+
10	117052625	+
10	117320214	+
10	117407536	+
10	117487638	+
10	117658732	+
10	117703761	+
10	118040045	+
10	118094971	+
10	118129700	+
10	118747020	+
10	118812536	+
10	11910237	+
10	119146141	+
10	120183449	+
10	120183468	+
10	120654477	+
10	120738253	+
10	120769122	+
10	121000478	+
10	12101905	+
10	121160128	+
10	121306840	+
10	12137846	+
10	121641983	+
10	121872220	+
10	12209243	+
10	122140596	+
10	122437949	+
10	122445491	+
10	122662177	+
10	123036476	+
10	123180643	+
10	123190820	+
10	123228983	+
10	12334064	+
10	12334154	+
10	123703652	+
10	123704421	+
10	12373326	+
10	123828576	+
10	123954900	+
10	124210983	+
10	124240206	+
10	124455256	+
10	124455371	+
10	124490706	+
10	124563813	+
10	12457213	+
10	124735997	+
10	12587228	+
10	125926210	+
10	126115629	+
10	126298889	+
10	126475820	+
10	126983629	+
10	126993274	+
10	127079390	+
10	127130713	+
10	127197231	+
10	127411328	+
10	127455067	+
10	127579100	+
10	127582771	+
10	127745932	+
10	127746017	+
10	127822789	+
10	128138116	+
10	128265228	+
10	12847438	+
10	128814467	+
10	129190299	+
10	1292099	+
10	129373588	+
10	129635808	+
10	12969532	+
10	129935572	+
10	130059543	+
10	130625043	+
10	131468392	+
10	131580830	+
10	131880074	+
10	131894484	+
10	131894834	+
10	131953983	+
10	13199660	+
10	132053013	+
10	132074778	+
10	132145579	+
10	13260674	+
10	132650864	+
10	132773981	+
10	133016641	+
10	133528481	+
10	133538445	+
10	134029006	+
10	134069049	+
10	134288538	+
10	134963362	+
10	135153473	+
10	135210914	+
10	135461657	+
10	13606670	+
10	13967021	+
10	14042662	+
10	1427657	+
10	14310837	+
10	14396691	+
10	14484808	+
10	14537782	+
10	14802778	+
10	1499194	+
10	15231105	+
10	15529184	+
10	15532475	+
10	15644911	+
10	16000958	+
10	16011773	+
10	16031579	+
10	16205672	+
10	16324609	+
10	16337258	+
10	16338877	+
10	16548039	+
10	16709538	+
10	16790878	+
10	16814592	+
10	17101565	+
10	17188900	+
10	17242739	+
10	17310903	+
10	17712787	+
10	17751969	+
10	18468037	+
10	18494679	+
10	18753355	+
10	18788569	+
10	19065550	+
10	19065780	+
10	19211098	+
10	19216679	+
10	19352553	+
10	19377330	+
10	19377550	+
10	19450393	+
10	19550727	+
10	19647276	+
10	19669842	+
10	19786302	+
10	20011538	+
10	20173286	+
10	20205253	+
10	20429317	+
10	20506537	+
10	2077551	+
10	20817437	+
10	21192825	+
10	21203906	+
10	21212894	+
10	21455169	+
10	21567613	+
10	21620392	+
10	21688232	+
10	21765065	+
10	21899975	+
10	2240993	+
10	22492537	+
10	22672706	+
10	23054686	+
10	23635479	+
10	23687282	+
10	23775686	+
10	23842049	+
10	2388055	+
10	2402895	+
10	24098454	+
10	24098461	+
10	24113518	+
10	24378444	+
10	24549850	+
10	24592545	+
10	24830139	+
10	24858184	+
10	25487920	+
10	25576739	+
10	25576921	+
10	25584489	+
10	25707553	+
10	25707730	+
10	25743211	+
10	25801659	+
10	25847992	+
10	25847994	+
10	25957321	+
10	2604092	+
10	26225942	+
10	26249147	+
10	26277261	+
10	26747838	+
10	26852970	+
10	26961078	+
10	27016479	+
10	27040348	+
10	2721262	+
10	27227980	+
10	27264331	+
10	27304047	+
10	27360353	+
10	27390881	+
10	27601178	+
10	27605762	+
10	27775751	+
10	27929923	+
10	2815585	+
10	2819629	+
10	28259909	+
10	28305663	+
10	28378304	+
10	28561748	+
10	28637905	+
10	29077199	+
