chr	pos	strand	gene
Y	31464768	-	Gm28488
Y	31465189	-	Gm28488
Y	31493683	-	Gm28491
Y	31494107	-	Gm28491
Y	68678874	-	Gm29447
Y	68679295	-	Gm29447
Y	68717466	+	Gm29446
Y	68910098	-	Gm28633
Y	68910518	-	Gm28633
Y	31691308	-	Gm21562
Y	31691332	-	Gm21562
Y	31732883	-	Gm28298
Y	31757555	-	Gm21572
Y	31757579	-	Gm21572
Y	31795357	-	Gm28297
Y	32115711	+	Gm21723
Y	32115687	+	Gm21723
Y	69011221	-	Gm28462
Y	32139342	+	Gm28296
Y	32176992	+	Gm21821
Y	32176967	+	Gm21821
Y	69212203	-	Gm29409
Y	69212623	-	Gm29409
Y	69252787	-	Gm28632
Y	69253207	-	Gm28632
Y	32201766	+	Gm28295
Y	32239411	+	Gm21842
Y	32239387	+	Gm21842
Y	32262754	+	Gm28170
Y	32449746	-	Gm28764
Y	32450167	-	Gm28764
Y	32478690	-	Gm28762
Y	32479114	-	Gm28762
Y	32513341	-	Gm28763
Y	69777798	-	Gm28824
Y	69816350	+	Gm28081
Y	69815930	+	Gm28081
Y	32668010	-	Gm21588
Y	32668034	-	Gm21588
Y	32709931	-	Gm28761
Y	32734585	-	Gm21599
Y	32734609	-	Gm21599
Y	32772366	-	Gm28765
Y	33096570	+	Gm21916
Y	33096546	+	Gm21916
Y	33121306	+	Gm29191
Y	70104401	+	Gm28082
Y	70103981	+	Gm28082
Y	33245656	+	Gm28210
Y	33280321	+	Gm29074
Y	33279897	+	Gm29074
Y	33338010	-	Gm28518
Y	33338431	-	Gm28518
Y	33366948	-	Gm28519
Y	33367372	-	Gm28519
Y	33401372	-	Gm28520
Y	33401796	-	Gm28520
Y	70394270	+	Gm29425
Y	70393850	+	Gm29425
Y	33591015	-	Gm21626
Y	33591039	-	Gm21626
Y	70534485	-	Gm28238
Y	33632972	-	Gm28521
Y	70571399	-	Gm28431
Y	33657681	-	Gm21633
Y	33657705	-	Gm21633
Y	70609965	+	Gm28432
Y	70609545	+	Gm28432
Y	33695556	-	Gm28522
Y	34019570	+	Gm28517
Y	34044090	+	Gm29532
Y	34081781	+	Gm29531
Y	34106563	+	Gm28464
Y	34142307	+	Gm29656
Y	70905206	+	Gm28842
Y	70904786	+	Gm28842
Y	34167078	+	Gm29655
Y	34291420	+	Gm29653
Y	34369610	+	Gm29654
Y	71094465	-	Gm28839
Y	34424335	-	Gm29080
Y	34625479	-	Gm29081
Y	34625899	-	Gm29081
Y	71421758	+	Gm28668
Y	71421334	+	Gm28668
Y	34664033	+	Gm29077
Y	34718477	-	Gm29078
Y	71637507	-	Gm28482
Y	71644471	+	Gm28485
Y	71644051	+	Gm28485
Y	34919203	-	Gm29225
Y	34919623	-	Gm29225
Y	34957786	+	Gm29226
Y	35146091	-	Gm29386
Y	35146511	-	Gm29386
Y	35184581	+	Gm29384
Y	72286433	+	Gm29182
Y	72286013	+	Gm29182
Y	35413791	-	Gm28260
Y	35414211	-	Gm28260
Y	35507028	-	Gm28264
Y	35717131	-	Gm28463
Y	35717551	-	Gm28463
Y	35819500	+	Gm28585
Y	35936307	-	Gm28470
Y	35936727	-	Gm28470
Y	35974415	+	Gm28469
Y	73439822	+	Gm29255
Y	73439402	+	Gm29255
Y	36228508	-	Gm28332
Y	36228928	-	Gm28332
Y	36267089	+	Gm28333
Y	36346482	-	Gm28336
Y	73840664	+	Gm28259
Y	73840240	+	Gm28259
Y	36451056	-	Gm28338
Y	36451480	-	Gm28338
Y	36633347	+	Gm28811
Y	36645064	-	Gm28810
Y	36749455	-	Gm29027
Y	36749875	-	Gm29027
Y	36789232	+	Gm29028
Y	74133059	+	Gm29616
Y	74132639	+	Gm29616
Y	36840242	-	Gm29023
Y	36894627	+	Gm29025
Y	37038156	-	Gm28212
Y	74422882	+	Gm29108
Y	74422462	+	Gm29108
Y	74647949	+	Gm28174
Y	37502673	-	Gm28820
Y	37503093	-	Gm28820
Y	74814396	+	Gm29416
Y	74813972	+	Gm29416
Y	37767528	+	Gm29671
Y	75148242	+	Gm28789
Y	75147822	+	Gm28789
Y	38022387	-	Gm28545
Y	38022807	-	Gm28545
Y	38060910	+	Gm28547
Y	75370847	+	Gm29278
Y	75370427	+	Gm29278
Y	38295430	-	Gm28771
Y	38295851	-	Gm28771
Y	38335184	+	Gm28772
Y	75667734	+	Gm28606
Y	75667314	+	Gm28606
Y	38516408	-	Gm28774
Y	38516828	-	Gm28774
Y	38554905	+	Gm28775
Y	38827980	-	Gm28176
Y	38852738	-	Gm28786
Y	38890449	-	Gm29360
Y	39114193	-	Gm29497
Y	39114613	-	Gm29497
Y	76937847	+	Gm29313
Y	76937426	+	Gm29313
Y	39369445	+	Gm29498
Y	39407085	+	Gm36782
Y	39459969	+	Gm29839
Y	77271301	+	Gm29311
Y	77270877	+	Gm29311
Y	40067892	+	Gm28595
Y	77456192	-	Gm29309
Y	77488086	-	Gm28702
Y	77492406	+	Gm28701
Y	40328096	+	Gm29433
Y	40323062	-	Gm29215
Y	77617224	-	Gm28704
Y	40346267	-	Gm21801
Y	40346291	-	Gm21801
Y	77658183	+	Gm28540
Y	77657763	+	Gm28540
Y	40387263	-	Gm28850
Y	40412088	-	Gm21914
Y	40412112	-	Gm21914
Y	40449833	-	Gm28617
Y	77762372	-	Gm28541
Y	40594038	-	Gm28619
Y	77830030	-	Gm28538
Y	77868601	+	Gm29569
Y	77868181	+	Gm29569
Y	40689087	-	Gm28993
Y	40689508	-	Gm28993
Y	40717850	-	Gm28994
Y	78064814	+	Gm29568
Y	78158357	-	Gm29566
Y	78165360	+	Gm29565
Y	78164940	+	Gm29565
Y	78336563	-	Gm29146
Y	78368078	-	Gm28664
Y	78375134	+	Gm28663
Y	78374714	+	Gm28663
Y	78643795	-	Gm28817
Y	78665322	+	Gm28816
Y	78664902	+	Gm28816
Y	41337782	-	Gm28427
Y	41375139	+	Gm28426
Y	41375141	+	Gm28426
Y	41403527	+	Gm28425
Y	78942302	+	Gm28813
Y	78941881	+	Gm28813
Y	41722179	-	Gm28834
Y	79178681	+	Gm28421
Y	42100131	+	Gm29537
Y	42099711	+	Gm29537
Y	42414903	-	Gm29274
Y	42415323	-	Gm29274
Y	42442989	-	Gm29275
Y	42443413	-	Gm29275
Y	79272014	+	Gm28422
Y	79271594	+	Gm28422
Y	42726677	+	Gm29645
Y	42789025	+	Gm28312
Y	42930940	+	Gm29042
Y	43002855	-	Gm28311
Y	43003275	-	Gm28311
Y	43031744	-	Gm28310
Y	43032168	-	Gm28310
Y	79787514	+	Gm29606
Y	79787094	+	Gm29606
Y	43406479	-	Gm28568
Y	43406899	-	Gm28568
Y	43760724	+	Gm29286
Y	80086350	+	Gm29190
Y	80085930	+	Gm29190
Y	43798503	+	Gm29285
Y	43822969	+	Gm28280
Y	44109952	-	Gm28278
Y	44110373	-	Gm28278
Y	80252441	-	Gm28157
Y	44123469	-	Gm28279
Y	44123893	-	Gm28279
Y	80547675	-	Gm28696
Y	44303647	-	Gm28886
Y	44303691	-	Gm28886
Y	44341258	-	Gm29426
Y	80840811	-	Gm28898
Y	44773755	-	Gm28887
Y	44779241	+	Gm29444
Y	44778819	+	Gm29444
Y	45002579	+	Gm29445
Y	45002160	+	Gm29445
Y	45184316	+	Gm28457
Y	45183896	+	Gm28457
Y	81410407	+	Gm29324
Y	81409987	+	Gm29324
Y	81633478	+	Gm28741
Y	81633054	+	Gm28741
Y	45407537	+	Gm28458
Y	45407118	+	Gm28458
Y	81886681	-	Gm28743
Y	45744559	+	Gm28461
Y	45744603	+	Gm28461
Y	81925197	+	Gm28124
Y	81924777	+	Gm28124
Y	45769385	+	Gm28460
Y	82123514	+	Gm28126
Y	45806946	+	Gm28851
Y	45806990	+	Gm28851
Y	45831743	+	Gm28456
Y	46352193	-	Gm29648
Y	46582607	+	Gm29646
Y	46582183	+	Gm29646
Y	82358114	-	Gm29472
Y	46611503	+	Gm28549
Y	46611083	+	Gm28549
Y	82396694	+	Gm29473
Y	82396274	+	Gm29473
Y	46852250	-	Gm29210
Y	82651759	-	Gm28226
Y	46877022	-	Gm29213
Y	46877066	-	Gm29213
Y	82690235	+	Gm28225
Y	82689811	+	Gm28225
Y	46914639	-	Gm28550
Y	46939447	-	Gm28604
Y	46939491	-	Gm28604
Y	47259054	+	Gm28565
Y	47296821	+	Gm28566
Y	47296865	+	Gm28566
Y	47321535	+	Gm28697
Y	47363032	+	Gm28554
Y	47363076	+	Gm28554
Y	83206233	+	Gm28832
Y	83205809	+	Gm28832
Y	47552613	+	Gm29056
Y	47552189	+	Gm29056
Y	47581558	+	Gm29098
Y	47581137	+	Gm29098
Y	47836541	-	Gm29373
Y	47836960	-	Gm29373
Y	47861421	-	Gm29370
Y	47861444	-	Gm29370
Y	48192623	+	Gm29166
Y	48225108	+	Gm28194
Y	48225152	+	Gm28194
Y	84049700	+	Gm28472
Y	84049280	+	Gm28472
Y	48413530	+	Gm28754
Y	48413106	+	Gm28754
Y	48442459	+	Gm28753
Y	48442038	+	Gm28753
Y	84272146	+	Gm28475
Y	84271726	+	Gm28475
Y	48794894	+	Gm29070
Y	48794474	+	Gm29070
Y	84692095	+	Gm29338
Y	84691675	+	Gm29338
Y	49026102	+	Gm28726
Y	49025677	+	Gm28726
Y	84883408	-	Gm28758
Y	84921969	+	Gm29071
Y	84921559	+	Gm29071
Y	49470399	-	Gm29270
Y	85197931	+	Gm28348
Y	49508865	+	Gm29271
Y	49508445	+	Gm29271
Y	85252547	-	Gm28972
Y	85282070	-	Gm28970
Y	85319611	+	Gm28971
Y	85319187	+	Gm28971
Y	49693803	-	Gm28681
Y	49732257	+	Gm28684
Y	49731837	+	Gm28684
Y	85613079	-	Gm28346
Y	85642562	-	Gm28345
Y	85673035	-	Gm29090
Y	85680095	+	Gm28152
Y	85679671	+	Gm28152
Y	50028379	+	Gm28679
Y	50027959	+	Gm28679
