chr	pos	strand	gene
2R	10877312	-	Taf5
3R	7145880	-	gfzf
3R	7146182	-	gfzf
2R	22203694	-	Alp7
2R	11986718	-	rho-7
2R	11986513	-	rho-7
2R	23528260	+	mi
3L	14801089	+	Helz
3L	14799948	+	Helz
3L	14799350	+	Helz
2L	355565	-	Ent1
3R	6207678	+	Osi24
3R	19032409	+	CG6013
2R	18182435	-	CG5721
3R	4189692	-	Dsk
2L	20724209	-	CG9316
2R	14091814	+	CG42288
X	11603243	-	CG2533
2L	2767286	-	Taf10b
2L	425321	+	BBS8
2R	18629279	+	Eip55E
2R	18629395	+	Eip55E
2L	21512887	-	His2B:CG33878
X	15667885	-	CG15646
3L	16294711	-	CG4962
2R	5351972	+	CG10395
3L	6164682	+	Prdm13
X	1481420	+	mei-38
2L	17914493	-	CG43271
2L	17914365	-	CG43271
2L	15476593	-	sna
2R	14933913	+	CG12853
3L	10639631	+	CG8009
2L	575734	+	cold
2R	12143272	+	Smyd4-4
3L	11508967	-	Sgs8
3R	8678233	+	CG8043
2L	10736319	-	Vha16-5
3L	19538425	-	CG9279
3L	21724326	-	CG11247
2R	5969099	-	BubR1
2R	15692216	+	CG30088
2R	7991283	+	Nup44A
3L	11574764	-	CG33489
3L	20759192	+	CG43251
2R	7036768	-	CG33914
2L	15980177	+	CG10839
2L	15980508	+	CG10839
2L	15981455	+	CG10839
3R	25102146	+	CG33095
2R	10139267	+	CG12917
3R	12640163	-	CG6753
3L	3268994	+	CG34265
2L	5727221	-	CG14006
2L	5726415	-	CG14006
2L	12140392	+	Gr33a
2R	16148812	-	CG10731
3R	5679930	+	Atg17
2L	21510546	+	His3:CG33848
2L	21182812	+	Mcm10
3L	4698058	+	CG13713
3R	27871501	-	CG12426
2R	25249007	-	CG33680
2R	22847911	+	CG3649
3R	29996961	-	CG15525
3R	14327735	+	ATPsynE
X	3236130	-	CG14265
3R	15507940	-	CG44014
3R	17610533	+	CG14329
2L	4954279	-	Jon25Bi
3L	4207838	-	Cpr64Aa
2R	18620466	-	Atg7
3L	20098084	-	CG14186
2R	23560263	+	ItgaPS5
2R	19702924	-	Obp56d
2R	19703139	-	Obp56d
2L	14618902	+	Adhr
3R	4227387	-	DhpD
2R	21861994	+	CG9294
2R	13805231	+	Cpr50Cb
2L	252589	-	CG3645
3L	22075056	-	CG7130
2L	2814429	+	CG2964
3L	12044217	+	CG6793
2L	19043535	-	Ttc19
2R	7564435	+	Corin
2L	9331981	+	Cks30A
X	11724668	-	inaF-B
