chr	pos	strand	gene
II	290350	+	SCO2
IV	11657	-	HXT15
II	683373	-	
IV	1108621	+	
II	283344	+	FUR4
VII	520863	+	MSB2
XI	218570	-	VPH2
XVI	633761	+	NTO1
XI	315724	+	
X	298814	+	NET1
XVI	220167	-	NIP100
IX	350003	+	CFD1
XIII	140424	-	SMA2
XIII	531817	+	POM152
II	517350	-	IRA1
VII	976723	+	
XI	525562	+	
XI	382716	-	MAE1
XII	462522	-	
XVI	499292	+	ERG10
IV	33415	-	YPD1
V	339864	-	MET6
XIII	509734	-	RPL15B
IV	1188941	+	SPC110
IV	1147179	+	MRPS28
XI	427295	-	LAC1
V	264892	-	HIS1
VI	154313	+	RPN11
IV	673365	+	TRS85
IV	100501	-	MGT1
X	673729	-	SGM1
XIII	538689	-	GID8
VII	514340	+	MCY1
XIV	187170	-	SUI1
III	162945	-	PMP1
XV	382822	+	STI1
II	24946	-	ECM21
XII	54211	-	VPS13
IV	825910	-	SAS4
XIII	37774	+	
XVI	724842	-	
X	37734	+	PEX2
XII	572096	-	CPR6
VII	288014	-	
XIII	317165	-	MAC1
XIV	478566	-	TPM1
II	112708	+	SHP1
X	658917	-	RSF2
XII	317951	+	GAA1
XI	200884	-	PMU1
XII	342853	+	ERG27
XI	237147	-	
II	398614	-	SEC18
XV	865653	-	
XIV	235996	-	ALG9
XVI	893797	-	HDA3
XV	210520	-	APM4
IV	1517136	-	IRC4
V	332306	+	AIM10
XV	60030	+	ARG8
VI	118484	+	CDC4
XII	142923	+	ORC3
XI	330856	-	NUP120
XVI	305058	+	SPO19
IV	371761	+	NPC2
XVI	420011	+	UBP16
XVI	831520	+	
V	549724	-	ISC10
VII	210049	+	ARI1
IV	963861	+	BTT1
XII	222685	-	PAU23
XIII	888682	+	GAS1
IX	144085	+	HIS5
I	65778	-	CLN3
VII	63002	+	TAN1
VIII	467914	+	SVP26
II	338338	+	
XVI	51244	-	APM1
IV	1385524	-	
X	270002	-	TRL1
IX	365335	+	IST3
IV	310642	-	THI3
X	39969	+	CBP1
XII	708448	-	CTS1
V	70257	+	IES6
XV	1031489	-	GPB1
XII	275378	-	RGR1
II	126119	+	SEC17
XV	379562	+	HST3
VIII	105091	+	RPL14B
X	516289	+	NUP85
XIV	292193	-	MRPL19
II	494353	-	OPY1
XI	175616	+	RPT1
IX	324105	+	BAR1
XVI	518760	+	CTF19
XII	486201	-	ASP3-4
IX	265115	-	SYG1
II	144948	-	
XV	442553	+	CKA2
X	448477	-	LSO1
XII	833539	+	
IV	584645	+	DOS2
X	178097	-	PBS2
XVI	120031	+	CET1
XIII	206293	+	CGI121
XI	223352	-	APN1
IV	602198	-	SHU2
III	310155	+	ADH7
X	582608	-	ACF4
IV	957758	-	
XVI	172033	-	
XIV	371645	+	EAF7
XII	47859	-	RPL8B
XV	907726	-	
XIV	145563	-	PDR17
XII	776304	+	MMS22
II	294425	-	YPK3
XI	257843	+	MTC2
II	366970	-	
X	337884	-	
XVI	674861	-	ARO7
XII	122075	-	PUF3
XI	570149	+	GPT2
XII	228908	-	AFB1
XIII	455556	+	UTP15
IX	247198	+	
VIII	374654	-	SPL2
II	394742	+	ECM33
III	33974	+	SPB1
IX	228419	+	HOP1
XV	773163	-	
III	144506	+	
V	118617	-	PXP1
XVI	502473	-	
IV	218367	+	RPL35B
II	646158	-	AME1
X	294885	+	
XV	469377	-	SKI7
IV	661173	-	SPO71
II	762594	+	PAF1
XII	267813	-	PET309
VIII	562047	+	
VII	989419	+	MGA1
XII	1055684	+	
VII	1059015	-	
IV	403695	-	MRX9
XI	485011	+	
VII	543291	+	MSP1
III	113541	+	
IV	558511	-	DBF4
VI	226121	-	
X	233760	+	MEF2
XIV	9475	+	COS1
VII	489442	+	PMC1
IV	899551	-	RAD9
XIII	652912	-	
XI	378572	+	TTI1
XV	760660	+	DSC3
XV	392376	+	
II	732639	-	RGD1
XII	845730	+	ADE13
VIII	222877	-	RPP1
IV	488072	-	
IV	1382319	-	PFA5
XIV	292557	-	
IV	1045640	-	SSD1
XVI	179021	+	APL5
XIII	609981	+	DDR48
IV	1225026	+	WIP1
I	137698	-	ERP2
VII	55815	+	
VII	256964	+	PCL10
V	155808	+	MNN1
IV	1212438	-	
VIII	157452	+	MYO1
IV	1325501	-	CYM1
VII	498476	-	SWC4
XIV	235714	+	ADE12
II	458832	+	
VIII	332920	+	ERP5
XI	186814	+	
XII	585	-	
XVI	408010	-	ATP4
II	385988	+	RDH54
XVI	324411	-	DBP1
XV	580159	-	IRC14
XVI	151515	-	PUS1
VII	163409	-	TOS3
XIV	338478	-	ASI2
VI	248134	+	RMD8
IV	478474	-	DAD1
XI	26827	-	OXP1
XIII	206428	-	AMD1
IV	344237	-	RAD59
XV	811493	+	CDC31
XIV	352820	-	
IX	16784	-	IMA3
XV	882272	+	RAX1
VIII	413455	+	REC104
XVI	832061	-	URN1
IV	1346039	+	
XVI	541970	+	CHL1
XIII	442026	-	
VII	436570	-	AGA2
V	264	-	
VII	846741	+	
XV	608640	-	SPP2
VIII	7546	+	COS8
IV	681924	-	
IV	848223	+	
XIII	147505	-	MFT1
XVI	708497	-	ASA1
II	44089	+	MRX3
I	185596	+	
VII	598621	+	
XV	506767	+	RPS7A
XIII	319177	+	UBC7
III	167370	-	RHB1
IV	130871	-	
X	1311	+	
XIV	116453	+	CAF120
XII	909729	-	COX8
IV	1354633	+	ECM11
XI	394554	+	
XVI	350194	-	SSE1
XV	1025609	+	
IX	398385	+	MRS1
X	94561	+	
XII	99044	-	HIF1
IV	1344517	-	APT2
XVI	560569	-	
XV	880675	+	BUD7
XII	239347	-	FRE8
XIII	431769	-	
V	108504	-	
IV	1293369	-	DFM1
XI	390240	-	PAN3
XII	587695	-	
XVI	624469	-	APL4
IV	618497	-	SLU7
VI	134296	+	VTC2
IV	1215016	-	XRS2
VII	344584	+	LIF1
XII	724433	+	
IV	636175	+	
XIV	581616	+	CRZ1
I	13363	-	TDA8
X	280655	+	TAX4
XI	130261	+	NNK1
XV	998453	-	SOG2
X	672668	+	NMD5
XII	645600	-	
XIII	298391	+	
XIV	353144	+	
XVI	435764	+	MFM1
