chr	pos	strand	gene
1	8231	-	
1	80807	+	ZNF692
1	83178	+	ZNF692
1	80608	+	ZNF692
1	81258	-	ZNF672
1	81259	-	ZNF672
1	81263	-	ZNF672
1	117835	+	SH3BP5L
1	117833	+	SH3BP5L
1	116417	+	SH3BP5L
1	122996	-	
1	185687	+	LYPD8
1	222144	+	
1	231609	-	
1	327124	+	OR2T27
1	338797	+	
1	387811	+	OR2T10
1	430706	+	
1	450163	+	OR14I1
1	530094	+	OR9G1
1	552254	-	
1	618274	-	
1	645437	-	OR2T1
1	661164	-	OR2T6
1	710949	+	
1	770457	+	OR2M4
1	825399	-	
1	833912	-	
1	849664	+	
1	874840	-	
1	895998	-	OR2L2
1	907326	-	OR2L5
1	931817	-	
1	985060	+	
1	1003761	-	
1	1080903	-	
1	1146217	-	OR2W3
1	1160011	-	TRIM58
1	1223285	+	OR11L1
1	1217358	-	
1	1229179	-	OR9H1P
1	1252322	+	OR1C1
1	1278606	-	OR14K1
1	1292883	+	OR14A2
1	1303605	+	OR6F1
1	1335141	+	OR13G1
1	1391542	+	
1	1441551	-	GCSAML
1	1442801	-	GCSAML
1	1481145	+	OR2C3
1	1495197	+	
1	1560887	+	OR2B11
1	1562783	-	NLRP3
1	1563470	-	NLRP3
1	1712638	+	ZNF496
1	1767751	+	
1	1812316	+	
1	1851741	+	ZNF124
1	1887415	-	
1	1909517	+	
1	1910632	+	
1	1964328	+	ZNF670
1	1952470	-	
1	2015105	+	
1	2168210	+	AHCTF1
1	2210612	-	
1	2273725	-	SCCPDH
1	2274095	-	SCCPDH
1	2274936	-	SCCPDH
1	45170593	+	
1	76140997	+	
1	95446898	-	
1	130175938	+	
1	102190801	-	GJA8
1	201214016	+	ID3
1	152110249	-	
1	2358741	-	
1	2395778	-	CNST
1	2432501	-	CNST
1	20391971	-	CCDC190
1	2429350	+	
1	2540181	+	TFB2M
2	169341618	-	
1	3324607	+	SMYD3
1	2920201	+	SMYD3
1	2876286	+	SMYD3
1	2780945	+	SMYD3
1	2754499	+	SMYD3
1	97371242	-	NPR1
1	97371246	-	NPR1
1	3386414	-	KIF26B
1	203993895	+	SH2D5
1	3964561	-	EFCAB2
1	4002534	-	EFCAB2
1	4003038	-	EFCAB2
2	100744235	-	KIAA1143
1	4134266	+	
2	52685513	-	SERP1
1	4248035	+	HNRNPU
1	4252527	+	HNRNPU
2	85986586	-	
1	45284218	+	
1	4254577	-	COX20
1	4255877	-	COX20
1	4363427	-	
1	76251546	-	
1	84480363	+	PSEN2
1	84480369	+	PSEN2
1	84480366	+	PSEN2
1	84480373	+	PSEN2
1	84480351	+	PSEN2
1	4401250	-	DESI2
1	4404443	-	DESI2
1	188501627	+	COL8A2
1	4478525	-	CATSPERE
1	4501673	-	CATSPERE
1	84560802	+	COQ8A
1	84560799	+	COQ8A
1	188505269	-	ADPRS
1	188505271	-	ADPRS
1	188505272	-	ADPRS
1	188505809	-	ADPRS
1	100863269	-	CIART
1	100867652	-	CIART
1	4583289	+	
1	4707156	+	ADSS2
1	188510865	-	TEKT2
1	188510868	-	TEKT2
1	69680083	+	DTL
1	69596757	+	DTL
1	4725778	-	C1H1orf100
1	188543914	-	AGO3
1	188543994	-	AGO3
1	188612923	-	AGO3
1	201262240	+	E2F2
1	97403632	+	ILF2
1	97403917	+	ILF2
1	97403641	+	ILF2
1	5061719	-	ZBTB18
1	201278463	-	
1	69861123	+	PPP2R5A
1	69855748	+	PPP2R5A
1	69856737	+	PPP2R5A
1	5121444	-	
1	186540147	+	POU3F1
1	5224356	-	
1	201341700	+	ASAP3
1	188673810	-	AGO1
1	188678495	-	AGO1
1	69860408	-	PACC1
1	69860413	-	PACC1
1	204050740	+	DDOST
1	204064077	+	DDOST
1	204064338	+	DDOST
1	204068804	+	DDOST
1	69939772	+	NENF
1	5584659	+	AKT3
1	5626496	+	AKT3
1	5624431	+	AKT3
2	38320261	+	PPP2R3A
2	38316366	+	PPP2R3A
1	97403834	-	SNAPIN
1	180454526	+	SLC6A9
1	180454524	+	SLC6A9
1	180454528	+	SLC6A9
1	180453475	+	SLC6A9
1	180454520	+	SLC6A9
2	75023525	+	GPR160
1	204064593	-	PINK1
1	97414515	-	CHTOP
1	97414518	-	CHTOP
1	97414521	-	CHTOP
1	97415545	-	CHTOP
1	201394085	+	TCEA3
1	201394167	+	TCEA3
1	201391165	+	TCEA3
1	97416282	-	S100A1
1	204099961	-	CDA
1	204105948	-	CDA
2	89891840	+	EPHB3
2	89891078	+	EPHB3
2	89885563	+	EPHB3
2	89893143	+	EPHB3
1	180454486	-	CCDC24
1	97442829	+	S100A13
2	38220216	-	
1	188745954	-	AGO4
1	188747174	-	AGO4
1	204125877	+	
1	97447044	+	S100A14
2	38321333	-	MSL2
1	204130512	+	
2	38371960	-	
2	170092059	-	
1	180458690	-	B4GALT2
1	180460352	-	B4GALT2
1	180462783	-	B4GALT2
1	204172221	-	FAM43B
1	97454825	+	S100A16
1	97454822	+	S100A16
1	97454823	+	S100A16
1	84568059	-	CDC42BPA
2	108552927	+	DNAH1
1	201409911	+	ZNF436
1	201409788	+	ZNF436
1	201412316	+	ZNF436
1	201412994	+	ZNF436
2	90018665	-	MAGEF1
1	97508608	+	S100A2
1	204228946	+	MUL1
1	204228943	+	MUL1
2	75034466	-	PHC3
2	75035507	-	PHC3
2	75037618	-	PHC3
2	75038385	-	PHC3
1	5629548	-	SDCCAG8
1	5629830	-	SDCCAG8
1	5632447	-	SDCCAG8
1	5634705	-	SDCCAG8
1	5635224	-	SDCCAG8
1	5640370	-	SDCCAG8
1	5655379	-	SDCCAG8
1	188808574	+	
1	97522197	+	S100A3
1	188833243	+	
1	39623410	-	GLUL
1	39623412	-	GLUL
1	39623413	-	GLUL
1	204245913	+	CAMK2N1
1	97526145	+	S100A4
1	97525694	+	S100A4
1	180472451	-	DPH2
1	180473187	-	DPH2
1	180473339	-	DPH2
1	180477409	-	DPH2
1	201462633	+	HNRNPR
1	201462638	+	HNRNPR
1	201462044	+	HNRNPR
1	201461972	+	HNRNPR
1	97532127	+	S100A5
1	97534781	+	S100A6
2	108541073	-	
1	39657049	-	TEDDM1
2	38513756	+	PCCB
2	38513569	+	PCCB
2	38510054	+	PCCB
2	38510197	+	PCCB
1	64471942	-	FCAMR
1	204375912	-	VWA5B1
1	102342989	+	GJA5
1	188874019	+	CLSPN
1	64537523	-	C1H1orf116
1	97609956	+	
1	201588818	+	HTR1D
1	64564212	-	YOD1
1	97617148	-	
1	39804203	+	RGSL1
1	39801802	+	RGSL1
1	97625430	+	
1	70108429	+	ATF3
1	70109653	+	ATF3
2	131697746	+	CHL1
2	131690101	+	CHL1
1	70115522	+	FAM71A
1	169374885	+	USP24
1	169374563	+	USP24
1	169362711	+	USP24
1	97641978	-	
1	201697317	+	LUZP1
1	130264489	+	GCLM
2	108553515	-	BAP1
2	108553519	-	BAP1
2	108554775	-	BAP1
1	180478713	-	IPO13
1	180483026	-	IPO13
1	180483029	-	IPO13
1	180483097	-	IPO13
1	64594299	+	PFKFB2
1	64587609	+	PFKFB2
1	64592984	+	PFKFB2
1	204536888	-	UBXN10
1	100875396	-	C1H1orf54
1	70170665	-	BATF3
1	70171329	-	BATF3
1	97669980	+	S100A8
1	204566772	+	PLA2G2C
1	188894744	+	C1H1orf216
1	97683709	+	S100A12
1	97696354	-	S100A9
1	130286138	+	DNTTIP2
1	130284867	+	DNTTIP2
1	204581206	-	PLA2G2F
1	204581242	-	PLA2G2F
1	39825939	-	RNASEL
1	97726845	+	PGLYRP4
1	70223871	-	NSL1
1	70225110	-	NSL1
1	189017385	+	PSMB2
1	130295681	+	
1	97768876	+	PGLYRP3
1	204620807	+	PLA2G2D
1	64616169	+	C4BPB
1	201698067	-	KDM1A
1	201702651	-	KDM1A
1	97806861	-	LORICRIN
1	39848119	-	RGS16
1	180514564	-	ARTN
1	130347269	-	
1	189026352	-	TFAP2E
1	70291375	+	TATDN3
1	70292690	+	TATDN3
1	70291205	+	TATDN3
1	97850406	-	PRR9
1	204643286	-	PLA2G5
1	204643492	-	PLA2G5
2	75238571	+	PRKCI
1	130458294	-	
1	70290921	+	
2	108578485	+	PHF7
1	204668063	+	
1	70306335	-	SPATA45
1	64704750	+	C4BPA
1	64660039	+	C4BPA
1	39895999	-	RGS8
1	39899531	-	RGS8
1	39900088	-	RGS8
1	204746091	+	PLA2G2A
1	189056217	-	NCDN
1	189056220	-	NCDN
1	189056223	-	NCDN
1	130581279	+	BCAR3
1	130580836	+	BCAR3
1	192178298	-	
1	70370082	+	FLVCR1
1	204813151	+	PLA2G2E
2	90151940	+	VPS8
2	90364008	+	VPS8
2	108591623	-	SEMA3G
1	180520145	-	ST3GAL3
1	180520146	-	ST3GAL3
1	180520147	-	ST3GAL3
1	180521079	-	ST3GAL3
1	180545631	-	ST3GAL3
1	98067551	+	
1	6008480	+	CEP170
1	6009250	+	CEP170
1	6007236	+	CEP170
1	6008818	+	CEP170
1	6009260	+	CEP170
1	186560846	-	UTP11
