chr	pos	strand	gene
2R	10879673	-	Taf5
3R	7150968	-	gfzf
2R	22205593	-	Alp7
2R	11988787	-	rho-7
2R	23523856	+	mi
3L	14789935	+	Helz
3L	14790551	+	Helz
3L	14791437	+	Helz
2L	357874	-	Ent1
3R	6198811	+	Osi24
3R	19031503	+	CG6013
2R	18184090	-	CG5721
3R	4190260	-	Dsk
2L	20726551	-	CG9316
2R	14091031	+	CG42288
X	11604194	-	CG2533
2L	2767845	-	Taf10b
2L	422873	+	BBS8
2R	18627918	+	Eip55E
2L	21513481	-	His2B:CG33878
X	15669797	-	CG15646
X	15671029	-	CG15646
3L	16295547	-	CG4962
2R	5350477	+	CG10395
2R	5350740	+	CG10395
3L	6163127	+	Prdm13
X	1477063	+	mei-38
2L	17915023	-	CG43271
2L	17914813	-	CG43271
2L	15478260	-	sna
2R	14933515	+	CG12853
3L	10638146	+	CG8009
2L	574291	+	cold
2L	574508	+	cold
2R	12140631	+	Smyd4-4
3L	11509394	-	Sgs8
3R	8676915	+	CG8043
2L	10737043	-	Vha16-5
3L	19544205	-	CG9279
3L	19542992	-	CG9279
3L	21728673	-	CG11247
3L	21728806	-	CG11247
2R	5974385	-	BubR1
2R	15691113	+	CG30088
2R	7988462	+	Nup44A
2R	7989859	+	Nup44A
2R	7988532	+	Nup44A
3L	11577044	-	CG33489
3L	11576913	-	CG33489
3L	20758883	+	CG43251
2R	7037896	-	CG33914
2R	7039050	-	CG33914
2L	15979486	+	CG10839
3R	25097672	+	CG33095
2R	10137656	+	CG12917
3R	12642482	-	CG6753
3L	3268461	+	CG34265
2L	5728811	-	CG14006
2L	12138008	+	Gr33a
2R	16149795	-	CG10731
2R	16149639	-	CG10731
3R	5669713	+	Atg17
2L	21510018	+	His3:CG33848
2L	21179933	+	Mcm10
3L	4697601	+	CG13713
3R	27872390	-	CG12426
2R	25250316	-	CG33680
2R	22845977	+	CG3649
3R	29997676	-	CG15525
3R	14326947	+	ATPsynE
3R	14327068	+	ATPsynE
X	3236686	-	CG14265
3R	15508886	-	CG44014
3R	17609359	+	CG14329
2L	4955144	-	Jon25Bi
3L	4209178	-	Cpr64Aa
2R	18625044	-	Atg7
3L	20103827	-	CG14186
2R	23556672	+	ItgaPS5
2R	19703915	-	Obp56d
2R	19703799	-	Obp56d
2L	14617511	+	Adhr
2L	14616267	+	Adhr
2L	14615552	+	Adhr
3R	4229238	-	DhpD
2R	21860825	+	CG9294
2R	13794777	+	Cpr50Cb
2L	271744	-	CG3645
2L	254750	-	CG3645
3L	22075756	-	CG7130
2L	2812437	+	CG2964
3L	12042387	+	CG6793
2L	19045148	-	Ttc19
2R	7540111	+	Corin
2R	7545153	+	Corin
2L	9330763	+	Cks30A
X	11732770	-	inaF-B
2R	11244247	+	CG13226
2L	6489090	+	epsilonCOP
X	15139367	-	RpL37a
3L	23726829	+	CG40298
2L	15762408	-	Gli
2L	15762758	-	Gli
3R	14918628	+	Sdr
2R	12240399	+	CG13170
3L	8981795	+	CG13314
3L	8982424	+	CG13314
3R	8768191	-	CG11768
3R	8768200	-	CG11768
3L	13929387	+	DCTN1-p150
X	15737120	-	Arp6
3R	22531922	-	CG33093
2L	9954325	+	CG4709
2L	9954454	+	CG4709
3L	12044579	+	CG43638
3L	5873532	+	CG18586
2R	7068572	+	CG12836
X	8464438	-	Sptr
X	15982944	-	CG9170
3L	21539862	+	VhaM9.7-b
X	15244913	-	PPYR1
2R	7158241	-	nec
3R	11999278	+	Ect3
3R	11674221	+	CG14715
2L	16682503	+	CG33552
3R	19491115	-	CG15025
3L	17494880	+	edin
2R	22220905	-	Oatp58Da
3R	16349404	+	Manf
2L	203779	+	mRpL10
2L	15962435	-	beat-Ib
2R	19593790	+	TTLL6A
2L	6957008	+	CG3430
3L	11793514	+	CG10907
3L	17835174	-	CG32189
X	12377755	-	Ir11a
3L	4667389	-	CG32236
2R	21501732	-	TAF1C-like
2L	8772344	-	LManIV
3R	8562593	-	mRpS18A
3L	22504423	-	CG43330
2L	22019208	+	tio
2L	22019322	+	tio
2L	8374461	+	Wdr82
2L	17087641	+	CG12620
X	16734947	+	TwdlY
3R	20169435	+	CG5023
2R	21009576	-	CG30291
X	647304	+	Roc1a
3R	10161331	-	CG6254
3R	24817464	+	Saf-B
2R	22332072	-	T3dh
2L	5050975	-	CG9121
2L	11130737	+	CG4751
2R	14889010	-	Cyp6a8
X	3719635	-	Rala
2L	2289416	-	CG17237
2L	6038117	+	CG31643
X	18101970	+	Taf8
3R	19861610	+	CG11447
