chr	pos	strand	gene
Y	31468003	-	Gm28488
Y	31467551	-	Gm28488
Y	31496915	-	Gm28491
Y	31496462	-	Gm28491
Y	68682113	-	Gm29447
Y	68681660	-	Gm29447
Y	68714125	+	Gm29446
Y	68912594	-	Gm28633
Y	68912141	-	Gm28633
Y	31691835	-	Gm21562
Y	31691829	-	Gm21562
Y	31735247	-	Gm28298
Y	31758082	-	Gm21572
Y	31758076	-	Gm21572
Y	31797635	-	Gm28297
Y	32115184	+	Gm21723
Y	32115190	+	Gm21723
Y	69012766	-	Gm28462
Y	69012780	-	Gm28462
Y	32136979	+	Gm28296
Y	32176464	+	Gm21821
Y	32176470	+	Gm21821
Y	69214358	-	Gm29409
Y	69256026	-	Gm28632
Y	69255573	-	Gm28632
Y	32199403	+	Gm28295
Y	32238884	+	Gm21842
Y	32238890	+	Gm21842
Y	32260391	+	Gm28170
Y	32452981	-	Gm28764
Y	32452529	-	Gm28764
Y	32481921	-	Gm28762
Y	32481468	-	Gm28762
Y	32513787	-	Gm28763
Y	69781141	-	Gm28824
Y	69813114	+	Gm28081
Y	69813566	+	Gm28081
Y	32668537	-	Gm21588
Y	32668531	-	Gm21588
Y	32712295	-	Gm28761
Y	32735112	-	Gm21599
Y	32735106	-	Gm21599
Y	32774644	-	Gm28765
Y	33096043	+	Gm21916
Y	33096049	+	Gm21916
Y	33118945	+	Gm29191
Y	70101163	+	Gm28082
Y	70101617	+	Gm28082
Y	33245210	+	Gm28210
Y	33277090	+	Gm29074
Y	33277543	+	Gm29074
Y	33341245	-	Gm28518
Y	33340793	-	Gm28518
Y	33370180	-	Gm28519
Y	33369727	-	Gm28519
Y	33404604	-	Gm28520
Y	33404151	-	Gm28520
Y	70391032	+	Gm29425
Y	70391485	+	Gm29425
Y	33591542	-	Gm21626
Y	33591536	-	Gm21626
Y	70535091	-	Gm28238
Y	33635336	-	Gm28521
Y	70574741	-	Gm28431
Y	33658208	-	Gm21633
Y	33658202	-	Gm21633
Y	70606727	+	Gm28432
Y	70607180	+	Gm28432
Y	33697834	-	Gm28522
Y	34019043	+	Gm28517
Y	34041726	+	Gm29532
Y	34081254	+	Gm29531
Y	34104200	+	Gm28464
Y	34141780	+	Gm29656
Y	70901967	+	Gm28842
Y	70902420	+	Gm28842
Y	34164715	+	Gm29655
Y	34290974	+	Gm29653
Y	34366261	+	Gm29654
Y	71097812	-	Gm28839
Y	34425874	-	Gm29080
Y	34628719	-	Gm29081
Y	34628265	-	Gm29081
Y	71418519	+	Gm28668
Y	71418972	+	Gm28668
Y	34660686	+	Gm29077
Y	34720020	-	Gm29078
Y	71647904	-	Gm28482
Y	71641232	+	Gm28485
Y	71641687	+	Gm28485
Y	34922440	-	Gm29225
Y	34921987	-	Gm29225
Y	34954443	+	Gm29226
Y	35149331	-	Gm29386
Y	35148877	-	Gm29386
Y	35181234	+	Gm29384
Y	72283195	+	Gm29182
Y	72283648	+	Gm29182
Y	35417030	-	Gm28260
Y	35416577	-	Gm28260
Y	35508611	-	Gm28264
Y	35720360	-	Gm28463
Y	35719907	-	Gm28463
Y	35818478	+	Gm28585
Y	35939545	-	Gm28470
Y	35939092	-	Gm28470
Y	35971070	+	Gm28469
Y	73436584	+	Gm29255
Y	73437036	+	Gm29255
Y	36231745	-	Gm28332
Y	36231292	-	Gm28332
Y	36263746	+	Gm28333
Y	36346928	-	Gm28336
Y	73837428	+	Gm28259
Y	73837880	+	Gm28259
Y	36454295	-	Gm28338
Y	36453842	-	Gm28338
Y	36632325	+	Gm28811
Y	36645510	-	Gm28810
Y	36752690	-	Gm29027
Y	36752238	-	Gm29027
Y	36785886	+	Gm29028
Y	74129821	+	Gm29616
Y	74130275	+	Gm29616
Y	36844291	-	Gm29023
Y	36891289	+	Gm29025
Y	37039696	-	Gm28212
Y	74419644	+	Gm29108
Y	74420096	+	Gm29108
Y	74647091	+	Gm28174
Y	37505910	-	Gm28820
Y	37505457	-	Gm28820
Y	74811466	+	Gm29416
Y	74811622	+	Gm29416
Y	37764182	+	Gm29671
Y	75145003	+	Gm28789
Y	75145456	+	Gm28789
Y	38025625	-	Gm28545
Y	38025172	-	Gm28545
Y	38057568	+	Gm28547
Y	75367611	+	Gm29278
Y	75368063	+	Gm29278
Y	38298668	-	Gm28771
Y	38298215	-	Gm28771
Y	38331844	+	Gm28772
Y	75664495	+	Gm28606
Y	75664948	+	Gm28606
Y	38519645	-	Gm28774
Y	38519192	-	Gm28774
Y	38551562	+	Gm28775
Y	38830343	-	Gm28176
Y	38853263	-	Gm28786
Y	38892728	-	Gm29360
Y	39117425	-	Gm29497
Y	39116972	-	Gm29497
Y	76934608	+	Gm29313
Y	76935061	+	Gm29313
Y	39367166	+	Gm29498
Y	39406588	+	Gm36782
Y	39459472	+	Gm29839
Y	77268515	+	Gm29311
Y	77269186	+	Gm29311
Y	40060001	+	Gm28595
Y	77459535	-	Gm29309
Y	77493212	-	Gm28702
Y	77490182	+	Gm28701
Y	40322851	+	Gm29433
Y	40325420	-	Gm29215
Y	77620570	-	Gm28704
Y	40346794	-	Gm21801
Y	40346788	-	Gm21801
Y	77654946	+	Gm28540
Y	77655399	+	Gm28540
Y	40389627	-	Gm28850
Y	40412615	-	Gm21914
Y	40412609	-	Gm21914
Y	40452112	-	Gm28617
Y	77763394	-	Gm28541
Y	40596403	-	Gm28619
Y	77833373	-	Gm28538
Y	77865363	+	Gm29569
Y	77865816	+	Gm29569
Y	40692321	-	Gm28993
Y	40691868	-	Gm28993
Y	40720213	-	Gm28994
Y	78063273	+	Gm29568
Y	78168774	-	Gm29566
Y	78162121	+	Gm29565
Y	78162574	+	Gm29565
Y	78339904	-	Gm29146
Y	78378548	-	Gm28664
Y	78371897	+	Gm28663
Y	78372350	+	Gm28663
Y	78668759	-	Gm28817
Y	78662528	+	Gm28816
Y	78662982	+	Gm28816
Y	41341116	-	Gm28427
Y	41372777	+	Gm28426
Y	41401167	+	Gm28425
Y	78939065	+	Gm28813
Y	78939517	+	Gm28813
Y	41724457	-	Gm28834
Y	79177139	+	Gm28421
Y	42096900	+	Gm29537
Y	42097353	+	Gm29537
Y	42418140	-	Gm29274
Y	42417687	-	Gm29274
Y	42446223	-	Gm29275
Y	42445772	-	Gm29275
Y	79268762	+	Gm28422
Y	79269216	+	Gm28422
Y	42726150	+	Gm29645
Y	42788498	+	Gm28312
Y	42930494	+	Gm29042
Y	43006089	-	Gm28311
Y	43005636	-	Gm28311
Y	43034976	-	Gm28310
Y	43034523	-	Gm28310
Y	79784719	+	Gm29606
Y	79785173	+	Gm29606
Y	43409712	-	Gm28568
Y	43409259	-	Gm28568
Y	43758445	+	Gm29286
Y	80083111	+	Gm29190
Y	80083564	+	Gm29190
Y	43797976	+	Gm29285
Y	43820606	+	Gm28280
Y	44113186	-	Gm28278
Y	44112733	-	Gm28278
Y	80255782	-	Gm28157
Y	44126701	-	Gm28279
Y	44126248	-	Gm28279
Y	80551023	-	Gm28696
Y	44304174	-	Gm28886
Y	44343536	-	Gm29426
Y	80844154	-	Gm28898
Y	44782728	-	Gm28887
Y	44776352	+	Gm29444
Y	44776461	+	Gm29444
Y	44999347	+	Gm29445
Y	44999800	+	Gm29445
Y	45181085	+	Gm28457
Y	45181538	+	Gm28457
Y	81407170	+	Gm29324
Y	81407621	+	Gm29324
Y	81630241	+	Gm28741
Y	81630694	+	Gm28741
Y	45404305	+	Gm28458
Y	45404758	+	Gm28458
Y	81890029	-	Gm28743
Y	45744076	+	Gm28461
Y	81921959	+	Gm28124
Y	81922411	+	Gm28124
Y	45767025	+	Gm28460
Y	82121972	+	Gm28126
Y	45806463	+	Gm28851
Y	45829380	+	Gm28456
Y	46353290	-	Gm29648
Y	46579374	+	Gm29646
Y	46579827	+	Gm29646
Y	82361457	-	Gm29472
Y	46608269	+	Gm28549
Y	46608722	+	Gm28549
Y	82393458	+	Gm29473
Y	82393910	+	Gm29473
Y	46854613	-	Gm29210
Y	82655107	-	Gm28226
Y	46877549	-	Gm29213
Y	82686996	+	Gm28225
Y	82687449	+	Gm28225
Y	46916999	-	Gm28550
Y	46939974	-	Gm28604
Y	47256776	+	Gm28565
Y	47296338	+	Gm28566
Y	47319171	+	Gm28697
Y	47362549	+	Gm28554
Y	83202996	+	Gm28832
Y	83203449	+	Gm28832
Y	47549381	+	Gm29056
Y	47549834	+	Gm29056
Y	47578323	+	Gm29098
Y	47578775	+	Gm29098
Y	47839774	-	Gm29373
Y	47839321	-	Gm29373
Y	47861948	-	Gm29370
Y	47861942	-	Gm29370
Y	48190346	+	Gm29166
Y	48224625	+	Gm28194
