chr	pos	strand	gene
17	27971144	-	ptafr
17	27971210	-	ptafr
16	45087810	-	si:rp71-77l1.1
13	11674764	-	si:ch211-195e19.1
6	34036231	+	si:ch73-185c24.2
5	67463027	-	si:dkey-251i10.2
17	20611306	+	si:ch73-288o11.5
23	45612438	+	dclk2b
22	1109547	+	guca1e
7	67817256	-	pmfbp1
17	20611312	+	si:ch73-288o11.5
22	1120875	+	si:ch1073-181h11.1
7	624852	+	nrxn2b
8	10659477	+	tafa5l
16	7260345	+	sri
6	40499799	+	fgd5b
9	22075528	-	crygm2a
17	23820450	-	pdzd8
24	29563767	-	vav3a
24	7158301	+	si:dkeyp-101e12.1
6	9220775	+	tbx19
24	17027310	-	ptgdsb.1
9	38029475	-	hacd2
1	56943492	-	si:ch211-1f22.1
2	49801011	+	si:ch211-190k17.19
21	44709280	-	ammecr1
3	14605846	+	znf653
1	38398696	-	hpgd
2	37775655	-	nfatc4
21	20742876	-	ghrb
2	6042048	-	czib
20	9421263	+	si:dkey-174m14.3
11	1396301	-	rpl29
21	20744762	-	ghrb
5	28279364	+	vamp8
13	269822	-	slc30a6
23	39597901	+	camk1gb
10	6702812	+	si:ch211-57m13.8
1	44707054	-	si:dkey-28b4.7
19	44036792	+	nkd3
11	1396300	-	rpl29
1	56950797	-	si:ch211-1f22.2
15	46132191	+	lrfn1
10	17759878	+	pigo
15	46132181	+	lrfn1
11	1396170	-	rpl29
16	42472987	+	pkdc
24	38109799	-	crp2
9	22091161	-	crygm2d13
7	742517	-	drap1
24	38109814	-	crp2
3	29655677	-	sult3st1
7	67845942	-	si:ch73-315f9.2
18	32919974	+	olfcg2
23	30724909	+	dnajc11a
24	38121403	-	si:ch211-234p6.9
1	56960001	+	si:ch211-1f22.10
15	46315233	+	si:ch1073-190k2.1
18	22739732	-	hsf4
19	33836439	-	otud6b
24	25349823	-	ptchd1
13	285151	+	mpc1
24	25347503	-	ptchd1
7	73013801	+	ADGRL3
21	1618181	-	vmo1b
23	2745986	+	zgc:114123
20	2679598	+	slc35a1
4	1730920	+	fgfr1op2
7	763406	+	C7H11orf68
17	24855678	-	hmgcl
12	33790121	-	galk1
6	52253641	+	zc3h10
19	33828976	-	si:ch73-302o18.2
5	41792672	+	wdr66
17	24855384	-	hmgcl
6	52256744	+	zc3h10
3	18498674	+	tbc1d16
1	20733102	-	tll1
7	37755346	+	brd7
2	12003175	+	cdc73
8	43814821	-	adgrd1
4	11099041	-	si:dkey-21h14.12
9	22098575	-	crygm2d11
16	7216806	-	nt5c3a
2	38617816	+	cdh24b
24	38130604	-	crp6
4	40839221	+	si:dkey-285e18.2
1	20733344	-	tll1
24	33288455	-	si:ch1073-406l10.2
1	56981521	+	si:ch211-1f22.11
16	5199333	+	soga3a
16	7202082	-	si:ch73-341k19.1
3	18502030	+	tbc1d16
8	43815653	-	adgrd1
1	7574447	-	mxb
16	5231397	+	soga3a
4	30409750	-	znf1114
15	8314932	-	si:ch211-113p18.3
17	23935450	+	pex13
22	4524367	-	fbn2b
24	36303637	-	naglu
19	9460432	-	vamp1
5	69865574	+	ugt2a6
22	1130263	+	si:ch1073-181h11.2
8	24779395	+	slc16a4
1	25897231	-	usp53b
12	16332416	-	hectd2
14	36893215	+	
2	23295415	-	niban1b
25	21523943	+	si:dkey-81e3.2
22	2370086	+	si:dkey-4c15.13
25	15178225	-	wt1a
1	31809185	-	nt5c2b
3	36425851	+	SMIM22
5	33275150	-	surf6
12	22445061	+	hdlbpb
19	9460322	+	si:ch211-288g17.3
23	45668597	-	fam160a1b
6	39286029	+	ankrd33ab
5	33275164	-	surf6
18	18995247	-	ints14
12	22444387	+	hdlbpb
15	8382997	+	egln2
14	7305686	-	si:ch211-51f19.1
15	8381511	+	egln2
18	18995594	-	ints14
15	46336399	+	si:ch1073-340i21.3
4	11112580	-	si:dkey-21h14.10
18	27822787	+	si:ch211-222m18.4
19	798589	-	glmp
4	8515824	+	ERC1
14	24221965	+	stc2a
5	15817204	+	srrm4
1	22647756	-	uchl1
25	21743922	+	znf277
4	30428468	-	si:dkey-199m13.5
17	28071945	+	luzp1
5	37095460	+	tagln2
20	26572456	-	exoc2
8	27630692	-	mov10b.2
8	24744290	+	lamtor5
14	4084120	-	irf2
16	35537491	+	cited4b
5	37094906	+	tagln2
11	15756385	+	gdf11
16	35536922	+	cited4b
2	27391558	+	si:ch73-382f3.1
24	27019540	+	larp4b
22	24169089	+	b3galt2
11	7341807	+	diras1a
13	285874	-	chs1
17	45501378	-	hhipl2
8	53096754	+	wdr46
14	36887063	+	lect2l
21	27437867	-	bfb
8	33132502	-	zbtb34
2	45652375	+	fndc7rs4
1	40258430	+	faah2a
18	18995283	+	hacd3
7	808916	-	CABP4
9	22116600	-	crygm2d15
14	33268488	+	pdzd11
23	19981813	+	cfap126
13	6110023	+	fam120b
2	27401105	+	selenop2
8	24714733	-	prok1
2	55833425	-	rx2
19	7950953	+	si:dkey-266f7.5
16	42477952	+	si:ch211-135n15.1
14	34510631	+	lcp2b
10	1414161	+	gdnfa
14	17351159	+	wfs1b
1	17536307	+	casp3a
16	9433738	-	prpf3
16	26132951	-	cd79a
11	30747836	+	wdr83os
3	26751819	+	tmc5
16	29577708	+	ensab
14	33268494	+	pdzd11
