chr	pos	strand	gene
4	113280793	-	
1	157231467	+	Olr56
3	71048570	+	Olr473
1	205625668	+	AC099294.1
3	143140802	-	AABR07054368.1
3	98072772	-	Olr760
1	190334648	-	Clrn3
1	1307185	+	AABR07000137.1
1	201296342	+	Doc2g
3	60625215	-	
1	242379572	-	Got1
1	80123925	+	Irgq
2	199391826	+	
1	79524871	-	Ceacam16
3	8027403	-	Nelfb
1	36122387	-	
2	182014326	+	Lingo4
1	29357140	+	Trip13
4	146869621	-	Ghrl
1	160696571	-	Olr218
2	38354854	+	Dimt1
1	210445192	+	Olr361
1	194383515	-	Nkx6-2
1	129152479	-	Sv2b
1	192241701	+	Glrx3
1	78531815	+	Pglyrp1
1	154504563	+	Lipt2
3	136179345	-	Napb
1	210518254	+	
3	145357861	+	Rab5if
1	160730837	+	Olr220
1	36397159	+	
1	96291090	-	Cyth2
1	140056370	+	Olr20
3	72046706	+	Olr530
3	61305924	+	Rbm45
1	259367077	-	Fam204a
4	85888977	-	
1	160757850	-	Olr221
1	197833089	+	
1	30666378	-	Irx2
3	145382480	-	Sla2
1	193883106	+	Dpysl4
2	172615299	-	Kirrel1
2	131081720	-	RGD1563562
3	108432539	+	Hypk
3	72090591	-	Olr532
1	195646504	+	Olr310
4	52647099	-	Slc13a1
2	151846146	+	Mfsd1
4	25462752	+	Rundc3b
3	103983072	+	Spred1
4	149669618	+	Olr825
2	182218906	-	Snx27
1	78557686	-	Ccdc61
3	8272111	+	Clic3
1	162844522	-	Olr283
1	217316672	-	
1	141210207	-	Tyr
2	191318482	+	Ap4b1
3	108456750	-	Mfap1a
1	174053931	+	Acsm4
1	94115420	+	Ctu1
1	29966587	-	Mrpl36
3	130399258	+	Snrpb2
1	205286391	-	Ust5r
3	72097916	-	Olr533
3	104029277	-	
1	29968807	-	Mrpl36
1	206955444	-	
1	159501610	-	Olr192
1	55699789	-	Thbs2
2	201326532	-	Amy2a3
1	29966447	-	Mrpl36
1	70071840	-	Ttyh1
1	82844286	+	RGD1307554
4	51766078	-	Fezf1
4	30559087	+	Rbm48
3	71451019	-	Olr500
1	157243355	+	
3	130415339	+	Otor
1	97524328	+	Gm9999
3	8276239	-	Paxx
1	207587917	+	Ptgdr2
4	53166319	+	
3	91567190	+	Wt1
1	1402656	-	Rrlt
1	54985367	+	
2	196159224	+	
2	152965769	+	Il12a
1	255315915	+	Habp2
1	34850138	-	RGD1308544
1	174084937	-	Thumpd1
4	30588558	-	1700109H08Rik
3	71665617	-	Olr514
1	157258175	-	Olr53
1	200972693	-	AABR07006081.1
1	95341620	+	Pnkp
1	243031653	-	Bloc1s2
1	1438065	+	
1	36800428	+	
3	8484013	+	Lcn6
1	180985438	+	AABR07071986.1
3	67962360	+	Fsip2
1	68828594	-	
1	94131998	+	Klk14
3	70653928	+	Olr443
1	210317860	+	Olr354
1	135081385	+	Slc28a1
1	157292342	+	Olr51
2	184376161	+	Pdzk1
1	94804633	-	Clec11a
1	210937168	-	Olr377
4	83085655	-	Cpvl
1	1664283	-	
2	192470308	-	Wnt2b
1	173032429	-	Gde1
4	53238118	+	Hyal6
1	210343656	+	Olr357
1	79879612	-	Zfp94
3	70670013	+	Olr444
3	53988959	-	Spc25
2	231773165	+	Gtf2b
1	157349066	+	Olfr572
1	54985534	+	
1	55019114	+	
2	185273759	-	Gm17651
1	214234226	-	Foxb2
1	79900149	-	
1	157370424	+	Olfr574
3	71594685	-	Olr510
1	55033368	+	
3	61621383	-	Fkbp7
4	84171596	+	Gars
1	198938626	-	RGD1562011
3	89809433	+	Elf5
1	79061456	+	Ckm
1	157395779	+	Olr67
1	68847500	+	Zfp579
2	188724026	-	Cd2
1	156591415	-	Nup98
3	72803755	+	Olr563
1	92671461	+	MGC114499
1	210806709	+	Olr372
1	72671596	+	Vom1r51
1	78865409	+	Gpr4
4	84849999	-	Neurod6
1	201305466	-	Ndufv1
1	54858175	+	Vom2r9
1	143411169	-	Prss23
1	157415212	+	Olr68
3	8070860	-	Ndor1
3	101534603	-	Dph6
2	38431508	-	Kif2a
3	71192719	-	Olr483
1	210889382	+	Olr375
1	96006052	+	Plekha4
3	144001492	-	Ggt7
1	69165572	+	Hspbp1
1	195685654	+	Olr311
1	157422575	-	Olr69
3	54554733	+	Phospho2
1	93844902	+	Nkg7
2	153942719	-	AABR07011698.1
3	71229264	-	Olr483
1	154571766	+	Pgm2l1
3	8100590	+	Tmem210
3	54554773	+	Phospho2
1	210042752	+	Olr340
3	54557848	+	Phospho2
1	208218000	+	AABR07006275.1
2	22079302	+	Rps23
4	45790791	+	Met
1	162284822	-	Olr262
3	71295393	-	Olr488
1	227987570	+	
1	93848533	+	Cldnd2
3	108763498	-	Frmd5
1	175578248	-	AC103221.1
4	30828229	-	Cdk6
1	195715316	+	Olr312
3	79299852	-	Tspan18
3	98548935	-	Olr781
1	157483242	+	Olr75
1	55983403	+	Ermard
1	139873029	-	Olr12
3	98548743	-	Olr781
1	210052260	-	Olr341
3	73510266	+	Olfr1161
1	195719960	+	Olr312
2	51601331	+	Ccl28
3	61623434	+	Plekha3
3	127713817	-	Sel1l2
1	157516210	+	Olr78
1	210111646	+	Olr344
4	31134900	-	
3	42573622	+	Galnt5
1	93130598	+	Zfp141
4	51682224	+	AABR07025928.1
2	107520280	+	
3	73565480	+	Olr606
3	88481267	-	Ldlrad3
1	55072301	-	
1	195744354	+	Olr313
3	98573326	-	Olr782
1	157523148	+	Olr79
1	79108556	-	Mark4
1	139902727	-	Olr13
3	98573237	-	Olr782
4	31085469	-	AABR07059632.3
1	139894131	-	Olr13
2	102238973	+	
1	154343201	+	Chrdl2
1	110070480	+	Ube3a
4	84251198	-	Crhr2
1	210164505	+	Olr347
3	42633744	-	Ermn
2	205608329	+	Plppr5
1	26172170	+	Tpd52l1
4	53343475	+	Hyal5
3	117228661	+	Tgm3
1	157562023	-	Olr80
3	73637864	-	Olr610
1	54457520	-	
3	59561872	-	Evx2
1	210214885	-	Olr349
1	1951882	-	
4	104495493	-	Mat2a
1	157588335	-	Olr82
3	73528482	-	Olfr1162
3	98638542	-	Olr785
4	31184322	-	Samd9
1	94376135	+	
1	82883700	+	Akt2
4	31177557	-	Samd9
1	227576942	-	Ranbp6
1	1336865	-	
3	74964877	-	Olr674
1	157619852	+	Olr84
1	255427693	-	Nrap
4	10527084	-	AC099360.1
1	95353613	-	Ptov1
1	86522514	-	Scgb1b24
1	47179792	-	Tagap
1	230295276	+	AABR07006740.1
1	157626717	+	Olr85
1	26313935	-	Hddc2
3	73850177	+	Olr623
2	196166009	+	RGD1309139
1	79228401	+	Zfp296
4	30935941	-	
3	109184676	+	Sord
1	209121542	-	Olr327
1	55189939	-	Dact2
3	100064979	+	Tmco5b
2	11226004	-	
3	74433047	-	Olr652
1	157668879	+	Olr87
1	186947220	-	Cpxm2
1	201435884	+	Gpr152
1	159718679	+	RGD1561034
1	97679882	-	Ptpn5
1	84019354	+	Fbxo17
1	1005138	-	AABR07002209.1
2	60387717	-	Tars1
2	241354565	+	Zzz3
2	145599331	-	AABR07010787.1
3	147450163	+	Dhx35
1	157681873	+	Olr88
3	73930784	-	Olr625
1	139964460	-	Olr16
4	101084907	-	
1	209194949	+	Olr329
2	138986471	+	Smad9
3	99337252	-	Chrm5
1	83682964	+	Lrfn1
2	91444454	+	Slc10a5
1	211014949	-	Olr382
1	1652635	+	
3	75273392	-	Olr693
1	157689725	+	Olr89
1	93257993	+	Vom2r37
4	83949309	+	Znrf2
4	30036865	+	Cyp51
3	65232744	+	Dnajc10
4	83930590	-	
1	243169236	+	Scd2
2	191416631	+	Rsbn1
1	208716041	-	Olfr1417
2	196169217	+	
1	69242321	+	Ptprh
3	75402836	-	Olr698
2	91444508	+	Zfand1
1	83713853	-	Samd4b
2	196169371	+	
1	93851774	+	Vsig10l
3	69810421	-	Clp1
1	157725793	+	Olr91
