chr	pos	strand	regName	Quantile
5	176875281	+	HO_100000	Q1
5	176880760	+	HO_100003	Q1
5	176886433	+	HO_100009	Q1
5	176888848	+	HO_100010	Q1
5	176898779	+	HO_100017	Q1
5	176901467	+	HO_100018	Q1
5	176902597	+	HO_100019	Q1
5	176917147	+	HO_100024	Q1
5	176918357	+	HO_100026	Q1
5	176919931	+	HO_100027	Q1
5	176921972	+	HO_100028	Q1
5	176925642	+	HO_100034	Q1
5	176934898	+	HO_100038	Q1
5	176963742	+	HO_100044	Q1
5	176980454	+	HO_100047	Q1
5	176981932	+	HO_100048	Q1
5	177026391	+	HO_100055	Q1
5	177027622	+	HO_100056	Q1
5	177032071	+	HO_100057	Q1
5	177033533	+	HO_100058	Q1
5	177097868	+	HO_100063	Q1
5	177099851	+	HO_100064	Q1
5	177131112	+	HO_100072	Q1
5	177209557	+	HO_100082	Q1
5	177233426	+	HO_100090	Q1
5	177235772	+	HO_100093	Q1
1	2415742	+	HO_1001	Q1
5	177303578	+	HO_100105	Q1
5	177314367	+	HO_100109	Q1
5	177365888	+	HO_100112	Q1
5	177372499	+	HO_100116	Q1
5	177388654	+	HO_100121	Q1
5	177434190	+	HO_100137	Q1
5	177521834	+	HO_100147	Q1
5	177532062	+	HO_100149	Q1
5	177541759	+	HO_100155	Q1
1	61064666	+	HO_10016	Q1
5	177549408	+	HO_100163	Q1
5	177558769	+	HO_100166	Q1
5	177593270	+	HO_100178	Q1
5	177632936	+	HO_100186	Q1
5	177658388	+	HO_100191	Q1
5	177672002	+	HO_100199	Q1
5	177689756	+	HO_100204	Q1
5	177698447	+	HO_100208	Q1
5	177720560	+	HO_100209	Q1
5	177733245	+	HO_100211	Q1
5	177788563	+	HO_100217	Q1
5	177789445	+	HO_100218	Q1
5	177942993	+	HO_100238	Q1
5	177945169	+	HO_100239	Q1
5	178003179	+	HO_100255	Q1
5	178005141	+	HO_100257	Q1
5	178016185	+	HO_100261	Q1
5	178018024	+	HO_100262	Q1
5	178202990	+	HO_100297	Q1
5	178258366	+	HO_100307	Q1
5	178327376	+	HO_100321	Q1
5	178419540	+	HO_100333	Q1
5	178422512	+	HO_100335	Q1
5	178424133	+	HO_100337	Q1
5	178549246	+	HO_100355	Q1
5	178562493	+	HO_100365	Q1
5	178582110	+	HO_100375	Q1
5	178614511	+	HO_100384	Q1
5	178617370	+	HO_100386	Q1
5	178639599	+	HO_100388	Q1
5	178665824	+	HO_100396	Q1
5	178666656	+	HO_100397	Q1
5	178700676	+	HO_100403	Q1
5	178723553	+	HO_100412	Q1
5	178729991	+	HO_100416	Q1
5	178741779	+	HO_100421	Q1
5	178748322	+	HO_100422	Q1
5	178758995	+	HO_100426	Q1
5	178770403	+	HO_100427	Q1
5	178773174	+	HO_100429	Q1
1	61390513	+	HO_10043	Q1
5	178830014	+	HO_100445	Q1
5	178838663	+	HO_100447	Q1
5	178840333	+	HO_100448	Q1
5	178879716	+	HO_100460	Q1
5	178880876	+	HO_100461	Q1
5	178978383	+	HO_100477	Q1
1	61434145	+	HO_10049	Q1
5	179105216	+	HO_100518	Q1
5	179106498	+	HO_100520	Q1
5	179221955	+	HO_100543	Q1
5	179224010	+	HO_100544	Q1
5	179226719	+	HO_100546	Q1
5	179229293	+	HO_100547	Q1
5	179231423	+	HO_100548	Q1
5	179242838	+	HO_100553	Q1
5	179245430	+	HO_100556	Q1
5	179247193	+	HO_100558	Q1
5	179249150	+	HO_100559	Q1
5	179305266	+	HO_100575	Q1
5	179316505	+	HO_100581	Q1
5	179333471	+	HO_100583	Q1
5	179335810	+	HO_100585	Q1
1	61509934	+	HO_10059	Q1
5	179524073	+	HO_100609	Q1
5	179539844	+	HO_100614	Q1
5	179553591	+	HO_100618	Q1
5	179561415	+	HO_100623	Q1
5	179564312	+	HO_100627	Q1
5	179565297	+	HO_100628	Q1
5	179606209	+	HO_100637	Q1
5	179635148	+	HO_100644	Q1
5	179637025	+	HO_100645	Q1
5	179717346	+	HO_100655	Q1
5	179718067	+	HO_100656	Q1
5	179719815	+	HO_100657	Q1
5	179720610	+	HO_100658	Q1
5	179738671	+	HO_100662	Q1
5	179739318	+	HO_100663	Q1
5	179745146	+	HO_100666	Q1
5	179773214	+	HO_100669	Q1
1	61547350	+	HO_10067	Q1
5	179778920	+	HO_100670	Q1
5	179781837	+	HO_100673	Q1
5	179797769	+	HO_100676	Q1
5	179812369	+	HO_100677	Q1
1	61548337	+	HO_10068	Q1
5	179843675	+	HO_100683	Q1
5	180022135	+	HO_100736	Q1
5	180042368	+	HO_100739	Q1
5	180043427	+	HO_100740	Q1
5	180044883	+	HO_100742	Q1
5	180047506	+	HO_100744	Q1
5	180063482	+	HO_100748	Q1
5	180064756	+	HO_100749	Q1
5	180066471	+	HO_100750	Q1
5	180074845	+	HO_100754	Q1
5	180084879	+	HO_100757	Q1
5	180218739	+	HO_100781	Q1
5	180220277	+	HO_100782	Q1
5	180229080	+	HO_100784	Q1
5	180230635	+	HO_100785	Q1
5	180231954	+	HO_100786	Q1
5	180236442	+	HO_100788	Q1
5	180332946	+	HO_100799	Q1
5	180472957	+	HO_100810	Q1
5	180480764	+	HO_100813	Q1
5	180524348	+	HO_100819	Q1
5	180526650	+	HO_100821	Q1
5	180529032	+	HO_100823	Q1
5	180568944	+	HO_100828	Q1
5	180588524	+	HO_100831	Q1
5	180619329	+	HO_100845	Q1
5	180622856	+	HO_100849	Q1
5	180633373	+	HO_100852	Q1
5	180651384	+	HO_100857	Q1
5	180687478	+	HO_100870	Q1
5	180708740	+	HO_100875	Q1
5	180723986	+	HO_100878	Q1
5	180751322	+	HO_100881	Q1
5	180752897	+	HO_100883	Q1
5	180812093	+	HO_100888	Q1
5	180872436	+	HO_100893	Q1
6	63192	+	HO_100897	Q1
6	89390	+	HO_100899	Q1
1	2425477	+	HO_1009	Q1
6	178475	+	HO_100903	Q1
6	325899	+	HO_100923	Q1
6	349468	+	HO_100929	Q1
6	359601	+	HO_100933	Q1
6	391194	+	HO_100943	Q1
6	393918	+	HO_100948	Q1
6	419024	+	HO_100952	Q1
6	425555	+	HO_100957	Q1
6	436405	+	HO_100962	Q1
6	440354	+	HO_100964	Q1
6	457637	+	HO_100967	Q1
6	520727	+	HO_100977	Q1
6	693735	+	HO_101000	Q1
6	695367	+	HO_101001	Q1
6	786314	+	HO_101012	Q1
6	786899	+	HO_101013	Q1
6	1003715	+	HO_101027	Q1
6	1205681	+	HO_101044	Q1
6	1312714	+	HO_101052	Q1
6	1316347	+	HO_101054	Q1
6	1318501	+	HO_101056	Q1
6	1383021	+	HO_101062	Q1
6	1384812	+	HO_101064	Q1
6	1387646	+	HO_101066	Q1
6	1388878	+	HO_101067	Q1
6	1392225	+	HO_101070	Q1
6	1438000	+	HO_101079	Q1
6	1482469	+	HO_101086	Q1
6	1604044	+	HO_101117	Q1
6	1606222	+	HO_101118	Q1
6	1608923	+	HO_101121	Q1
6	1611070	+	HO_101123	Q1
6	1704814	+	HO_101141	Q1
6	2201528	+	HO_101185	Q1
6	2246596	+	HO_101190	Q1
6	2429141	+	HO_101213	Q1
6	2491743	+	HO_101221	Q1
6	2504928	+	HO_101223	Q1
6	2647029	+	HO_101235	Q1
6	2694990	+	HO_101239	Q1
6	2766765	+	HO_101246	Q1
6	2767550	+	HO_101247	Q1
6	2768639	+	HO_101248	Q1
6	2853347	+	HO_101259	Q1
6	2875033	+	HO_101265	Q1
6	2902045	+	HO_101270	Q1
1	62110149	+	HO_10128	Q1
6	3053461	+	HO_101306	Q1
6	3065049	+	HO_101314	Q1
6	3065990	+	HO_101315	Q1
6	3069905	+	HO_101318	Q1
6	3156667	+	HO_101340	Q1
6	3158751	+	HO_101341	Q1
6	3169774	+	HO_101344	Q1
6	3196008	+	HO_101352	Q1
1	62207828	+	HO_10137	Q1
1	62209243	+	HO_10138	Q1
6	3355578	+	HO_101390	Q1
6	3356991	+	HO_101391	Q1
6	3455890	+	HO_101399	Q1
1	2431933	+	HO_1014	Q1
6	3457970	+	HO_101400	Q1
6	3469101	+	HO_101403	Q1
6	3505525	+	HO_101408	Q1
6	3747521	+	HO_101429	Q1
6	3750505	+	HO_101432	Q1
6	3753403	+	HO_101435	Q1
6	3772731	+	HO_101441	Q1
6	4031735	+	HO_101466	Q1
6	4136645	+	HO_101476	Q1
6	4427487	+	HO_101515	Q1
6	4550098	+	HO_101522	Q1
6	4588873	+	HO_101525	Q1
6	4775257	+	HO_101544	Q1
6	4777574	+	HO_101545	Q1
6	4778259	+	HO_101546	Q1
6	4839438	+	HO_101558	Q1
6	5037573	+	HO_101581	Q1
6	5038656	+	HO_101582	Q1
6	5084165	+	HO_101593	Q1
6	5087117	+	HO_101595	Q1
1	2434804	+	HO_1016	Q1
1	62603874	+	HO_10163	Q1
6	5572279	+	HO_101639	Q1
6	5679622	+	HO_101644	Q1
6	5750882	+	HO_101651	Q1
6	5827477	+	HO_101655	Q1
6	5839479	+	HO_101662	Q1
6	6004811	+	HO_101683	Q1
6	6025108	+	HO_101686	Q1
6	6028937	+	HO_101687	Q1
1	62660283	+	HO_10171	Q1
6	6278854	+	HO_101714	Q1
6	6293815	+	HO_101716	Q1
6	6376800	+	HO_101731	Q1
6	6538370	+	HO_101743	Q1
6	6606051	+	HO_101748	Q1
6	6696624	+	HO_101754	Q1
6	6745633	+	HO_101762	Q1
6	6746986	+	HO_101763	Q1
6	6763736	+	HO_101766	Q1
6	6837795	+	HO_101770	Q1
6	7051276	+	HO_101792	Q1
6	7053295	+	HO_101795	Q1
6	7107228	+	HO_101803	Q1
6	7110288	+	HO_101806	Q1
6	7211965	+	HO_101813	Q1
6	7229289	+	HO_101817	Q1
6	7248070	+	HO_101825	Q1
6	7267956	+	HO_101829	Q1
6	7348314	+	HO_101846	Q1
1	62785451	+	HO_10186	Q1
6	7501421	+	HO_101867	Q1
6	7541327	+	HO_101873	Q1
1	2438588	+	HO_1019	Q1
6	7909812	+	HO_101907	Q1
6	7911592	+	HO_101909	Q1
6	7913108	+	HO_101911	Q1
6	8060808	+	HO_101922	Q1
6	8289906	+	HO_101946	Q1
6	8580123	+	HO_101963	Q1
6	8880982	+	HO_102000	Q1
6	10099212	+	HO_102094	Q1
6	10319984	+	HO_102111	Q1
6	10421979	+	HO_102142	Q1
6	10753678	+	HO_102186	Q1
6	10784726	+	HO_102189	Q1
6	11043624	+	HO_102221	Q1
6	11045267	+	HO_102222	Q1
6	11395561	+	HO_102261	Q1
6	11538882	+	HO_102284	Q1
6	11605698	+	HO_102289	Q1
6	11759316	+	HO_102307	Q1
6	11942950	+	HO_102336	Q1
6	12010993	+	HO_102346	Q1
6	12013345	+	HO_102347	Q1
6	12098886	+	HO_102358	Q1
6	12748631	+	HO_102425	Q1
6	12749484	+	HO_102426	Q1
6	12750721	+	HO_102427	Q1
6	12957918	+	HO_102450	Q1
6	13214043	+	HO_102477	Q1
6	13364630	+	HO_102488	Q1
1	2446925	+	HO_1025	Q1
6	13486062	+	HO_102500	Q1
6	13486896	+	HO_102501	Q1
6	13488277	+	HO_102502	Q1
6	13489183	+	HO_102503	Q1
6	13575289	+	HO_102515	Q1
6	13576146	+	HO_102516	Q1
6	13710793	+	HO_102523	Q1
6	13759790	+	HO_102532	Q1
6	13795913	+	HO_102539	Q1
6	13924763	+	HO_102564	Q1
6	13925854	+	HO_102565	Q1
6	14118614	+	HO_102580	Q1
6	14210783	+	HO_102589	Q1
6	14535720	+	HO_102614	Q1
6	14621174	+	HO_102617	Q1
6	14628468	+	HO_102618	Q1
6	14677363	+	HO_102627	Q1
6	14784935	+	HO_102641	Q1
1	63782142	+	HO_10266	Q1
6	15190511	+	HO_102677	Q1
6	15244681	+	HO_102681	Q1
6	15246488	+	HO_102682	Q1
6	15248105	+	HO_102683	Q1
6	15249421	+	HO_102684	Q1
6	15318572	+	HO_102695	Q1
1	63789234	+	HO_10270	Q1
6	15415355	+	HO_102707	Q1
6	15416510	+	HO_102708	Q1
6	15417233	+	HO_102709	Q1
6	15469095	+	HO_102712	Q1
6	15663843	+	HO_102729	Q1
6	15726095	+	HO_102738	Q1
6	15727107	+	HO_102739	Q1
6	15999433	+	HO_102761	Q1
